resolution    H20W80        H30W70        H40W60        H50W50        H60W40        H70W30        H80W20        
0.000e+00      9.292e-02      1.823e-01      2.654e-01      3.837e-01      5.573e-01      6.866e-01      7.716e-01      
2.000e-03      3.715e-01      5.455e-01      6.665e-01      7.730e-01      8.693e-01      9.172e-01      9.463e-01      
5.000e-03      1.975e-01      3.346e-01      4.540e-01      5.869e-01      7.326e-01      8.220e-01      8.818e-01      
8.000e-03      1.319e-01      2.439e-01      3.466e-01      4.756e-01      6.394e-01      7.554e-01      8.335e-01      
1.000e-02      1.146e-01      2.210e-01      3.159e-01      4.426e-01      6.096e-01      7.373e-01      8.183e-01      
1.500e-02      1.169e-01      2.278e-01      3.240e-01      4.556e-01      6.212e-01      7.512e-01      8.277e-01      
2.000e-02      1.261e-01      2.438e-01      3.461e-01      4.811e-01      6.452e-01      7.707e-01      8.421e-01      
2.500e-02      1.345e-01      2.580e-01      3.656e-01      5.025e-01      6.657e-01      7.863e-01      8.538e-01      
3.000e-02      1.421e-01      2.707e-01      3.831e-01      5.214e-01      6.835e-01      7.992e-01      8.633e-01      
3.500e-02      1.491e-01      2.822e-01      3.988e-01      5.382e-01      6.987e-01      8.098e-01      8.710e-01      
4.000e-02      1.559e-01      2.927e-01      4.130e-01      5.529e-01      7.116e-01      8.186e-01      8.774e-01      
4.500e-02      1.621e-01      3.023e-01      4.257e-01      5.658e-01      7.227e-01      8.259e-01      8.827e-01      
5.000e-02      1.678e-01      3.116e-01      4.370e-01      5.770e-01      7.320e-01      8.321e-01      8.871e-01      
