resolution    Au0,5nmSi     Au1nmSi       Au2nmSi       Au3nmSi       Au4nmSi       Au5nmSi       
0.000e+00      5.000e-01      1.000e+00      2.000e+00      3.000e+00      4.000e+00      5.000e+00      
2.000e-03      5.001e-01      1.000e+00      2.001e+00      2.875e+00      3.940e+00      5.073e+00      
5.000e-03      5.002e-01      1.000e+00      2.001e+00      2.865e+00      3.963e+00      5.061e+00      
1.000e-02      5.006e-01      1.001e+00      2.000e+00      2.918e+00      3.989e+00      5.026e+00      
1.500e-02      5.012e-01      1.001e+00      1.999e+00      2.964e+00      3.980e+00      4.997e+00      
2.000e-02      5.021e-01      1.002e+00      1.999e+00      2.985e+00      3.966e+00      4.980e+00      
2.500e-02      1.431e-01      1.004e+00      1.999e+00      2.997e+00      3.957e+00      4.962e+00      
3.000e-02      1.356e-01      1.005e+00      2.000e+00      3.010e+00      3.960e+00      4.945e+00      
3.500e-02      1.290e-01      1.007e+00      2.001e+00      3.028e+00      3.969e+00      4.933e+00      
4.000e-02      1.243e-01      1.009e+00      2.002e+00      3.056e+00      3.989e+00      4.924e+00      
4.500e-02      1.201e-01      1.011e+00      2.004e+00      3.094e+00      4.014e+00      4.930e+00      
5.000e-02      8.408e-02      1.013e+00      2.007e+00      3.138e+00      4.046e+00      4.939e+00      
