resolution    Au0,5nmSi     Au1nmSi       Au2nmSi       Au3nmSi       Au4nmSi       Au5nmSi       
0.000e+00      5.000e-01      1.000e+00      2.000e+00      3.000e+00      4.000e+00      5.000e+00      
2.000e-03      5.001e-01      1.000e+00      2.000e+00      3.015e+00      4.011e+00      5.006e+00      
5.000e-03      5.001e-01      1.000e+00      2.000e+00      3.020e+00      4.017e+00      5.006e+00      
1.000e-02      5.001e-01      1.000e+00      2.001e+00      3.031e+00      4.020e+00      4.994e+00      
1.500e-02      5.001e-01      1.000e+00      2.000e+00      3.048e+00      4.017e+00      5.146e+00      
2.000e-02      5.000e-01      1.000e+00      2.000e+00      3.061e+00      4.057e+00      5.137e+00      
2.500e-02      5.000e-01      9.997e-01      1.999e+00      3.079e+00      4.114e+00      5.128e+00      
3.000e-02      4.999e-01      9.993e-01      1.998e+00      3.082e+00      4.120e+00      5.120e+00      
3.500e-02      4.999e-01      9.991e-01      1.997e+00      3.092e+00      4.137e+00      5.105e+00      
4.000e-02      1.496e-01      9.988e-01      1.997e+00      3.143e+00      4.143e+00      5.105e+00      
4.500e-02      1.482e-01      9.984e-01      1.996e+00      3.135e+00      4.105e+00      5.096e+00      
5.000e-02      1.398e-01      9.980e-01      1.996e+00      2.982e+00      4.080e+00      5.099e+00      
