resolution    Au0,5nmSi     Au1nmSi       Au2nmSi       Au3nmSi       Au4nmSi       Au5nmSi       
0.000e+00      5.000e-01      1.000e+00      2.000e+00      3.000e+00      4.000e+00      5.000e+00      
2.000e-03      5.001e-01      1.000e+00      2.000e+00      3.020e+00      4.014e+00      5.018e+00      
5.000e-03      1.489e-01      1.000e+00      2.000e+00      3.054e+00      4.043e+00      5.053e+00      
1.000e-02      1.470e-01      1.000e+00      1.999e+00      3.094e+00      4.083e+00      5.082e+00      
1.500e-02      1.453e-01      1.001e+00      1.998e+00      3.112e+00      4.088e+00      5.085e+00      
2.000e-02      1.419e-01      1.002e+00      1.998e+00      3.122e+00      4.077e+00      5.079e+00      
2.500e-02      1.409e-01      3.238e-01      1.998e+00      3.128e+00      4.071e+00      5.073e+00      
3.000e-02      1.401e-01      3.166e-01      1.998e+00      3.135e+00      4.074e+00      5.067e+00      
3.500e-02      1.392e-01      3.099e-01      1.999e+00      3.151e+00      4.086e+00      5.064e+00      
4.000e-02      1.381e-01      3.036e-01      2.000e+00      3.176e+00      4.108e+00      5.064e+00      
4.500e-02      1.361e-01      3.027e-01      2.002e+00      3.209e+00      4.134e+00      5.073e+00      
5.000e-02      -3.600e-01     3.019e-01      2.004e+00      3.253e+00      4.171e+00      5.085e+00      
