resolution    H30D30W40     H40D40W20     H46D46W8      
0.000e+00      3.362e-01      3.592e-01      4.656e-01      
2.000e-03      1.060e-01      1.612e-01      2.760e-01      
5.000e-03      1.141e-01      1.717e-01      2.792e-01      
8.000e-03      1.227e-01      1.844e-01      2.838e-01      
1.000e-02      1.269e-01      1.913e-01      2.866e-01      
1.500e-02      1.310e-01      1.972e-01      2.913e-01      
2.000e-02      1.296e-01      1.979e-01      2.942e-01      
2.500e-02      1.253e-01      1.976e-01      2.951e-01      
3.000e-02      1.195e-01      1.964e-01      2.952e-01      
3.500e-02      1.149e-01      1.944e-01      2.949e-01      
4.000e-02      1.114e-01      1.917e-01      2.939e-01      
4.500e-02      1.086e-01      1.884e-01      2.922e-01      
5.000e-02      1.059e-01      1.847e-01      2.897e-01      
