resolution    H10D10W80     H20D10W50     H30D30W40     H40D40W20     H46D46W8      H60D30W10     H70D20W10     H80D10W10     
0.000e+00      4.240e-01      nan            3.362e-01      3.592e-01      4.656e-01      5.396e-01      6.631e-01      7.316e-01      
2.000e-03      4.216e-01      nan            3.368e-01      3.604e-01      4.633e-01      5.399e-01      6.632e-01      7.322e-01      
5.000e-03      4.272e-01      nan            3.366e-01      3.610e-01      4.640e-01      5.393e-01      6.626e-01      7.321e-01      
8.000e-03      4.185e-01      nan            3.406e-01      3.601e-01      4.639e-01      5.383e-01      6.600e-01      7.324e-01      
1.000e-02      4.346e-01      nan            3.419e-01      3.607e-01      4.616e-01      5.366e-01      6.625e-01      7.339e-01      
1.500e-02      5.010e-01      nan            3.427e-01      3.647e-01      4.570e-01      5.478e-01      6.885e-01      7.404e-01      
2.000e-02      6.589e-01      nan            3.655e-01      3.877e-01      4.551e-01      5.505e-01      6.918e-01      7.411e-01      
2.500e-02      6.226e-01      nan            3.975e-01      4.023e-01      4.552e-01      5.484e-01      6.922e-01      7.361e-01      
3.000e-02      5.796e-01      nan            4.202e-01      4.105e-01      4.625e-01      5.582e-01      6.981e-01      7.484e-01      
3.500e-02      4.894e-01      nan            4.303e-01      4.234e-01      4.672e-01      5.672e-01      7.066e-01      7.603e-01      
4.000e-02      5.102e-01      nan            4.297e-01      4.205e-01      4.660e-01      5.718e-01      7.143e-01      7.700e-01      
4.500e-02      8.226e-01      nan            4.476e-01      4.141e-01      4.661e-01      5.753e-01      7.216e-01      7.717e-01      
5.000e-02      1.228e+00      nan            4.600e-01      4.124e-01      4.699e-01      5.771e-01      7.157e-01      7.689e-01      
