resolution    H10D10W80     H20D10W50     H30D30W40     H40D40W20     H46D46W8      H60D30W10     H70D20W10     H80D10W10     
0.000e+00      4.240e-01      nan            3.362e-01      3.592e-01      4.656e-01      5.396e-01      6.631e-01      7.316e-01      
2.000e-03      4.427e-01      nan            3.417e-01      3.632e-01      4.648e-01      5.422e-01      6.666e-01      7.349e-01      
5.000e-03      5.213e-01      nan            3.636e-01      3.781e-01      4.648e-01      5.521e-01      6.837e-01      7.468e-01      
8.000e-03      6.338e-01      nan            3.864e-01      3.950e-01      4.663e-01      5.620e-01      7.000e-01      7.548e-01      
1.000e-02      6.802e-01      nan            3.969e-01      4.033e-01      4.673e-01      5.664e-01      7.063e-01      7.591e-01      
1.500e-02      6.124e-01      nan            4.005e-01      4.070e-01      4.697e-01      5.735e-01      7.119e-01      7.713e-01      
2.000e-02      6.176e-01      nan            3.934e-01      4.028e-01      4.717e-01      5.774e-01      7.036e-01      7.781e-01      
2.500e-02      6.721e-01      nan            3.862e-01      3.991e-01      4.720e-01      5.781e-01      6.985e-01      7.748e-01      
3.000e-02      7.419e-01      nan            3.670e-01      3.957e-01      4.716e-01      5.782e-01      6.956e-01      7.710e-01      
3.500e-02      7.883e-01      nan            3.524e-01      3.917e-01      4.708e-01      5.780e-01      6.934e-01      7.666e-01      
4.000e-02      7.870e-01      nan            3.421e-01      3.872e-01      4.694e-01      5.768e-01      6.909e-01      7.617e-01      
4.500e-02      7.468e-01      nan            3.347e-01      3.823e-01      4.674e-01      5.742e-01      6.874e-01      7.564e-01      
5.000e-02      6.920e-01      nan            3.288e-01      3.773e-01      4.645e-01      5.704e-01      6.828e-01      7.508e-01      
