resolution    H20W80        H40W60        H60W40        H80W20        
0.000e+00      3.936e-02      1.263e-01      3.349e-01      5.747e-01      
2.000e-03      1.746e-02      5.893e-02      1.782e-01      3.710e-01      
5.000e-03      7.334e-03      2.540e-02      8.196e-02      1.996e-01      
8.000e-03      4.300e-03      1.581e-02      5.395e-02      1.420e-01      
1.000e-02      3.482e-03      1.340e-02      4.833e-02      1.283e-01      
1.200e-02      3.330e-03      1.306e-02      4.829e-02      1.284e-01      
1.500e-02      3.464e-03      1.372e-02      5.099e-02      1.356e-01      
2.000e-02      3.757e-03      1.512e-02      5.607e-02      1.485e-01      
2.500e-02      4.024e-03      1.642e-02      6.084e-02      1.605e-01      
3.000e-02      4.262e-03      1.763e-02      6.552e-02      1.713e-01      
3.500e-02      4.470e-03      1.876e-02      6.985e-02      1.811e-01      
