resolution    H20W80        H40W60        H60W40        H80W20        
0.000e+00      3.936e-02      1.263e-01      3.349e-01      5.747e-01      
2.000e-03      6.695e-02      2.081e-01      4.860e-01      7.197e-01      
5.000e-03      8.086e-02      2.303e-01      5.000e-01      7.252e-01      
8.000e-03      5.148e-02      1.591e-01      3.906e-01      6.318e-01      
1.000e-02      4.280e-02      1.360e-01      3.484e-01      5.921e-01      
1.200e-02      4.021e-02      1.284e-01      3.335e-01      5.779e-01      
1.500e-02      3.970e-02      1.262e-01      3.299e-01      5.758e-01      
2.000e-02      3.991e-02      1.272e-01      3.305e-01      5.815e-01      
2.500e-02      4.086e-02      1.296e-01      3.351e-01      5.884e-01      
3.000e-02      4.154e-02      1.327e-01      3.403e-01      5.967e-01      
3.500e-02      4.240e-02      1.360e-01      3.470e-01      6.058e-01      
