resolution    H20W80        H40W60        H60W40        H80W20        
0.000e+00      3.936e-02      1.263e-01      3.349e-01      5.747e-01      
2.000e-03      1.912e-01      4.443e-01      7.269e-01      8.758e-01      
5.000e-03      8.961e-02      2.496e-01      5.229e-01      7.490e-01      
8.000e-03      5.730e-02      1.750e-01      4.149e-01      6.670e-01      
1.000e-02      4.920e-02      1.559e-01      3.844e-01      6.430e-01      
1.200e-02      4.810e-02      1.539e-01      3.829e-01      6.438e-01      
1.500e-02      5.028e-02      1.609e-01      3.962e-01      6.577e-01      
2.000e-02      5.457e-02      1.747e-01      4.211e-01      6.808e-01      
2.500e-02      5.852e-02      1.873e-01      4.434e-01      7.003e-01      
3.000e-02      6.213e-02      1.989e-01      4.634e-01      7.164e-01      
3.500e-02      6.551e-02      2.097e-01      4.812e-01      7.298e-01      
