resolution    Li10nmW       Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li5nmW        Li60nmW       Li70nmW       Li80nmW       
0.000e+00      1.000e+01      2.000e+01      3.000e+01      4.000e+01      5.000e+01      5.000e+00      6.000e+01      7.000e+01      8.000e+01      
2.000e-03      1.001e+01      2.001e+01      3.000e+01      4.144e+01      5.251e+01      5.261e+00      6.003e+01      8.193e+01      1.671e+02      
5.000e-03      1.002e+01      2.026e+01      3.005e+01      4.143e+01      5.256e+01      5.261e+00      6.005e+01      8.193e+01      1.672e+02      
1.000e-02      1.002e+01      2.051e+01      3.011e+01      4.141e+01      5.278e+01      5.275e+00      6.010e+01      9.074e+01      1.671e+02      
1.500e-02      1.002e+01      2.053e+01      3.014e+01      4.144e+01      5.299e+01      5.306e+00      6.008e+01      8.187e+01      1.671e+02      
2.000e-02      9.993e+00      2.057e+01      3.022e+01      4.148e+01      5.300e+01      5.351e+00      6.010e+01      8.187e+01      1.664e+02      
2.500e-02      9.803e+00      2.058e+01      3.031e+01      4.153e+01      5.304e+01      5.369e+00      6.023e+01      8.199e+01      8.186e+01      
3.000e-02      9.954e+00      2.057e+01      3.037e+01      4.159e+01      5.308e+01      5.371e+00      6.039e+01      8.224e+01      8.186e+01      
3.500e-02      9.953e+00      2.056e+01      3.039e+01      4.164e+01      5.310e+01      5.368e+00      6.057e+01      8.268e+01      8.186e+01      
4.000e-02      9.947e+00      2.054e+01      3.038e+01      4.166e+01      5.316e+01      5.364e+00      6.083e+01      8.306e+01      8.186e+01      
4.500e-02      9.942e+00      2.050e+01      3.034e+01      4.167e+01      5.328e+01      5.358e+00      6.120e+01      8.337e+01      8.186e+01      
5.000e-02      9.936e+00      2.045e+01      3.029e+01      4.168e+01      5.344e+01      5.354e+00      6.167e+01      8.356e+01      8.200e+01      
