resolution    Li10nmW       Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li5nmW        Li60nmW       Li70nmW       Li80nmW       
0.000e+00      1.000e+01      2.000e+01      3.000e+01      4.000e+01      5.000e+01      5.000e+00      6.000e+01      7.000e+01      8.000e+01      
2.000e-03      1.030e+01      2.154e+01      3.001e+01      4.006e+01      5.124e+01      5.004e+00      6.065e+01      8.632e+01      1.570e+02      
5.000e-03      1.031e+01      2.157e+01      3.002e+01      4.009e+01      5.132e+01      5.008e+00      6.060e+01      8.625e+01      1.570e+02      
1.000e-02      1.032e+01      2.162e+01      3.004e+01      4.010e+01      5.186e+01      5.020e+00      6.065e+01      8.632e+01      1.570e+02      
1.500e-02      1.031e+01      2.167e+01      3.008e+01      4.013e+01      5.198e+01      5.044e+00      6.081e+01      8.638e+01      1.570e+02      
2.000e-02      1.028e+01      2.170e+01      3.015e+01      4.017e+01      5.202e+01      5.086e+00      6.099e+01      8.658e+01      1.570e+02      
2.500e-02      1.009e+01      2.171e+01      3.024e+01      4.022e+01      5.202e+01      5.100e+00      6.115e+01      8.671e+01      1.569e+02      
3.000e-02      1.024e+01      2.170e+01      3.029e+01      4.027e+01      5.203e+01      5.101e+00      6.128e+01      8.697e+01      1.570e+02      
3.500e-02      1.024e+01      2.168e+01      3.031e+01      4.031e+01      5.208e+01      5.099e+00      6.144e+01      8.730e+01      1.569e+02      
4.000e-02      1.024e+01      2.166e+01      3.029e+01      4.033e+01      5.218e+01      5.095e+00      6.165e+01      8.762e+01      1.569e+02      
4.500e-02      1.023e+01      2.162e+01      3.026e+01      4.034e+01      5.232e+01      5.090e+00      6.191e+01      8.795e+01      1.569e+02      
5.000e-02      1.022e+01      2.156e+01      3.021e+01      4.035e+01      5.249e+01      5.085e+00      6.228e+01      8.821e+01      1.567e+02      
