resolution    Li10nmW       Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li5nmW        Li60nmW       Li70nmW       Li80nmW       
0.000e+00      1.000e+01      2.000e+01      3.000e+01      4.000e+01      5.000e+01      5.000e+00      6.000e+01      7.000e+01      8.000e+01      
2.000e-03      9.684e+00      1.933e+01      2.834e+01      4.142e+01      5.021e+01      5.260e+00      6.626e+01      8.506e+01      4.535e+02      
5.000e-03      9.693e+00      1.932e+01      2.835e+01      4.142e+01      5.026e+01      5.258e+00      6.000e+01      8.212e+01      1.669e+02      
1.000e-02      9.702e+00      1.906e+01      3.006e+01      4.137e+01      5.031e+01      5.259e+00      5.997e+01      6.550e+01      1.101e+02      
1.500e-02      9.718e+00      1.939e+01      3.008e+01      4.138e+01      5.045e+01      5.261e+00      5.987e+01      6.538e+01      8.128e+01      
2.000e-02      9.719e+00      1.897e+01      3.007e+01      4.132e+01      5.100e+01      5.272e+00      5.995e+01      6.538e+01      8.186e+01      
2.500e-02      9.711e+00      1.898e+01      3.004e+01      4.136e+01      5.093e+01      5.272e+00      6.000e+01      6.544e+01      8.143e+01      
3.000e-02      9.685e+00      1.900e+01      3.003e+01      4.136e+01      5.092e+01      5.277e+00      6.000e+01      6.944e+01      8.143e+01      
3.500e-02      9.655e+00      1.906e+01      3.003e+01      4.134e+01      5.096e+01      5.269e+00      5.995e+01      6.969e+01      8.200e+01      
4.000e-02      9.648e+00      1.934e+01      3.007e+01      4.129e+01      5.105e+01      5.270e+00      5.992e+01      6.981e+01      8.128e+01      
4.500e-02      9.632e+00      1.930e+01      3.008e+01      4.123e+01      5.118e+01      5.244e+00      5.979e+01      6.988e+01      8.171e+01      
5.000e-02      9.606e+00      1.931e+01      2.849e+01      4.119e+01      5.112e+01      5.355e+00      5.969e+01      7.000e+01      8.200e+01      
