resolution    Li10nmW       Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li5nmW        Li60nmW       Li70nmW       Li80nmW       
0.000e+00      1.000e+01      2.000e+01      3.000e+01      4.000e+01      5.000e+01      5.000e+00      6.000e+01      7.000e+01      8.000e+01      
2.000e-03      1.027e+01      2.001e+01      3.000e+01      3.996e+01      5.014e+01      5.003e+00      6.834e+01      8.566e+01      1.570e+02      
5.000e-03      1.027e+01      2.003e+01      3.000e+01      4.002e+01      5.012e+01      5.006e+00      5.958e+01      8.606e+01      2.350e+02      
1.000e-02      1.001e+01      2.003e+01      3.001e+01      4.002e+01      5.014e+01      5.002e+00      6.000e+01      7.033e+01      1.230e+02      
1.500e-02      1.000e+01      2.008e+01      3.000e+01      4.003e+01      5.017e+01      5.002e+00      5.997e+01      7.065e+01      8.664e+01      
2.000e-02      9.999e+00      2.003e+01      2.999e+01      4.006e+01      5.023e+01      5.010e+00      5.995e+01      7.072e+01      8.360e+01      
2.500e-02      9.990e+00      2.004e+01      2.996e+01      4.006e+01      5.030e+01      5.010e+00      5.984e+01      7.072e+01      8.120e+01      
3.000e-02      9.964e+00      2.007e+01      2.996e+01      4.005e+01      5.034e+01      5.013e+00      5.984e+01      7.078e+01      8.248e+01      
3.500e-02      9.936e+00      2.014e+01      2.996e+01      4.000e+01      5.036e+01      5.006e+00      5.984e+01      7.078e+01      8.280e+01      
4.000e-02      9.928e+00      2.040e+01      3.000e+01      3.995e+01      5.046e+01      5.006e+00      6.000e+01      7.078e+01      8.296e+01      
4.500e-02      9.912e+00      2.036e+01      2.999e+01      3.990e+01      5.040e+01      4.981e+00      6.013e+01      7.085e+01      8.312e+01      
5.000e-02      9.885e+00      2.037e+01      2.841e+01      3.987e+01      5.038e+01      5.086e+00      6.016e+01      7.085e+01      8.312e+01      
