resolution    Li10nmW       Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li5nmW        Li60nmW       Li70nmW       Li80nmW       
0.000e+00      1.000e+01      2.000e+01      3.000e+01      4.000e+01      5.000e+01      5.000e+00      6.000e+01      7.000e+01      8.000e+01      
2.000e-03      9.694e+00      1.933e+01      3.000e+01      4.141e+01      5.002e+01      5.261e+00      6.003e+01      7.012e+01      7.136e+01      
5.000e-03      9.703e+00      1.904e+01      3.004e+01      4.142e+01      4.695e+01      5.260e+00      6.005e+01      7.019e+01      8.029e+01      
1.000e-02      9.717e+00      1.933e+01      3.009e+01      4.139e+01      5.048e+01      5.272e+00      6.008e+01      6.538e+01      8.043e+01      
1.500e-02      9.711e+00      1.929e+01      3.012e+01      4.135e+01      5.120e+01      5.293e+00      6.003e+01      6.550e+01      8.057e+01      
2.000e-02      9.707e+00      1.934e+01      3.011e+01      4.124e+01      5.130e+01      5.297e+00      6.000e+01      6.550e+01      8.086e+01      
2.500e-02      9.715e+00      1.937e+01      3.002e+01      4.109e+01      5.146e+01      5.294e+00      6.003e+01      6.556e+01      8.143e+01      
3.000e-02      9.727e+00      1.942e+01      2.890e+01      4.102e+01      5.157e+01      5.290e+00      6.003e+01      6.563e+01      8.157e+01      
3.500e-02      9.734e+00      1.949e+01      2.915e+01      4.100e+01      5.163e+01      5.285e+00      6.005e+01      6.575e+01      8.171e+01      
4.000e-02      9.735e+00      1.958e+01      2.973e+01      4.098e+01      5.167e+01      5.278e+00      6.010e+01      6.600e+01      8.171e+01      
4.500e-02      9.735e+00      1.968e+01      2.973e+01      4.097e+01      5.168e+01      5.271e+00      6.018e+01      6.656e+01      8.171e+01      
5.000e-02      9.736e+00      1.977e+01      2.970e+01      4.096e+01      5.168e+01      5.264e+00      6.029e+01      6.875e+01      8.128e+01      
