resolution    Li10nmW       Li20nmW       Li30nmW       Li40nmW       Li50nmW       Li5nmW        Li60nmW       Li70nmW       Li80nmW       
0.000e+00      1.000e+01      2.000e+01      3.000e+01      4.000e+01      5.000e+01      5.000e+00      6.000e+01      7.000e+01      8.000e+01      
2.000e-03      1.000e+01      2.001e+01      3.000e+01      4.001e+01      5.001e+01      5.003e+00      6.000e+01      7.000e+01      8.000e+01      
5.000e-03      1.000e+01      2.005e+01      3.001e+01      4.004e+01      5.012e+01      5.006e+00      6.000e+01      7.007e+01      8.000e+01      
1.000e-02      9.995e+00      2.015e+01      3.002e+01      4.001e+01      5.028e+01      5.015e+00      6.003e+01      7.026e+01      8.000e+01      
1.500e-02      9.991e+00      2.034e+01      3.004e+01      3.996e+01      5.047e+01      5.031e+00      6.003e+01      7.046e+01      8.000e+01      
2.000e-02      9.987e+00      2.040e+01      3.001e+01      3.986e+01      5.058e+01      5.031e+00      6.008e+01      7.059e+01      8.000e+01      
2.500e-02      9.996e+00      2.043e+01      2.992e+01      3.973e+01      5.063e+01      5.029e+00      6.016e+01      7.078e+01      8.056e+01      
3.000e-02      1.001e+01      2.049e+01      2.882e+01      3.970e+01      5.067e+01      5.025e+00      6.024e+01      7.085e+01      8.120e+01      
3.500e-02      1.002e+01      2.056e+01      2.908e+01      3.969e+01      5.071e+01      5.020e+00      6.034e+01      7.091e+01      8.184e+01      
4.000e-02      1.002e+01      2.065e+01      2.965e+01      3.967e+01      5.073e+01      5.014e+00      6.042e+01      7.098e+01      8.216e+01      
4.500e-02      1.002e+01      2.076e+01      2.965e+01      3.965e+01      5.073e+01      5.006e+00      6.050e+01      7.104e+01      8.232e+01      
5.000e-02      1.002e+01      2.085e+01      2.962e+01      3.965e+01      5.073e+01      5.000e+00      6.060e+01      7.111e+01      8.248e+01      
