Energy,keV ConvInt convWidth convArea NumDeconvInt SimDeconvInt
 1.000e+00  4.339e-02 -2.119e-02  1.064e+01  1.000e+00  9.223e-01
 2.000e+00  8.548e-02 -8.475e-03  2.135e+01  9.986e-01  1.000e+00
 3.000e+00  1.277e-01  0.000e+00  3.202e+01  9.969e-01  9.972e-01
 4.000e+00  1.697e-01  0.000e+00  4.270e+01  9.946e-01  9.968e-01
 5.000e+00  2.114e-01  8.475e-03  5.337e+01  9.918e-01  9.970e-01
 6.000e+00  2.528e-01  1.271e-02  6.404e+01  9.884e-01  9.965e-01
 7.000e+00  2.937e-01  1.695e-02  7.472e+01  9.845e-01  9.970e-01
 8.000e+00  3.341e-01  2.119e-02  8.539e+01  9.800e-01  9.964e-01
 9.000e+00  3.740e-01  2.119e-02  9.606e+01  9.751e-01  9.970e-01
 1.000e+01  4.132e-01  2.966e-02  1.067e+02  9.696e-01  9.966e-01
 1.100e+01  4.517e-01  3.390e-02  1.174e+02  9.636e-01  9.968e-01
 1.200e+01  4.895e-01  4.237e-02  1.281e+02  9.573e-01  9.967e-01
 1.300e+01  5.265e-01  5.085e-02  1.388e+02  9.505e-01  9.968e-01
 1.400e+01  5.627e-01  5.932e-02  1.494e+02  9.433e-01  9.969e-01
 1.500e+01  5.981e-01  7.203e-02  1.601e+02  9.358e-01  9.967e-01
 1.600e+01  6.326e-01  8.051e-02  1.708e+02  9.279e-01  9.969e-01
 1.700e+01  6.663e-01  8.898e-02  1.815e+02  9.198e-01  9.965e-01
 1.800e+01  6.990e-01  9.746e-02  1.921e+02  9.114e-01  9.969e-01
 1.900e+01  7.309e-01  1.144e-01  2.028e+02  9.028e-01  9.963e-01
 2.000e+01  7.618e-01  1.229e-01  2.135e+02  8.939e-01  9.970e-01
 2.100e+01  7.918e-01  1.356e-01  2.241e+02  8.849e-01  9.965e-01
 2.200e+01  8.209e-01  1.483e-01  2.348e+02  8.758e-01  9.968e-01
 2.300e+01  8.492e-01  1.653e-01  2.455e+02  8.665e-01  9.966e-01
 2.400e+01  8.765e-01  1.780e-01  2.562e+02  8.571e-01  9.968e-01
 2.500e+01  9.029e-01  1.907e-01  2.668e+02  8.477e-01  9.969e-01
 2.600e+01  9.285e-01  2.076e-01  2.775e+02  8.382e-01  9.967e-01
 2.700e+01  9.533e-01  2.246e-01  2.882e+02  8.286e-01  9.969e-01
 2.800e+01  9.772e-01  2.415e-01  2.988e+02  8.191e-01  9.965e-01
 0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
