Energy,keV spectrum_int fitted_spectrum  get_elastic_partAu get_inelastic_partAu get_elastic_partPd get_inelastic_partPd  
0.0000e+00 6.393e-03 1.910e-05 3.815e-06 0.000e+00 1.629e-05 0.000e+00
2.0000e-03 4.730e-03 1.911e-05 3.816e-06 0.000e+00 1.630e-05 0.000e+00
4.0000e-03 3.329e-03 1.912e-05 3.817e-06 0.000e+00 1.630e-05 0.000e+00
6.0000e-03 2.171e-03 1.912e-05 3.818e-06 0.000e+00 1.631e-05 7.874e-310
8.0000e-03 1.236e-03 1.913e-05 3.820e-06 0.000e+00 1.631e-05 1.241e-267
1.0000e-02 5.036e-04 1.913e-05 3.821e-06 0.000e+00 1.631e-05 7.826e-239
1.2000e-02 -4.455e-05 1.914e-05 3.822e-06 0.000e+00 1.632e-05 1.426e-217
1.4000e-02 -4.286e-04 1.914e-05 3.823e-06 0.000e+00 1.632e-05 4.769e-201
1.6000e-02 -6.683e-04 1.915e-05 3.824e-06 0.000e+00 1.633e-05 9.974e-188
1.8000e-02 -7.831e-04 1.915e-05 3.825e-06 0.000e+00 1.633e-05 1.078e-176
2.0000e-02 -7.928e-04 1.916e-05 3.826e-06 0.000e+00 1.634e-05 2.330e-167
2.2000e-02 -7.170e-04 1.916e-05 3.827e-06 0.000e+00 1.634e-05 2.502e-159
2.4000e-02 -5.753e-04 1.917e-05 3.828e-06 2.348e-303 1.635e-05 2.532e-152
2.6000e-02 -3.014e-04 1.918e-05 3.829e-06 5.464e-291 1.635e-05 3.836e-146
2.8000e-02 -8.502e-05 1.918e-05 3.830e-06 5.684e-280 1.636e-05 1.230e-140
3.0000e-02 0.000e+00 1.919e-05 3.831e-06 4.477e-270 1.636e-05 1.085e-135
3.2000e-02 0.000e+00 1.919e-05 3.832e-06 4.023e-261 1.637e-05 3.238e-131
3.4000e-02 0.000e+00 1.920e-05 3.833e-06 5.702e-253 1.637e-05 3.837e-127
3.6000e-02 0.000e+00 1.920e-05 3.834e-06 1.654e-245 1.637e-05 2.058e-123
3.8000e-02 0.000e+00 1.921e-05 3.835e-06 1.213e-238 1.638e-05 5.553e-120
4.0000e-02 0.000e+00 1.921e-05 3.836e-06 2.677e-232 1.638e-05 8.221e-117
4.2000e-02 0.000e+00 1.922e-05 3.837e-06 2.055e-226 1.639e-05 7.180e-114
4.4000e-02 0.000e+00 1.922e-05 3.839e-06 6.196e-221 1.639e-05 3.930e-111
4.6000e-02 0.000e+00 1.923e-05 3.840e-06 8.129e-216 1.640e-05 1.420e-108
4.8000e-02 0.000e+00 1.923e-05 3.841e-06 5.067e-211 1.640e-05 3.535e-106
5.0000e-02 0.000e+00 1.924e-05 3.842e-06 1.617e-206 1.641e-05 6.300e-104
