Energy particles 
eV  count 

***************** ISInCa - Ion Surface Interaction Calculator v2024.1.1 *****************
*               by mauveferret@gmail.com from "Plasma physics" dep., MEPhI               *
******************************************************************************************
*           Calculated with SDTrimSP. ISInCa postprocessing id SDTrimSP__6606            *
*      Postprocessing started at 2024-02-21 at 22:39:01 MSK. Main input parameters:      *
*           Ne beam with E0 = 6000.0 eV at polar angle 0.0 degrees from normal           *
*                azimuth angle 0.0 degrees with doze 100000000 particles                 *
*                                  target of  Gd Ba Co                                   *
******************************************************************************************
*         E step 2.0 eV  beta 40.0 deg dBeta 2.0 deg phi 180.0 deg dPhi 180.0 deg        *
******************************************************************************************

*                              calculated  for all elements                              *
******************************************************************************************
0,00 321884.000
2,00 468514.000
4,00 361084.000
6,00 259990.000
8,00 194889.000
10,00 151631.000
12,00 121036.000
14,00 99046.000
16,00 83106.000
18,00 70055.000
20,00 60207.000
22,00 52333.000
24,00 45626.000
26,00 40480.000
28,00 35681.000
30,00 32116.000
32,00 28561.000
34,00 26041.000
36,00 23691.000
38,00 21746.000
40,00 19814.000
42,00 18159.000
44,00 16934.000
46,00 15355.000
48,00 14382.000
50,00 13068.000
52,00 12363.000
54,00 11546.000
56,00 10680.000
58,00 10151.000
60,00 9580.000
62,00 8853.000
64,00 8409.000
66,00 7895.000
68,00 7437.000
70,00 7013.000
72,00 6695.000
74,00 6287.000
76,00 6027.000
78,00 5613.000
80,00 5438.000
82,00 5164.000
84,00 5015.000
86,00 4632.000
88,00 4481.000
90,00 4236.000
92,00 4090.000
94,00 3902.000
96,00 3724.000
98,00 3595.000
100,00 3434.000
102,00 3235.000
104,00 3229.000
106,00 3034.000
108,00 2940.000
110,00 2825.000
112,00 2758.000
114,00 2568.000
116,00 2502.000
118,00 2465.000
120,00 2344.000
122,00 2247.000
124,00 2141.000
126,00 2194.000
128,00 2017.000
130,00 2011.000
132,00 1918.000
134,00 1854.000
136,00 1792.000
138,00 1687.000
140,00 1685.000
142,00 1618.000
144,00 1513.000
146,00 1538.000
148,00 1540.000
150,00 1403.000
152,00 1367.000
154,00 1373.000
156,00 1297.000
158,00 1252.000
160,00 1210.000
162,00 1210.000
164,00 1158.000
166,00 1085.000
168,00 1080.000
170,00 1022.000
172,00 1066.000
174,00 999.000
176,00 989.000
178,00 916.000
180,00 977.000
182,00 894.000
184,00 906.000
186,00 926.000
188,00 841.000
190,00 836.000
192,00 820.000
194,00 792.000
196,00 761.000
198,00 755.000
200,00 743.000
202,00 711.000
204,00 679.000
206,00 664.000
208,00 651.000
210,00 673.000
212,00 675.000
214,00 666.000
216,00 632.000
218,00 623.000
220,00 551.000
222,00 542.000
224,00 581.000
226,00 565.000
228,00 574.000
230,00 510.000
232,00 511.000
234,00 535.000
236,00 520.000
238,00 496.000
240,00 529.000
242,00 495.000
244,00 448.000
246,00 482.000
248,00 435.000
250,00 465.000
252,00 409.000
254,00 427.000
256,00 389.000
