E,eV	dN/dE,part/eV
0	0,801
5	0,201
10	0
15	0,201
20	0
25	0
30	0
35	0
40	0
45	0
50	0
55	0
60	0
65	0
70	0
75	0
80	0
85	0
90	0
95	0
100	0
105	0
110	0
115	0
120	0,201
125	0
130	0
135	0
140	0
145	0,201
150	0
155	0
160	0
165	0
170	0
175	0
180	0
185	0
190	0
195	0,201
200	0,401
205	0
210	0
215	0
220	0
225	0
230	0
235	0,401
240	0,201
245	0
250	0
255	0
260	0
265	0
270	0
275	0
280	0
285	0
290	0
295	0
300	0
305	0
310	0
315	0,201
320	0,201
325	0
330	0
335	0
340	0
345	0,201
350	0
355	0
360	0
365	0
370	0
375	0
380	0
385	0
390	0
395	0
400	0
405	0
410	0
415	0
420	0
425	0
430	0
435	0
440	0
445	0
450	0
455	0
460	0
465	0
470	0
475	0,201
480	0
485	0
490	0,201
495	0
500	0
505	0
510	0,201
515	0
520	0,201
525	0
530	0,201
535	0
540	0
545	0
550	0,201
555	0
560	0
565	0,201
570	0
575	0
580	0
585	0
590	0
595	0
600	0
605	0,201
610	0,201
615	0
620	0,201
625	0,201
630	0,201
635	0
640	0
645	0
650	0
655	0
660	0
665	0
670	0
675	0
680	0,201
685	0
690	0,201
695	0
700	0,201
705	0
710	0
715	0,201
720	0
725	0
730	0,201
735	0
740	0
745	0
750	0
755	0
760	0,201
765	0,201
770	0
775	0,401
780	0
785	0
790	0,201
795	0
800	0
805	0,201
810	0
815	0
820	0,201
825	0
830	0,201
835	0
840	0
845	0
850	0
855	0
860	0,201
865	0,401
870	0,201
875	0
880	0
885	0,201
890	0
895	0
900	0
905	0
910	0
915	0
920	0,201
925	0
930	0
935	0
940	0,201
945	0,201
950	0,401
955	0,201
960	0,201
965	0,201
970	0,401
975	0,201
980	0
985	0
990	0
995	0
1000	0
1005	0,201
1010	0,401
1015	0
1020	0
1025	0
1030	0,201
1035	0
1040	0,201
1045	0
1050	0,201
1055	0
1060	0,401
1065	0,201
1070	0
1075	0
1080	0
1085	0,201
1090	0,201
1095	0
1100	0
1105	0
1110	0,201
1115	0
1120	0
1125	0,201
1130	0
1135	0,201
1140	0,201
1145	0,201
1150	0
1155	0
1160	0,201
1165	0,201
1170	0,201
1175	0
1180	0,201
1185	0,401
1190	0,201
1195	0,401
1200	0
1205	0
1210	0
1215	0,201
1220	0
1225	0,201
1230	0
1235	0
1240	0
1245	0,201
1250	0
1255	0,401
1260	0,201
1265	0
1270	0
1275	0,401
1280	0,401
1285	0
1290	0
1295	0
1300	0
1305	0
1310	0
1315	0,401
1320	0,401
1325	0
1330	0
1335	0
1340	0
1345	0,201
1350	0,201
1355	0
1360	0,201
1365	0,201
1370	0
1375	0
1380	0,201
1385	0
1390	0
1395	0,401
1400	0
1405	0,201
1410	0
1415	0
1420	0
1425	0
1430	0
1435	0
1440	0
1445	0
1450	0
1455	0
1460	0
1465	0
1470	0,201
1475	0,201
1480	0
1485	0
1490	0,201
1495	0
1500	0
1505	0
1510	0
1515	0,401
1520	0
1525	0
1530	0
1535	0,201
1540	0
1545	0,201
1550	0
1555	0
1560	0,201
1565	0
1570	0
1575	0
1580	0,201
1585	0
1590	0
1595	0,201
1600	0
1605	0
1610	0,201
1615	0
1620	0
1625	0,201
1630	0
1635	0
1640	0,201
1645	0
1650	0
1655	0,201
1660	0
1665	0,201
1670	0
1675	0
1680	0
1685	0,401
1690	0,201
1695	0
1700	0,201
1705	0,201
1710	0,201
1715	0
1720	0
1725	0,201
1730	0
1735	0
1740	0
1745	0,201
1750	0,201
1755	0
1760	0
1765	0
1770	0
1775	0,401
1780	0
1785	0
1790	0
1795	0
1800	0,201
1805	0
1810	0
1815	0
1820	0
1825	0,201
1830	0
1835	0
1840	0
1845	0,201
1850	0
1855	0,201
1860	0
1865	0
1870	0
1875	0,201
1880	0,401
1885	0,201
1890	0
1895	0,201
1900	0,401
1905	0
1910	0
1915	0
1920	0
1925	0
1930	0
1935	0,401
1940	0,201
1945	0,201
1950	0,201
1955	0
1960	0,401
1965	0,201
1970	0
1975	0,401
1980	0,401
1985	0,201
1990	0
1995	0
2000	0,401
2005	0
2010	0,201
2015	0,201
2020	0,201
2025	0
2030	0,401
2035	0
2040	0
2045	0
2050	0,201
2055	0
2060	0,201
2065	0,201
2070	0,201
2075	0
2080	0
2085	0
2090	0
2095	0
2100	0
2105	0,201
2110	0,201
2115	0
2120	0
2125	0,201
2130	0,201
2135	0,401
2140	0
2145	0
2150	0,201
2155	0
2160	0,201
2165	0,201
2170	0
2175	0
2180	0
2185	0,401
2190	0,801
2195	0,201
2200	0,201
2205	0,6
2210	0,201
2215	0
2220	0,201
2225	0
2230	0,201
2235	0
2240	0,401
2245	0
2250	0,201
2255	0
2260	0,401
2265	0,201
2270	0,201
2275	0,201
2280	0
2285	0
2290	0,201
2295	0
2300	0
2305	0
2310	0
2315	0,201
2320	0
2325	0,401
2330	0
2335	0,201
2340	0,401
2345	0,201
2350	0,201
2355	0,201
2360	0,201
2365	0
2370	0,201
2375	0,6
2380	0
2385	0,201
2390	0,201
2395	0,201
2400	0
2405	0
2410	0
2415	0,201
2420	0
2425	0,201
2430	0,201
2435	0,6
2440	0
2445	0
2450	0,401
2455	0
2460	0,401
2465	0
2470	0
2475	0
2480	0,201
2485	0,201
2490	0
2495	0
2500	0
2505	0
2510	0
2515	0
2520	0,6
2525	0
2530	0,201
2535	0
2540	0
2545	0,6
2550	0,201
2555	0,6
2560	0
2565	0,401
2570	0,201
2575	0
2580	0,401
2585	0,201
2590	0,201
2595	0
2600	0
2605	0,201
2610	0,401
2615	0,401
2620	0,201
2625	0
2630	0
2635	0,201
2640	0,201
2645	0
2650	0,401
2655	0
2660	0
2665	0,201
2670	0,201
2675	0
2680	0
2685	0
2690	0
2695	0
2700	0,201
2705	0,401
2710	0,801
2715	0,201
2720	0
2725	0
2730	0
2735	0
2740	0,201
2745	0
2750	0
2755	0
2760	0
2765	0,201
2770	0
2775	0
2780	0,201
2785	0
2790	0
2795	0,401
2800	0
2805	0
2810	0
2815	0,201
2820	0,201
2825	0
2830	0,201
2835	0
2840	0,401
2845	0,201
2850	0,6
2855	0,401
2860	0
2865	0
2870	0,201
2875	0
2880	0,201
2885	0,201
2890	0,201
2895	0,201
2900	0
2905	0
2910	0,201
2915	0
2920	0
2925	0,401
2930	0,201
2935	0,201
2940	0
2945	0,801
2950	0,801
2955	0
2960	0
2965	0,201
2970	0
2975	0,201
2980	0,201
2985	0
2990	0,401
2995	0
3000	0
3005	0,201
3010	0,201
3015	0,6
3020	0,401
3025	0,201
3030	0,401
3035	0,6
3040	0
3045	0,201
3050	0
3055	0
3060	0,201
3065	0
3070	0,201
3075	0,6
3080	0
3085	0,401
3090	0
3095	0
3100	0,201
3105	0
3110	0,201
3115	0
3120	0
3125	0,201
3130	0,401
3135	0
3140	0,201
3145	0
3150	0
3155	0
3160	0,201
3165	0
3170	0,801
3175	0
3180	0,201
3185	0
3190	0,401
3195	0
3200	0,201
3205	0
3210	0,201
3215	0,201
3220	0,401
3225	0,201
3230	0,401
3235	0,201
3240	0,401
3245	0,401
3250	0
3255	0
3260	0,401
3265	0,201
3270	0
3275	0
3280	0,401
3285	0,401
3290	0
3295	0,401
3300	0,201
3305	0,201
3310	0,201
3315	0,401
3320	0,201
3325	0,201
3330	0
3335	0,201
3340	0
3345	0,201
3350	0,201
3355	0,201
3360	0,201
3365	0,401
3370	0
3375	0
3380	0
3385	0,201
3390	0,401
3395	0,201
3400	0,6
3405	0
3410	0
3415	0
3420	0,201
3425	0,201
3430	0,801
3435	0,401
3440	0,201
3445	0,201
3450	0
3455	0,801
3460	0,201
3465	0
3470	0
3475	0,401
3480	0
3485	0,201
3490	0,201
3495	0,401
3500	0
3505	0
3510	0,201
3515	0,201
3520	0,401
3525	0,401
3530	0
3535	0,801
3540	0,201
3545	0
3550	0
3555	0
3560	0,401
3565	0
3570	0,401
3575	0,401
3580	0,801
3585	0
3590	0,201
3595	0,201
3600	0,201
3605	0
3610	0,401
3615	0
3620	0,201
3625	0,201
3630	0
3635	0
3640	0,201
3645	0
3650	0,201
3655	0
3660	0,401
3665	0
3670	0,201
3675	0
3680	0,201
3685	0
3690	0,201
3695	0,201
3700	0,401
3705	0,201
3710	0
3715	0
3720	0
3725	0
3730	0,401
3735	0
3740	0,201
3745	0,401
3750	0,201
3755	0,401
3760	0
3765	0
3770	0
3775	0,201
3780	0,201
3785	0
3790	0,201
3795	0,401
3800	0,401
3805	0,6
3810	0,6
3815	0
3820	0
3825	0
3830	0
3835	0,201
3840	0
3845	0,401
3850	0,201
3855	0
3860	0,401
3865	0
3870	0,6
3875	0,201
3880	0,6
3885	0,201
3890	0,401
3895	0
3900	0,201
3905	0
3910	0,6
3915	0,6
3920	0,401
3925	0
3930	0
3935	0
3940	0
3945	0,201
3950	0
3955	0
3960	0,401
3965	0
3970	0,201
3975	0,401
3980	0,201
3985	0,201
3990	0,201
3995	0,401
4000	0,6
4005	0,201
4010	0,401
4015	0,201
4020	0,201
4025	0
4030	0,6
4035	1,2
4040	0
4045	0,401
4050	0,201
4055	0,201
4060	0,401
4065	0,801
4070	0,201
4075	0
4080	0,201
4085	0,201
4090	0,801
4095	0,201
4100	0,401
4105	0
4110	0,6
4115	0,6
4120	0,201
4125	0,401
4130	0
4135	0,801
4140	0,201
4145	0
4150	0,201
4155	0,401
4160	0,201
4165	0,6
4170	0,401
4175	0,201
4180	1
4185	0,201
4190	0
4195	0,401
4200	0,6
4205	0
4210	0,6
4215	0,401
4220	0,201
4225	0,6
4230	0,201
4235	0,6
4240	0
4245	0,401
4250	0,201
4255	0,201
4260	0,401
4265	0,201
4270	0,6
4275	0,401
4280	0,201
4285	0,201
4290	0,201
4295	0,201
4300	0,6
4305	0,401
4310	0,201
4315	0,6
4320	0,401
4325	0,201
4330	0,401
4335	0,801
4340	0,201
4345	0,201
4350	0,401
4355	0
4360	0,201
4365	0,201
4370	0
4375	0
4380	0,6
4385	0,201
4390	0,201
4395	0
4400	0
4405	0,801
4410	0,6
4415	0,201
4420	0
4425	0,6
4430	0,401
4435	0,6
4440	0,201
4445	0,201
4450	0,201
4455	0,201
4460	0,201
4465	0
4470	0,201
4475	0,201
4480	0
4485	0,401
4490	0,401
4495	0,401
4500	0
4505	0,401
4510	0,201
4515	0,6
4520	0,401
4525	0,201
4530	0,6
4535	0,201
4540	0,6
4545	0,801
4550	0,201
4555	0,801
4560	0,201
4565	0,201
4570	0,201
4575	0,201
4580	0
4585	0
