E,eV	N(E),part
0	5
180	10
360	12
540	13
720	16
900	16
1080	28
1260	22
1440	28
1620	33
1800	32
1980	38
2160	44
2340	40
2520	43
2700	53
2880	51
3060	49
3240	58
3420	76
3600	64
3780	67
3960	78
4140	89
4320	82
4500	81
4680	92
4860	100
5040	99
5220	86
5400	105
5580	114
5760	112
5940	94
6120	117
6300	107
6480	117
6660	106
6840	113
7020	118
7200	119
7380	107
7560	115
7740	104
7920	118
8100	129
8280	119
8460	121
8640	133
8820	116
9000	117
9180	122
9360	98
9540	102
9720	124
9900	107
10080	103
10260	102
10440	94
10620	102
10800	85
10980	71
11160	85
11340	77
11520	81
11700	74
11880	70
12060	58
12240	62
12420	72
12600	58
12780	64
12960	57
13140	51
13320	42
13500	52
13680	37
13860	32
14040	29
14220	37
14400	30
14580	31
14760	25
14940	20
15120	21
15300	24
15480	24
15660	18
15840	22
16020	19
16200	20
16380	16
16560	23
16740	19
16920	27
17100	24
17280	57
17460	128
17640	153
17820	0
18000	0
