E,eV	N(E),part
0	9
180	12
360	15
540	13
720	20
900	14
1080	15
1260	14
1440	20
1620	21
1800	21
1980	26
2160	27
2340	29
2520	34
2700	36
2880	46
3060	38
3240	38
3420	43
3600	56
3780	55
3960	45
4140	61
4320	44
4500	60
4680	61
4860	69
5040	67
5220	74
5400	61
5580	70
5760	73
5940	76
6120	78
6300	81
6480	78
6660	93
6840	89
7020	96
7200	87
7380	94
7560	90
7740	80
7920	97
8100	95
8280	88
8460	93
8640	99
8820	96
9000	81
9180	90
9360	73
9540	86
9720	85
9900	81
10080	84
10260	86
10440	71
10620	101
10800	79
10980	66
11160	80
11340	77
11520	62
11700	58
11880	58
12060	63
12240	58
12420	58
12600	65
12780	63
12960	48
13140	50
13320	61
13500	36
13680	53
13860	64
14040	49
14220	49
14400	59
14580	39
14760	40
14940	66
15120	64
15300	62
15480	72
15660	76
15840	96
16020	121
16200	147
16380	175
16560	204
16740	228
16920	245
17100	222
17280	184
17460	192
17640	157
17820	0
18000	0
