E,eV	dN/dE,part/eV
0	88610
10	33022
20	14833
30	11251
40	8101
50	6128
60	4917
70	4102
80	3421
90	2975
100	2666
110	2324
120	2116
130	1864
140	1718
150	1515
160	1350
170	1310
180	1125
190	1059
200	1012
210	952
220	831
230	800
240	739
250	732
260	692
270	627
280	602
290	541
300	553
310	501
320	497
330	443
340	464
350	423
360	416
370	368
380	392
390	356
400	342
410	298
420	333
430	300
440	318
450	276
460	290
470	221
480	297
490	257
500	211
510	242
520	238
530	213
540	206
550	219
560	204
570	197
580	194
590	194
600	184
610	193
620	170
630	181
640	167
650	138
660	158
670	164
680	134
690	146
700	154
710	148
720	119
730	105
740	151
750	126
760	115
770	115
780	107
790	108
800	124
810	106
820	101
830	108
840	104
850	103
860	107
870	108
880	99
890	90
900	91
910	100
920	84
930	81
940	100
950	75
960	76
970	78
980	67
990	82
1000	77
1010	84
1020	70
1030	70
1040	61
1050	68
1060	62
1070	60
1080	78
1090	76
1100	75
1110	68
1120	56
1130	69
1140	72
1150	54
1160	51
1170	56
1180	63
1190	57
1200	54
1210	60
1220	52
1230	63
1240	66
1250	55
1260	75
1270	51
1280	63
1290	68
1300	67
1310	105
1320	90
1330	148
1340	202
1350	249
1360	251
1370	257
1380	269
1390	254
1400	224
1410	212
1420	174
1430	85
1440	65
1450	60
1460	54
1470	51
1480	55
1490	39
1500	44
1510	47
1520	46
1530	41
1540	34
1550	29
1560	35
1570	34
1580	33
1590	33
1600	19
1610	38
1620	24
1630	27
1640	34
1650	27
1660	35
1670	32
1680	27
1690	32
1700	22
1710	32
1720	30
1730	33
1740	28
1750	23
1760	29
1770	35
1780	25
1790	32
1800	25
1810	35
1820	27
1830	24
1840	26
1850	17
1860	28
1870	32
1880	18
1890	21
1900	14
1910	25
1920	16
1930	30
1940	18
1950	17
1960	26
1970	25
1980	30
1990	16
2000	24
2010	20
2020	20
2030	19
2040	21
2050	23
2060	23
2070	21
2080	20
2090	22
2100	19
2110	29
2120	15
2130	17
2140	14
2150	29
2160	28
2170	17
2180	17
2190	22
2200	19
2210	17
2220	22
2230	20
2240	19
2250	17
2260	16
2270	8
2280	22
2290	18
2300	24
2310	21
2320	12
2330	8
2340	19
2350	17
2360	18
2370	26
2380	18
2390	10
2400	11
2410	21
2420	17
2430	13
2440	15
2450	16
2460	15
2470	17
2480	17
2490	21
2500	28
2510	32
2520	20
2530	23
2540	36
2550	50
2560	62
2570	67
2580	75
2590	70
2600	62
2610	58
2620	73
2630	64
2640	65
2650	63
2660	68
2670	50
2680	41
2690	55
2700	53
2710	27
2720	26
2730	14
2740	17
2750	16
2760	20
2770	16
2780	21
2790	16
2800	16
2810	12
2820	14
2830	19
2840	9
2850	11
2860	15
2870	14
2880	22
2890	10
2900	6
2910	7
2920	15
2930	14
2940	12
2950	11
2960	12
2970	11
2980	13
2990	8
3000	10
3010	5
3020	14
3030	12
3040	13
3050	11
3060	11
3070	12
3080	6
3090	8
3100	10
3110	16
3120	10
3130	11
3140	7
3150	16
3160	5
3170	11
3180	10
3190	12
3200	6
3210	9
3220	13
3230	5
3240	14
3250	7
3260	7
3270	13
3280	8
3290	16
3300	9
3310	8
3320	9
3330	15
3340	13
3350	9
3360	10
3370	9
3380	12
3390	5
3400	9
3410	14
3420	12
3430	9
3440	5
3450	11
3460	8
3470	6
3480	10
3490	11
3500	9
3510	6
3520	6
3530	5
