E,eV	N,part
0	64998
10	24583
20	7118
30	3494
40	2079
50	1404
60	1025
70	762
80	596
90	510
100	424
110	385
120	306
130	278
140	258
150	218
160	239
170	206
180	155
190	154
200	140
210	140
220	122
230	124
240	90
250	89
260	74
270	105
280	62
290	73
300	77
310	66
320	57
330	64
340	58
350	42
360	44
370	43
380	49
390	41
400	38
410	40
420	35
430	28
440	35
450	38
460	30
470	30
480	26
490	24
500	26
510	18
520	22
530	24
540	24
550	21
560	17
570	26
580	22
590	14
600	29
610	12
620	18
630	16
640	15
650	15
660	12
670	20
680	21
690	20
700	7
710	10
720	11
730	16
740	13
750	19
760	9
770	10
780	8
790	10
800	11
810	14
820	6
830	14
840	9
850	14
860	17
870	12
880	5
890	6
900	7
910	6
920	8
930	17
940	13
950	17
960	9
970	5
980	8
990	6
1000	5
1010	3
1020	6
1030	9
1040	9
1050	14
1060	9
1070	8
1080	4
1090	8
1100	6
1110	7
1120	10
1130	6
1140	5
1150	7
1160	7
1170	9
1180	3
1190	9
1200	11
1210	9
1220	6
1230	7
1240	7
1250	12
1260	14
1270	10
1280	14
1290	16
1300	21
1310	34
1320	56
1330	96
1340	400
1350	480
1360	476
1370	406
1380	405
1390	391
1400	360
1410	401
1420	354
1430	62
1440	23
1450	6
1460	21
1470	3
1480	9
1490	12
1500	9
1510	7
1520	4
1530	5
1540	6
1550	4
1560	2
1570	5
1580	4
1590	3
1600	3
1610	5
1620	6
1630	4
1640	4
1650	6
1660	2
1670	2
1680	2
1690	3
1700	4
1710	5
1720	3
1730	5
1740	6
1750	2
1760	2
1770	3
1780	2
1790	1
1800	1
1810	1
1820	2
1830	5
1840	0
1850	4
1860	4
1870	2
1880	4
1890	5
1900	1
1910	0
1920	1
1930	4
1940	5
1950	4
1960	6
1970	5
1980	2
1990	3
2000	2
2010	2
2020	2
2030	4
2040	1
2050	3
2060	2
2070	1
2080	0
2090	2
2100	2
2110	4
2120	2
2130	3
2140	0
2150	2
2160	0
2170	4
2180	2
2190	2
2200	6
2210	4
2220	3
2230	2
2240	4
2250	4
2260	2
2270	1
2280	2
2290	1
2300	1
2310	2
2320	2
2330	0
2340	4
2350	5
2360	5
2370	3
2380	2
2390	1
2400	2
2410	4
2420	5
2430	2
2440	4
2450	3
2460	3
2470	1
2480	4
2490	6
2500	2
2510	8
2520	18
2530	11
2540	51
2550	113
2560	88
2570	115
2580	112
2590	116
2600	83
2610	88
2620	103
2630	84
2640	106
2650	90
2660	110
2670	94
2680	81
2690	88
2700	108
2710	79
2720	16
2730	4
2740	2
2750	3
2760	0
2770	3
2780	0
2790	2
2800	2
2810	1
2820	1
2830	3
2840	2
2850	1
2860	1
2870	5
2880	1
2890	3
2900	0
2910	3
2920	3
2930	2
2940	0
2950	0
2960	1
2970	1
2980	1
2990	3
3000	1
3010	0
3020	4
3030	1
3040	0
3050	1
3060	0
3070	3
3080	2
3090	2
3100	0
3110	2
3120	2
3130	2
3140	1
