E,eV	I,A
0	4,4452E-11
1000,55	4,4452E-11
1022,53	4,4452E-11
1044,52	4,4334E-11
1066,51	4,4452E-11
1088,5	4,2652E-11
1110,5	4,4452E-11
1132,48	4,4452E-11
1154,47	4,4452E-11
1176,47	4,1156E-11
1198,46	3,8955E-11
1220,45	3,8184E-11
1242,43	3,3379E-11
1264,42	3,527E-11
1286,41	3,0301E-11
1308,4	2,754E-11
1330,39	2,554E-11
1352,38	2,1363E-11
1374,37	2,3023E-11
1396,36	2,0549E-11
1418,36	2,1703E-11
1440,34	2,1036E-11
1462,33	2,0045E-11
1484,32	2,5631E-11
1506,32	2,4295E-11
1528,3	2,1606E-11
1550,29	2,8536E-11
1572,28	2,9983E-11
1594,27	3,1896E-11
1616,26	3,3053E-11
1638,25	3,5498E-11
1660,24	3,6481E-11
1682,23	4,2055E-11
1704,22	5,1509E-11
1726,22	4,4582E-11
1748,21	4,3323E-11
1770,19	3,7952E-11
1792,18	2,9215E-11
1814,17	2,216E-11
1836,16	2,166E-11
1858,15	1,92373E-11
1880,14	1,5426E-11
1902,13	1,68466E-11
1924,12	1,74096E-11
1946,11	1,30512E-11
1968,1	1,13325E-11
1990,09	1,13513E-11
2012,08	1,18118E-11
2034,08	9,3666E-12
2056,06	7,9869E-12
2078,05	6,6122E-12
2100,04	6,6484E-12
2122,03	5,182E-12
2144,02	7,6578E-12
2166,01	7,2657E-12
2188	5,7856E-12
2209,99	7,7777E-12
2231,98	5,6077E-12
2253,97	6,9189E-12
2275,96	7,063E-12
2297,95	5,4456E-12
2319,94	4,7169E-12
2341,93	6,2043E-12
2363,92	7,0406E-12
2385,91	7,4159E-12
2407,9	8,8976E-12
2429,89	7,2828E-12
2451,88	7,1823E-12
2473,87	6,3378E-12
2495,86	6,1133E-12
2517,85	7,7199E-12
2539,84	9,2344E-12
2561,83	1,01824E-11
2583,83	9,542E-12
2605,81	1,06802E-11
2627,8	8,4997E-12
2649,8	8,8363E-12
2671,78	7,5876E-12
2693,78	8,1488E-12
2715,77	8,402E-12
2737,75	7,029E-12
2759,74	9,4531E-12
2781,73	1,00356E-11
2803,72	8,656E-12
2825,71	7,5089E-12
2847,7	7,5063E-12
2869,69	6,0378E-12
2891,68	7,2843E-12
2913,67	9,3895E-12
2935,66	7,1477E-12
2957,65	7,0799E-12
2979,64	1,00681E-11
3001,63	9,5324E-12
3023,63	9,8679E-12
3045,61	1,0931E-11
3067,6	8,6511E-12
3089,59	7,044E-12
3111,58	8,658E-12
3133,57	8,171E-12
3155,56	7,992E-12
3177,55	5,6487E-12
3199,55	8,3423E-12
3221,53	9,3931E-12
3243,52	9,1924E-12
3265,52	7,6311E-12
3287,5	8,6096E-12
3309,49	1,14676E-11
3331,48	8,2892E-12
3353,47	9,6736E-12
3375,46	6,9576E-12
3397,45	8,8482E-12
3419,44	9,2261E-12
3441,43	1,09907E-11
3463,42	6,7865E-12
3485,41	7,4559E-12
3507,4	7,952E-12
3529,39	6,4933E-12
3551,38	9,4085E-12
3573,37	8,5598E-12
3595,36	1,07838E-11
3617,35	7,5862E-12
3639,34	9,0071E-12
3661,33	8,759E-12
3683,32	1,04604E-11
3705,31	9,3479E-12
3727,3	7,1155E-12
3749,3	7,6683E-12
3771,28	9,0123E-12
3793,27	9,8504E-12
3815,27	9,0937E-12
3837,25	7,0906E-12
3859,24	8,6279E-12
3881,23	8,7211E-12
3903,22	6,8282E-12
3925,21	1,0141E-11
3947,2	8,108E-12
3969,19	9,3473E-12
3991,18	1,02647E-11
4013,17	8,3812E-12
4035,16	8,997E-12
4057,15	7,6686E-12
4079,14	1,05528E-11
4101,13	9,849E-12
4123,12	8,3159E-12
4145,11	7,243E-12
4167,1	9,1669E-12
4189,1	1,03494E-11
4211,08	1,1153E-11
4233,07	8,1331E-12
4255,07	7,5658E-12
4277,05	8,8897E-12
4299,04	6,7444E-12
4321,04	6,7243E-12
4343,02	8,7505E-12
4365,01	7,6236E-12
4387,01	8,0509E-12
4408,99	6,3043E-12
4430,98	7,4611E-12
4452,97	1,03049E-11
4474,97	7,1074E-12
4496,95	8,2332E-12
4518,95	7,1845E-12
4540,93	6,5224E-12
4562,92	6,2344E-12
4584,91	8,8185E-12
4606,91	8,2413E-12
4628,89	8,7818E-12
4650,88	6,0944E-12
4672,87	6,9241E-12
4694,86	8,6387E-12
4716,85	8,8674E-12
4738,84	8,4849E-12
4760,84	6,6438E-12
4782,82	6,989E-12
4804,81	8,0983E-12
4826,8	7,718E-12
4848,79	1,1745E-11
4870,78	1,04753E-11
4892,77	6,9538E-12
4914,76	8,5539E-12
4936,75	6,3429E-12
4958,74	9,1378E-12
4980,74	7,259E-12
5002,72	7,3152E-12
5024,71	1,0118E-11
5046,7	9,1676E-12
5068,69	6,4791E-12
5090,68	9,1359E-12
5112,68	6,0677E-12
5134,66	7,4286E-12
5156,65	6,6857E-12
5178,64	7,3585E-12
5200,64	6,5776E-12
5222,62	7,1621E-12
5244,61	5,8785E-12
5266,6	7,21E-12
5288,59	6,4466E-12
5310,58	5,229E-12
5332,57	7,0419E-12
5354,57	7,1926E-12
5376,55	7,0232E-12
5398,54	6,8233E-12
5420,53	7,3212E-12
5442,52	4,6962E-12
5464,51	4,4818E-12
5486,51	4,4691E-12
5508,49	6,4864E-12
5530,48	7,901E-12
5552,47	7,5626E-12
5574,47	7,0244E-12
5596,45	1,01542E-11
5618,45	9,9069E-12
5640,43	7,594E-12
5662,42	7,515E-12
5684,41	6,9662E-12
5706,41	6,8139E-12
5728,39	5,567E-12
5750,38	5,1431E-12
5772,37	6,7085E-12
5794,36	7,6646E-12
5816,35	6,0659E-12
