E, keV	I, A
5,00272E+0	-3,25450E-12
5,01372E+0	7,81200E-13
5,02471E+0	-1,66060E-12
5,03571E+0	-1,66200E-12
5,04670E+0	4,14230E-12
5,05770E+0	-4,50500E-13
5,06869E+0	3,71240E-12
5,07969E+0	1,21240E-12
5,09068E+0	6,00700E-13
5,10168E+0	1,42430E-12
5,11268E+0	-1,58520E-12
5,12367E+0	2,84020E-12
5,13466E+0	4,02950E-12
5,14566E+0	6,87670E-12
5,15665E+0	1,13030E-12
5,16765E+0	7,01000E-14
5,17864E+0	1,31900E-12
5,18964E+0	8,19800E-13
5,20064E+0	-2,07640E-12
5,21163E+0	5,16700E-13
5,22262E+0	7,69790E-12
5,23362E+0	4,11100E-13
5,24461E+0	1,86980E-12
5,25561E+0	6,76500E-12
5,26660E+0	5,19980E-12
5,27760E+0	3,63440E-12
5,28859E+0	6,98600E-12
5,29959E+0	2,55840E-12
5,31058E+0	5,13410E-12
5,32158E+0	2,08210E-12
5,33257E+0	5,69870E-12
5,34357E+0	4,19060E-12
5,35457E+0	1,67890E-12
5,36556E+0	2,30150E-12
5,37655E+0	6,74400E-12
5,38755E+0	3,45170E-12
5,39854E+0	3,37900E-12
5,40954E+0	8,44300E-13
5,42053E+0	7,93600E-13
5,43153E+0	5,28670E-12
5,44252E+0	9,78750E-12
5,45352E+0	4,58600E-13
5,46451E+0	1,01252E-11
5,47551E+0	2,53900E-13
5,48651E+0	3,22190E-12
5,49750E+0	-3,52000E-14
5,50849E+0	3,45990E-12
5,51949E+0	6,49560E-12
5,53048E+0	9,53670E-12
5,54148E+0	5,70840E-12
5,55247E+0	2,81310E-12
5,56347E+0	5,64430E-12
5,57447E+0	6,37160E-12
5,58546E+0	4,48230E-12
5,59645E+0	6,16000E-13
5,60745E+0	3,28470E-12
5,61845E+0	2,36930E-12
5,62944E+0	1,04168E-11
5,64043E+0	1,09012E-11
5,65143E+0	8,36990E-12
5,66242E+0	4,80970E-12
5,67342E+0	6,16660E-12
5,68441E+0	7,81270E-12
5,69541E+0	5,12210E-12
5,70641E+0	5,05370E-12
5,71740E+0	1,30776E-11
5,72839E+0	5,39020E-12
5,73939E+0	5,09440E-12
5,75038E+0	5,01300E-12
5,76138E+0	6,24030E-12
5,77237E+0	1,11975E-11
5,78337E+0	1,00355E-11
5,79436E+0	1,19584E-11
5,80536E+0	7,48730E-12
5,81635E+0	2,41510E-12
5,82735E+0	7,26270E-12
5,83834E+0	4,79670E-12
5,84934E+0	3,61910E-12
5,86034E+0	5,31850E-12
5,87133E+0	9,08620E-12
5,88232E+0	1,05204E-11
5,89332E+0	1,06435E-11
5,90431E+0	7,27730E-12
5,91531E+0	7,31420E-12
5,92630E+0	1,50461E-11
5,93730E+0	5,79740E-12
5,94829E+0	1,09911E-11
5,95929E+0	1,23584E-11
5,97028E+0	1,55469E-11
5,98128E+0	1,91359E-11
5,99227E+0	1,40884E-11
6,00327E+0	7,57040E-12
6,01426E+0	8,69200E-12
6,02526E+0	1,40475E-11
6,03625E+0	9,60750E-12
6,04725E+0	1,39366E-11
6,05824E+0	1,82765E-11
6,06924E+0	1,13245E-11
6,08024E+0	1,02610E-11
6,09123E+0	8,08140E-12
6,10222E+0	1,00861E-11
6,11322E+0	1,17420E-11
6,12421E+0	1,05104E-11
6,13521E+0	1,07200E-11
6,14620E+0	7,48220E-12
6,15720E+0	1,51841E-11
6,16819E+0	1,20164E-11
6,17919E+0	7,39860E-12
6,19018E+0	8,75790E-12
6,20118E+0	1,08732E-11
6,21218E+0	5,50080E-12
6,22317E+0	1,25751E-11
6,23416E+0	7,17590E-12
6,24516E+0	6,46010E-12
6,25615E+0	1,00006E-11
6,26715E+0	5,71190E-12
6,27814E+0	1,31201E-11
6,28914E+0	1,42403E-11
6,30014E+0	7,68230E-12
6,31113E+0	9,42170E-12
6,32212E+0	5,72030E-12
6,33312E+0	1,03323E-11
6,34411E+0	6,65000E-12
