E, keV	I, A
5,00272E+0	-2,70610E-12
5,01372E+0	-1,10540E-12
5,02471E+0	3,22320E-12
5,03571E+0	3,46100E-12
5,04670E+0	-1,97750E-12
5,05770E+0	-2,96000E-14
5,06869E+0	5,24420E-12
5,07969E+0	2,42350E-12
5,09068E+0	5,97550E-12
5,10168E+0	3,55630E-12
5,11268E+0	3,67390E-12
5,12367E+0	3,32880E-12
5,13466E+0	5,99280E-12
5,14566E+0	5,76260E-12
5,15665E+0	7,89460E-12
5,16765E+0	2,08040E-12
5,17864E+0	5,48900E-13
5,18964E+0	5,02950E-12
5,20064E+0	1,98630E-12
5,21163E+0	6,86900E-13
5,22262E+0	9,67000E-13
5,23362E+0	2,75640E-12
5,24461E+0	8,97380E-12
5,25561E+0	2,26150E-12
5,26660E+0	3,46600E-12
5,27760E+0	7,21000E-12
5,28859E+0	-8,12700E-13
5,29959E+0	3,97760E-12
5,31058E+0	5,92460E-12
5,32158E+0	4,06610E-12
5,33257E+0	4,01400E-13
5,34357E+0	4,70700E-12
5,35457E+0	4,76960E-12
5,36556E+0	1,02087E-11
5,37655E+0	2,90610E-12
5,38755E+0	4,92160E-12
5,39854E+0	-8,65000E-13
5,40954E+0	6,73100E-13
5,42053E+0	2,39050E-12
5,43153E+0	8,16870E-12
5,44252E+0	4,34550E-12
5,45352E+0	4,67150E-12
5,46451E+0	1,03266E-11
5,47551E+0	3,37700E-13
5,48651E+0	7,85260E-12
5,49750E+0	9,60260E-12
5,50849E+0	1,23130E-12
5,51949E+0	2,81420E-12
5,53048E+0	-4,95800E-13
5,54148E+0	7,08490E-12
5,55247E+0	1,31524E-11
5,56347E+0	4,07940E-12
5,57447E+0	1,15257E-11
5,58546E+0	1,09268E-11
5,59645E+0	1,01824E-11
5,60745E+0	7,79390E-12
5,61845E+0	2,74780E-12
5,62944E+0	7,03200E-13
5,64043E+0	3,69490E-12
5,65143E+0	3,30120E-12
5,66242E+0	1,24490E-12
5,67342E+0	5,61770E-12
5,68441E+0	6,04300E-12
5,69541E+0	1,02541E-11
5,70641E+0	3,66780E-12
5,71740E+0	2,57940E-12
5,72839E+0	9,17990E-12
5,73939E+0	1,15051E-11
5,75038E+0	4,42560E-12
5,76138E+0	3,10660E-12
5,77237E+0	3,57670E-12
5,78337E+0	6,68950E-12
5,79436E+0	3,90720E-12
5,80536E+0	8,43290E-12
5,81635E+0	4,89390E-12
5,82735E+0	4,10140E-12
5,83834E+0	4,25350E-12
5,84934E+0	6,82270E-12
5,86034E+0	1,02878E-11
5,87133E+0	4,49180E-12
5,88232E+0	5,28000E-13
5,89332E+0	9,66210E-12
5,90431E+0	2,09170E-12
5,91531E+0	2,21570E-12
5,92630E+0	-2,18000E-14
5,93730E+0	-2,29310E-12
5,94829E+0	8,96120E-12
5,95929E+0	5,78410E-12
5,97028E+0	1,37200E-12
5,98128E+0	1,11990E-11
5,99227E+0	5,42390E-12
6,00327E+0	4,64590E-12
6,01426E+0	7,40260E-12
6,02526E+0	-4,16700E-13
6,03625E+0	8,18780E-12
6,04725E+0	-5,97900E-13
6,05824E+0	2,78650E-12
6,06924E+0	1,60250E-12
6,08024E+0	8,99800E-13
6,09123E+0	1,20173E-11
6,10222E+0	7,51350E-12
6,11322E+0	5,68460E-12
6,12421E+0	5,76650E-12
6,13521E+0	7,93930E-12
6,14620E+0	2,85010E-12
6,15720E+0	7,76880E-12
6,16819E+0	5,82140E-12
6,17919E+0	7,95950E-12
6,19018E+0	9,16010E-12
6,20118E+0	1,20856E-11
6,21218E+0	7,50510E-12
6,22317E+0	1,91620E-12
6,23416E+0	5,96820E-12
6,24516E+0	1,06353E-11
6,25615E+0	5,19600E-12
6,26715E+0	4,71300E-12
6,27814E+0	2,23740E-12
6,28914E+0	2,88020E-12
6,30014E+0	4,12000E-12
6,31113E+0	1,47528E-11
