E, keV	I, A
0,00000E+0	-1,22120E-12
1,09950E-2	-1,65760E-12
2,19900E-2	-6,80700E-13
3,29850E-2	-1,09190E-12
4,39800E-2	-2,77500E-13
5,49750E-2	-1,48700E-12
6,59700E-2	-9,88000E-13
7,69650E-2	-3,86800E-13
8,79600E-2	-4,45500E-13
9,89550E-2	-1,45570E-12
1,09950E-1	2,01300E-13
1,20945E-1	-7,14100E-13
1,31940E-1	-7,89000E-13
1,42935E-1	-1,03530E-12
1,53930E-1	7,80700E-13
1,64925E-1	1,88300E-13
1,75920E-1	2,64000E-14
1,86915E-1	-8,90300E-13
1,97910E-1	7,04900E-13
2,08905E-1	-2,93500E-13
2,19900E-1	-1,09200E-12
2,30895E-1	-1,16390E-12
2,41890E-1	-4,94500E-13
2,52885E-1	1,28210E-12
2,63880E-1	-1,04750E-12
2,74875E-1	-2,82100E-13
2,85870E-1	-6,08400E-13
2,96865E-1	-1,63580E-12
3,07860E-1	-1,27080E-12
3,18855E-1	-8,42700E-13
3,29850E-1	-1,12000E-13
3,40845E-1	-4,18900E-13
3,51840E-1	9,97000E-13
3,62835E-1	-8,50900E-13
3,73830E-1	-3,88700E-13
3,84825E-1	-6,18000E-13
3,95820E-1	-4,24000E-14
4,06815E-1	2,50300E-13
4,17810E-1	-5,24200E-13
4,28805E-1	-4,32000E-13
4,39800E-1	7,86000E-13
4,50795E-1	-3,97100E-13
4,61790E-1	-6,77100E-13
4,72785E-1	1,06010E-12
4,83780E-1	-6,93500E-13
4,94775E-1	-3,80900E-13
5,05770E-1	-2,42500E-13
5,16765E-1	2,08000E-14
5,27760E-1	-3,77400E-13
5,38755E-1	-1,38960E-12
5,49750E-1	-8,85200E-13
5,60745E-1	-1,04500E-13
5,71740E-1	3,47600E-13
5,82735E-1	-7,21300E-13
5,93730E-1	4,04200E-13
6,04725E-1	-5,73900E-13
6,15720E-1	-1,05500E-12
6,26715E-1	-6,64000E-13
6,37710E-1	5,42700E-13
6,48705E-1	-7,29900E-13
6,59700E-1	-5,93300E-13
6,70695E-1	6,51200E-13
6,81690E-1	-6,13400E-13
6,92685E-1	-3,03900E-13
7,03680E-1	1,10910E-12
7,14675E-1	1,77200E-13
7,25670E-1	-4,26700E-13
7,36665E-1	8,21900E-13
7,47660E-1	-9,34700E-13
7,58655E-1	1,37400E-13
7,69650E-1	-1,90900E-13
7,80645E-1	6,40000E-14
7,91640E-1	5,76400E-13
8,02635E-1	-1,10900E-13
8,13630E-1	2,58000E-12
8,24625E-1	-2,68900E-13
8,35620E-1	-7,31700E-13
8,46615E-1	3,04600E-13
8,57610E-1	-5,65100E-13
8,68605E-1	-7,44900E-13
8,79600E-1	-6,38700E-13
8,90595E-1	2,57600E-13
9,01590E-1	-9,21600E-13
9,12585E-1	-7,34800E-13
9,23580E-1	-3,78100E-13
9,34575E-1	-3,07300E-13
9,45570E-1	9,99800E-13
9,56565E-1	3,03000E-13
9,67560E-1	2,23680E-12
9,78555E-1	3,52540E-12
9,89550E-1	3,32600E-13
1,00055E+0	7,14200E-13
1,01154E+0	-1,67300E-13
1,02253E+0	-2,69900E-13
1,03353E+0	5,39300E-13
1,04452E+0	-6,42200E-13
1,05552E+0	-6,50000E-13
1,06651E+0	1,15390E-12
1,07751E+0	6,18100E-13
1,08850E+0	1,17950E-12
1,09950E+0	-3,21600E-13
1,11050E+0	8,98500E-13
1,12149E+0	-3,32900E-13
1,13248E+0	1,36420E-12
1,14348E+0	5,76800E-13
1,15447E+0	1,35360E-12
1,16547E+0	6,32000E-13
1,17647E+0	-3,30400E-13
1,18746E+0	2,46300E-13
1,19846E+0	1,48790E-12
