E, keV	I, A
5,00272E+0	1,41190E-11
5,01372E+0	1,46244E-11
5,02471E+0	1,82970E-11
5,03571E+0	1,06878E-11
5,04670E+0	1,64433E-11
5,05770E+0	1,03658E-11
5,06869E+0	1,81234E-11
5,07969E+0	1,09393E-11
5,09068E+0	1,47648E-11
5,10168E+0	1,45405E-11
5,11268E+0	1,88171E-11
5,12367E+0	1,19856E-11
5,13466E+0	1,61948E-11
5,14566E+0	2,16980E-11
5,15665E+0	1,75584E-11
5,16765E+0	1,67447E-11
5,17864E+0	2,93040E-11
5,18964E+0	2,28470E-11
5,20064E+0	2,06230E-11
5,21163E+0	2,78460E-11
5,22262E+0	2,25610E-11
5,23362E+0	2,01780E-11
5,24461E+0	2,15520E-11
5,25561E+0	2,25860E-11
5,26660E+0	2,44510E-11
5,27760E+0	2,41230E-11
5,28859E+0	1,64801E-11
5,29959E+0	2,21230E-11
5,31058E+0	1,39440E-11
5,32158E+0	1,78861E-11
5,33257E+0	1,37728E-11
5,34357E+0	2,01125E-11
5,35457E+0	1,55157E-11
5,36556E+0	1,88500E-11
5,37655E+0	2,61900E-11
5,38755E+0	1,78217E-11
5,39854E+0	1,72264E-11
5,40954E+0	2,09963E-11
5,42053E+0	1,58130E-11
5,43153E+0	1,78086E-11
5,44252E+0	2,20110E-11
5,45352E+0	1,94105E-11
5,46451E+0	1,86929E-11
5,47551E+0	2,23680E-11
5,48651E+0	1,69684E-11
5,49750E+0	1,57769E-11
5,50849E+0	1,44633E-11
5,51949E+0	1,55728E-11
5,53048E+0	2,80480E-11
5,54148E+0	2,50540E-11
5,55247E+0	2,06820E-11
5,56347E+0	2,79420E-11
5,57447E+0	2,05127E-11
5,58546E+0	2,34590E-11
5,59645E+0	2,25300E-11
5,60745E+0	2,23690E-11
5,61845E+0	2,15050E-11
5,62944E+0	2,06900E-11
5,64043E+0	2,15460E-11
5,65143E+0	2,26670E-11
5,66242E+0	2,74360E-11
5,67342E+0	3,41930E-11
5,68441E+0	3,34810E-11
5,69541E+0	2,80470E-11
5,70641E+0	2,86420E-11
5,71740E+0	2,50780E-11
5,72839E+0	2,41900E-11
5,73939E+0	3,49590E-11
5,75038E+0	3,96610E-11
5,76138E+0	3,21650E-11
5,77237E+0	3,53870E-11
5,78337E+0	2,64990E-11
5,79436E+0	4,04880E-11
5,80536E+0	3,14900E-11
5,81635E+0	3,05330E-11
5,82735E+0	3,15920E-11
5,83834E+0	3,82680E-11
5,84934E+0	2,63410E-11
5,86034E+0	2,76260E-11
5,87133E+0	3,49990E-11
5,88232E+0	2,84700E-11
5,89332E+0	4,28460E-11
5,90431E+0	3,88830E-11
5,91531E+0	3,18340E-11
5,92630E+0	2,26150E-11
5,93730E+0	2,16810E-11
5,94829E+0	3,12180E-11
5,95929E+0	2,11320E-11
5,97028E+0	2,64220E-11
5,98128E+0	2,61960E-11
5,99227E+0	2,60410E-11
6,00327E+0	3,40920E-11
6,01426E+0	2,81880E-11
6,02526E+0	2,63050E-11
6,03625E+0	2,77240E-11
6,04725E+0	2,70940E-11
6,05824E+0	2,84580E-11
6,06924E+0	3,76960E-11
6,08024E+0	4,30020E-11
6,09123E+0	3,64350E-11
6,10222E+0	3,12170E-11
6,11322E+0	2,49820E-11
6,12421E+0	2,95610E-11
6,13521E+0	2,83420E-11
6,14620E+0	3,74240E-11
6,15720E+0	2,68650E-11
6,16819E+0	2,81820E-11
6,17919E+0	3,28090E-11
6,19018E+0	2,88860E-11
6,20118E+0	2,91170E-11
6,21218E+0	2,44900E-11
6,22317E+0	2,78720E-11
6,23416E+0	3,18630E-11
6,24516E+0	3,11480E-11
6,25615E+0	4,08370E-11
6,26715E+0	3,14160E-11
6,27814E+0	3,51910E-11
6,28914E+0	3,63760E-11
6,30014E+0	3,85720E-11
6,31113E+0	3,71660E-11
6,32212E+0	3,26600E-11
6,33312E+0	3,42400E-11
6,34411E+0	3,06310E-11
6,35511E+0	3,23580E-11
6,36610E+0	2,77530E-11
6,37710E+0	4,09170E-11
6,38809E+0	4,22120E-11
6,39909E+0	3,36160E-11
6,41008E+0	3,12210E-11
6,42108E+0	3,85960E-11
6,43207E+0	4,77100E-11
6,44307E+0	3,64830E-11
6,45406E+0	3,84670E-11
6,46506E+0	3,08960E-11
6,47605E+0	2,48720E-11
6,48705E+0	4,14000E-11
6,49804E+0	3,84000E-11
6,50904E+0	3,28900E-11
6,52003E+0	2,70330E-11
6,53103E+0	3,16230E-11
6,54202E+0	2,36230E-11
6,55302E+0	3,65140E-11
6,56401E+0	3,28150E-11
6,57501E+0	3,38600E-11
6,58601E+0	3,40790E-11
6,59700E+0	3,55620E-11
6,60799E+0	3,97390E-11
6,61899E+0	4,13270E-11
6,62998E+0	3,40190E-11
6,64098E+0	5,20570E-11
6,65197E+0	3,96150E-11
6,66297E+0	4,54170E-11
6,67396E+0	4,21870E-11
6,68496E+0	4,94160E-11
6,69595E+0	4,92720E-11
6,70695E+0	5,88870E-11
6,71795E+0	4,45450E-11
6,72894E+0	4,76700E-11
6,73993E+0	4,96140E-11
6,75093E+0	6,80110E-11
6,76192E+0	5,94640E-11
6,77292E+0	5,17960E-11
6,78391E+0	5,07440E-11
