E, keV	I, A
3,00163E+0	4,13300E-13
3,01263E+0	-7,42700E-13
3,02363E+0	1,14540E-12
3,03462E+0	8,79200E-13
3,04561E+0	1,76200E-13
3,05661E+0	4,44980E-12
3,06760E+0	1,48670E-12
3,07860E+0	6,31000E-13
3,08959E+0	-4,32100E-13
3,10059E+0	5,63800E-13
3,11158E+0	4,10600E-13
3,12258E+0	-9,57400E-13
3,13357E+0	2,16890E-12
3,14457E+0	1,54850E-12
3,15556E+0	1,29410E-12
3,16656E+0	-4,58500E-13
3,17755E+0	-7,20600E-13
3,18855E+0	-4,74500E-13
3,19955E+0	1,84930E-12
3,21054E+0	2,41180E-12
3,22153E+0	7,13600E-13
3,23253E+0	2,41400E-13
3,24352E+0	2,14200E-13
3,25452E+0	3,29810E-12
3,26552E+0	1,09320E-12
3,27651E+0	1,40020E-12
3,28750E+0	2,16960E-12
3,29850E+0	1,22640E-12
3,30949E+0	1,88700E-13
3,32049E+0	-5,28100E-13
3,33148E+0	1,35670E-12
3,34248E+0	1,47460E-12
3,35347E+0	5,58100E-13
3,36447E+0	3,00910E-12
3,37546E+0	1,81420E-12
3,38646E+0	3,21100E-13
3,39745E+0	1,09990E-12
3,40845E+0	1,83450E-12
3,41944E+0	-2,40100E-13
3,43044E+0	-7,36700E-13
3,44143E+0	1,89650E-12
3,45243E+0	7,21200E-13
3,46342E+0	3,10400E-12
3,47442E+0	2,44130E-12
3,48541E+0	4,92000E-14
3,49641E+0	2,23310E-12
3,50740E+0	2,79530E-12
3,51840E+0	5,88700E-13
3,52939E+0	4,18280E-12
3,54039E+0	9,94200E-13
3,55138E+0	1,46980E-12
3,56238E+0	2,79250E-12
3,57337E+0	3,61970E-12
3,58437E+0	2,51010E-12
3,59536E+0	8,48900E-13
3,60636E+0	2,07060E-12
3,61735E+0	4,70510E-12
3,62835E+0	1,81170E-12
3,63934E+0	1,11210E-12
3,65034E+0	1,35080E-12
3,66133E+0	1,08920E-12
3,67233E+0	1,56080E-12
3,68332E+0	3,88480E-12
3,69432E+0	3,08430E-12
3,70531E+0	3,22430E-12
3,71631E+0	2,90310E-12
3,72730E+0	1,10370E-12
3,73830E+0	2,67850E-12
3,74930E+0	3,96530E-12
3,76029E+0	5,16910E-12
3,77128E+0	1,83760E-12
3,78228E+0	1,37470E-12
3,79327E+0	3,58720E-12
3,80427E+0	1,56050E-12
3,81527E+0	6,87800E-13
3,82626E+0	1,18620E-12
3,83725E+0	2,19640E-12
3,84825E+0	5,26000E-12
3,85924E+0	2,63030E-12
3,87024E+0	1,47970E-12
3,88123E+0	3,95790E-12
3,89223E+0	8,84900E-13
3,90322E+0	2,84070E-12
3,91422E+0	2,88170E-12
3,92521E+0	6,80500E-13
3,93621E+0	9,29100E-13
3,94720E+0	1,50740E-12
3,95820E+0	4,22970E-12
3,96919E+0	2,23860E-12
3,98019E+0	3,93100E-13
3,99118E+0	1,56440E-12
4,00218E+0	1,52850E-12
4,01317E+0	1,27160E-12
4,02417E+0	1,98320E-12
4,03516E+0	2,15490E-12
4,04616E+0	1,00850E-12
4,05715E+0	1,32170E-12
4,06815E+0	2,18300E-13
4,07914E+0	2,35910E-12
4,09014E+0	8,71100E-13
4,10113E+0	1,78980E-12
4,11213E+0	1,02050E-12
4,12312E+0	5,14140E-12
4,13412E+0	3,77870E-12
4,14511E+0	1,37060E-12
4,15611E+0	1,93790E-12
4,16710E+0	2,83760E-12
4,17810E+0	2,26520E-12
4,18910E+0	3,40440E-12
4,20009E+0	9,91000E-14
4,21108E+0	8,34100E-13
4,22208E+0	3,79900E-12
4,23307E+0	9,13300E-13
4,24407E+0	2,60170E-12
4,25507E+0	1,14520E-12
4,26606E+0	7,05400E-13
4,27705E+0	1,21880E-12
4,28805E+0	1,33070E-12
4,29904E+0	4,19140E-12
4,31004E+0	2,03270E-12
4,32104E+0	9,56300E-13
4,33203E+0	1,09310E-12
4,34302E+0	3,82420E-12
4,35402E+0	6,12280E-12
4,36501E+0	5,04400E-13
4,37601E+0	1,16430E-12
4,38701E+0	2,79550E-12
4,39800E+0	2,22300E-13
4,40899E+0	1,91830E-12
4,41999E+0	3,42570E-12
4,43098E+0	2,31570E-12
4,44198E+0	1,36350E-12
4,45297E+0	1,52050E-12
4,46397E+0	6,86400E-13
4,47497E+0	1,70520E-12
4,48596E+0	2,24880E-12
4,49695E+0	2,03920E-12
4,50795E+0	2,50590E-12
4,51895E+0	1,80950E-12
4,52994E+0	1,97560E-12
4,54093E+0	4,10160E-12
4,55193E+0	3,81940E-12
4,56292E+0	2,87140E-12
4,57392E+0	4,80990E-12
4,58491E+0	3,43860E-12
4,59591E+0	2,19380E-12
4,60691E+0	3,97900E-13
4,61790E+0	5,14350E-12
4,62889E+0	3,02890E-12
4,63989E+0	4,26520E-12
4,65088E+0	2,39810E-12
