E, keV	I, A
5,00272E+0	1,10697E-11
5,01372E+0	6,84730E-12
5,02471E+0	1,21405E-11
5,03571E+0	1,53607E-11
5,04670E+0	1,55100E-11
5,05770E+0	1,56561E-11
5,06869E+0	1,22373E-11
5,07969E+0	2,05322E-11
5,09068E+0	1,24386E-11
5,10168E+0	1,28993E-11
5,11268E+0	1,85174E-11
5,12367E+0	1,09872E-11
5,13466E+0	1,80449E-11
5,14566E+0	1,80760E-11
5,15665E+0	2,04575E-11
5,16765E+0	1,80632E-11
5,17864E+0	1,49729E-11
5,18964E+0	2,02582E-11
5,20064E+0	1,98280E-11
5,21163E+0	1,37825E-11
5,22262E+0	1,78123E-11
5,23362E+0	2,07713E-11
5,24461E+0	1,88060E-11
5,25561E+0	1,77664E-11
5,26660E+0	1,79935E-11
5,27760E+0	1,83058E-11
5,28859E+0	1,91991E-11
5,29959E+0	1,76564E-11
5,31058E+0	1,61281E-11
5,32158E+0	1,64050E-11
5,33257E+0	2,25410E-11
5,34357E+0	2,15900E-11
5,35457E+0	1,52836E-11
5,36556E+0	2,08880E-11
5,37655E+0	2,24550E-11
5,38755E+0	2,85830E-11
5,39854E+0	2,54960E-11
5,40954E+0	2,00950E-11
5,42053E+0	2,06116E-11
5,43153E+0	1,71005E-11
5,44252E+0	1,10650E-11
5,45352E+0	1,79188E-11
5,46451E+0	1,39966E-11
5,47551E+0	1,54000E-11
5,48651E+0	2,08910E-11
5,49750E+0	1,76925E-11
5,50849E+0	1,64180E-11
5,51949E+0	2,00390E-11
5,53048E+0	2,10030E-11
5,54148E+0	2,60470E-11
5,55247E+0	2,34360E-11
5,56347E+0	2,25160E-11
5,57447E+0	2,21810E-11
5,58546E+0	2,15010E-11
5,59645E+0	2,01810E-11
5,60745E+0	2,28340E-11
5,61845E+0	2,01660E-11
5,62944E+0	2,86990E-11
5,64043E+0	3,11250E-11
5,65143E+0	2,27250E-11
5,66242E+0	3,09560E-11
5,67342E+0	2,37150E-11
5,68441E+0	1,75512E-11
5,69541E+0	3,05890E-11
5,70641E+0	2,99740E-11
5,71740E+0	2,21650E-11
5,72839E+0	3,01740E-11
5,73939E+0	3,10000E-11
5,75038E+0	2,32870E-11
5,76138E+0	2,85660E-11
5,77237E+0	2,36610E-11
5,78337E+0	2,44920E-11
5,79436E+0	2,27330E-11
5,80536E+0	2,64340E-11
5,81635E+0	2,97810E-11
5,82735E+0	3,08080E-11
5,83834E+0	2,15260E-11
5,84934E+0	2,83460E-11
5,86034E+0	3,24560E-11
5,87133E+0	2,45090E-11
5,88232E+0	2,56910E-11
5,89332E+0	2,57060E-11
5,90431E+0	2,55390E-11
5,91531E+0	2,95500E-11
5,92630E+0	2,92910E-11
5,93730E+0	2,60870E-11
5,94829E+0	3,30490E-11
5,95929E+0	2,13380E-11
5,97028E+0	2,59510E-11
5,98128E+0	3,24670E-11
5,99227E+0	2,06320E-11
6,00327E+0	2,97270E-11
6,01426E+0	3,04000E-11
6,02526E+0	2,34760E-11
6,03625E+0	2,67040E-11
6,04725E+0	2,68270E-11
6,05824E+0	2,68240E-11
6,06924E+0	3,06820E-11
6,08024E+0	2,80940E-11
6,09123E+0	2,26140E-11
6,10222E+0	2,79020E-11
6,11322E+0	3,35530E-11
6,12421E+0	3,13940E-11
6,13521E+0	2,56890E-11
6,14620E+0	2,21220E-11
6,15720E+0	2,65200E-11
6,16819E+0	2,85370E-11
6,17919E+0	2,58250E-11
6,19018E+0	2,47340E-11
6,20118E+0	2,89630E-11
6,21218E+0	2,46730E-11
6,22317E+0	2,95460E-11
6,23416E+0	2,57280E-11
6,24516E+0	2,62970E-11
6,25615E+0	3,55800E-11
6,26715E+0	3,25340E-11
6,27814E+0	3,51530E-11
6,28914E+0	2,65150E-11
6,30014E+0	3,68740E-11
6,31113E+0	2,24650E-11
6,32212E+0	3,01560E-11
6,33312E+0	2,49380E-11
6,34411E+0	3,35140E-11
6,35511E+0	3,38870E-11
6,36610E+0	2,76000E-11
6,37710E+0	2,91060E-11
6,38809E+0	2,59490E-11
6,39909E+0	3,19270E-11
6,41008E+0	2,79060E-11
6,42108E+0	3,57670E-11
6,43207E+0	2,52170E-11
6,44307E+0	2,76970E-11
6,45406E+0	3,22640E-11
6,46506E+0	3,21320E-11
6,47605E+0	4,06660E-11
6,48705E+0	3,28670E-11
6,49804E+0	3,79110E-11
6,50904E+0	3,73230E-11
6,52003E+0	2,57970E-11
6,53103E+0	2,64740E-11
6,54202E+0	2,72160E-11
6,55302E+0	4,71120E-11
6,56401E+0	3,99510E-11
6,57501E+0	3,39860E-11
6,58601E+0	3,43490E-11
6,59700E+0	3,83200E-11
6,60799E+0	3,11400E-11
6,61899E+0	3,40080E-11
6,62998E+0	4,42960E-11
6,64098E+0	4,22920E-11
6,65197E+0	3,28600E-11
6,66297E+0	3,84770E-11
6,67396E+0	4,13240E-11
6,68496E+0	5,45660E-11
6,69595E+0	4,82230E-11
6,70695E+0	4,96210E-11
6,71795E+0	4,49050E-11
6,72894E+0	5,30730E-11
6,73993E+0	6,00680E-11
6,75093E+0	4,69690E-11
6,76192E+0	4,54730E-11
6,77292E+0	4,79750E-11
6,78391E+0	3,83350E-11
6,79491E+0	4,67580E-11
6,80591E+0	4,12210E-11
6,81690E+0	4,73740E-11
6,82789E+0	4,47950E-11
6,83889E+0	4,13090E-11
6,84988E+0	4,19970E-11
6,86088E+0	4,91320E-11
6,87187E+0	4,16860E-11
6,88287E+0	4,08640E-11
6,89386E+0	3,80430E-11
6,90486E+0	4,16700E-11
6,91585E+0	4,77650E-11
6,92685E+0	4,66000E-11
6,93784E+0	4,32740E-11
6,94884E+0	4,99130E-11
6,95983E+0	5,48530E-11
6,97083E+0	4,56460E-11
