E, keV	I, A
3,00163E+0	2,92160E-12
3,01263E+0	2,29920E-12
3,02363E+0	3,53070E-12
3,03462E+0	3,68290E-12
3,04561E+0	2,95020E-12
3,05661E+0	1,33670E-12
3,06760E+0	1,88610E-12
3,07860E+0	5,23100E-12
3,08959E+0	2,10370E-12
3,10059E+0	6,77800E-13
3,11158E+0	2,89640E-12
3,12258E+0	2,46610E-12
3,13357E+0	3,47530E-12
3,14457E+0	1,77650E-12
3,15556E+0	1,28660E-12
3,16656E+0	2,97180E-12
3,17755E+0	3,38740E-12
3,18855E+0	2,54590E-12
3,19955E+0	1,00690E-12
3,21054E+0	2,51150E-12
3,22153E+0	3,36480E-12
3,23253E+0	1,44200E-12
3,24352E+0	2,60770E-12
3,25452E+0	3,40610E-12
3,26552E+0	2,40860E-12
3,27651E+0	3,61520E-12
3,28750E+0	2,54010E-12
3,29850E+0	9,56400E-13
3,30949E+0	1,57630E-12
3,32049E+0	4,39580E-12
3,33148E+0	4,02380E-12
3,34248E+0	2,81300E-13
3,35347E+0	2,69070E-12
3,36447E+0	6,24200E-12
3,37546E+0	5,31010E-12
3,38646E+0	6,98060E-12
3,39745E+0	5,06750E-12
3,40845E+0	4,56070E-12
3,41944E+0	4,78630E-12
3,43044E+0	2,18850E-12
3,44143E+0	7,70620E-12
3,45243E+0	8,34260E-12
3,46342E+0	9,66660E-12
3,47442E+0	5,17550E-12
3,48541E+0	3,29650E-12
3,49641E+0	4,39630E-12
3,50740E+0	3,08390E-12
3,51840E+0	3,42400E-12
3,52939E+0	8,49340E-12
3,54039E+0	9,42730E-12
3,55138E+0	6,48420E-12
3,56238E+0	1,03971E-11
3,57337E+0	7,38470E-12
3,58437E+0	5,19930E-12
3,59536E+0	1,03876E-11
3,60636E+0	1,22832E-11
3,61735E+0	6,30430E-12
3,62835E+0	1,16168E-11
3,63934E+0	8,07750E-12
3,65034E+0	6,57120E-12
3,66133E+0	7,91400E-12
3,67233E+0	7,28400E-12
3,68332E+0	4,07460E-12
3,69432E+0	5,29120E-12
3,70531E+0	6,04260E-12
3,71631E+0	8,90410E-12
3,72730E+0	7,89700E-12
3,73830E+0	7,02070E-12
3,74930E+0	8,99210E-12
3,76029E+0	6,02150E-12
3,77128E+0	6,40710E-12
3,78228E+0	7,72960E-12
3,79327E+0	8,37610E-12
3,80427E+0	8,30720E-12
3,81527E+0	5,31970E-12
3,82626E+0	9,57030E-12
3,83725E+0	6,91110E-12
3,84825E+0	7,70720E-12
3,85924E+0	5,61830E-12
3,87024E+0	8,35780E-12
3,88123E+0	8,74100E-12
3,89223E+0	8,43030E-12
3,90322E+0	6,19500E-12
3,91422E+0	4,05930E-12
3,92521E+0	4,06580E-12
3,93621E+0	5,02390E-12
3,94720E+0	7,26780E-12
3,95820E+0	5,99180E-12
3,96919E+0	5,21700E-12
3,98019E+0	5,86450E-12
3,99118E+0	5,24980E-12
4,00218E+0	2,76040E-12
4,01317E+0	5,37750E-12
4,02417E+0	4,48130E-12
4,03516E+0	5,24830E-12
4,04616E+0	8,45000E-12
4,05715E+0	6,35160E-12
4,06815E+0	6,05150E-12
4,07914E+0	4,31780E-12
4,09014E+0	5,06460E-12
4,10113E+0	3,96940E-12
4,11213E+0	3,26740E-12
4,12312E+0	8,33040E-12
4,13412E+0	3,59700E-12
4,14511E+0	5,50510E-12
4,15611E+0	1,08996E-11
4,16710E+0	6,68550E-12
4,17810E+0	5,43020E-12
4,18910E+0	6,59030E-12
4,20009E+0	6,30600E-12
4,21108E+0	6,10270E-12
