E, keV	I, A
0,00000E+0	1,52000E-13
2,19900E-2	3,18500E-13
4,39800E-2	9,46600E-13
6,59700E-2	3,44700E-13
8,79600E-2	2,85200E-13
1,09950E-1	5,81300E-13
1,31940E-1	2,32600E-13
1,53930E-1	1,32100E-13
1,75920E-1	1,00200E-13
1,97910E-1	1,91700E-13
2,19900E-1	4,73200E-13
2,41890E-1	6,59100E-13
2,63880E-1	3,08900E-13
2,85870E-1	1,27690E-12
3,07860E-1	1,54040E-12
3,29850E-1	2,04920E-12
3,51840E-1	1,21150E-12
3,73830E-1	1,38900E-13
3,95820E-1	1,23900E-13
4,17810E-1	1,24700E-13
4,39800E-1	1,22530E-12
4,61790E-1	7,92300E-13
4,83780E-1	1,00440E-12
5,05770E-1	5,79100E-13
5,27760E-1	3,25820E-12
5,49750E-1	6,53400E-13
5,71740E-1	1,94960E-12
5,93730E-1	5,30000E-13
6,15720E-1	2,98290E-12
6,37710E-1	3,03750E-12
6,59700E-1	2,10420E-12
6,81690E-1	1,54100E-12
7,03680E-1	5,93700E-13
7,25670E-1	4,33000E-13
7,47660E-1	7,87900E-13
7,69650E-1	3,07900E-13
7,91640E-1	1,03690E-12
8,13630E-1	1,12950E-12
8,35620E-1	1,47800E-12
8,57610E-1	6,35400E-13
8,79600E-1	1,51190E-12
9,01590E-1	2,88400E-13
9,23580E-1	5,44900E-13
9,45570E-1	2,75120E-12
9,67560E-1	7,70800E-13
9,89550E-1	1,79240E-12
1,01154E+0	5,38400E-13
1,03353E+0	7,64900E-13
1,05552E+0	8,94000E-13
1,07751E+0	2,89610E-12
1,09950E+0	5,51200E-13
1,12149E+0	2,67060E-12
1,14348E+0	1,46880E-12
1,16547E+0	1,52880E-12
1,18746E+0	7,83700E-13
1,20945E+0	2,50500E-12
1,23144E+0	1,37870E-12
1,25343E+0	1,21220E-12
1,27542E+0	6,86600E-13
1,29741E+0	7,76100E-13
1,31940E+0	1,36570E-12
1,34139E+0	8,31400E-13
1,36338E+0	1,30990E-12
1,38537E+0	2,30880E-12
1,40736E+0	2,25820E-12
1,42935E+0	8,78100E-13
1,45134E+0	9,18600E-13
1,47333E+0	5,93900E-13
1,49532E+0	6,02800E-13
