E, keV	I, A
4,00218E+0	1,25396E-11
4,01317E+0	1,03734E-11
4,02417E+0	9,01580E-12
4,03516E+0	1,39176E-11
4,04616E+0	1,32150E-11
4,05715E+0	1,35739E-11
4,06815E+0	1,30252E-11
4,07914E+0	1,48661E-11
4,09014E+0	7,17950E-12
4,10113E+0	9,13430E-12
4,11213E+0	9,34910E-12
4,12312E+0	1,37482E-11
4,13412E+0	9,06080E-12
4,14511E+0	1,57382E-11
4,15611E+0	9,82130E-12
4,16710E+0	1,32838E-11
4,17810E+0	1,05847E-11
4,18910E+0	1,38346E-11
4,20009E+0	1,35024E-11
4,21108E+0	9,08090E-12
4,22208E+0	1,02584E-11
4,23307E+0	1,45564E-11
4,24407E+0	1,57758E-11
4,25507E+0	1,63459E-11
4,26606E+0	1,17079E-11
4,27705E+0	1,22795E-11
4,28805E+0	1,13867E-11
4,29904E+0	1,31250E-11
4,31004E+0	1,65747E-11
4,32104E+0	1,37855E-11
4,33203E+0	1,74601E-11
4,34302E+0	1,02006E-11
4,35402E+0	8,48640E-12
4,36501E+0	9,39040E-12
4,37601E+0	9,84710E-12
4,38701E+0	1,49654E-11
4,39800E+0	1,28410E-11
4,40899E+0	9,44030E-12
4,41999E+0	1,14503E-11
4,43098E+0	1,73081E-11
4,44198E+0	1,74568E-11
4,45297E+0	1,73613E-11
4,46397E+0	1,28888E-11
4,47497E+0	1,89232E-11
4,48596E+0	1,54178E-11
4,49695E+0	1,07332E-11
4,50795E+0	1,34660E-11
4,51895E+0	1,44800E-11
4,52994E+0	1,42089E-11
4,54093E+0	1,90061E-11
4,55193E+0	1,78952E-11
4,56292E+0	1,66142E-11
4,57392E+0	1,94078E-11
4,58491E+0	1,49929E-11
4,59591E+0	1,13248E-11
4,60691E+0	1,62746E-11
4,61790E+0	1,59110E-11
4,62889E+0	1,30436E-11
4,63989E+0	1,02773E-11
4,65088E+0	2,41730E-11
4,66188E+0	1,28340E-11
4,67287E+0	1,57871E-11
4,68387E+0	1,79289E-11
4,69486E+0	1,24666E-11
4,70586E+0	1,41982E-11
4,71685E+0	1,92351E-11
4,72785E+0	1,88380E-11
4,73884E+0	2,06205E-11
4,74984E+0	1,98557E-11
4,76084E+0	1,77817E-11
4,77183E+0	1,42398E-11
4,78282E+0	1,44026E-11
4,79382E+0	1,78005E-11
4,80481E+0	1,40959E-11
4,81581E+0	1,57572E-11
4,82680E+0	1,84976E-11
4,83780E+0	1,42439E-11
4,84879E+0	1,84769E-11
4,85979E+0	1,39484E-11
4,87078E+0	2,00110E-11
4,88178E+0	1,27477E-11
4,89277E+0	1,77140E-11
4,90377E+0	2,23270E-11
4,91476E+0	1,44497E-11
4,92576E+0	1,98030E-11
4,93675E+0	1,76060E-11
4,94775E+0	1,87362E-11
4,95874E+0	1,70280E-11
4,96974E+0	2,01339E-11
4,98074E+0	2,76440E-11
4,99173E+0	2,48210E-11
5,00272E+0	2,05730E-11
5,01372E+0	2,09000E-11
5,02471E+0	2,01970E-11
5,03571E+0	2,29110E-11
5,04670E+0	2,06280E-11
5,05770E+0	1,66488E-11
5,06869E+0	1,80804E-11
5,07969E+0	2,60010E-11
5,09068E+0	2,01340E-11
5,10168E+0	2,27660E-11
5,11268E+0	3,11450E-11
5,12367E+0	2,31230E-11
5,13466E+0	2,59970E-11
5,14566E+0	2,33530E-11
5,15665E+0	2,58040E-11
5,16765E+0	2,22490E-11
5,17864E+0	2,67510E-11
5,18964E+0	2,68190E-11
5,20064E+0	2,61950E-11
5,21163E+0	2,05860E-11
5,22262E+0	2,07790E-11
5,23362E+0	1,83857E-11
5,24461E+0	1,90712E-11
5,25561E+0	2,02928E-11
