E, keV	I, A
2,00109E+0	-2,68600E-13
2,01208E+0	6,17300E-13
2,02308E+0	-1,38900E-13
2,03408E+0	2,52000E-14
2,04507E+0	4,18000E-13
2,05606E+0	-4,71900E-13
2,06706E+0	6,91100E-13
2,07805E+0	3,45000E-14
2,08905E+0	-5,36200E-13
2,10004E+0	-3,92700E-13
2,11104E+0	-2,27000E-14
2,12203E+0	-1,05200E-13
2,13303E+0	-7,37600E-13
2,14402E+0	-8,91600E-13
2,15502E+0	-5,05100E-13
2,16601E+0	-6,94800E-13
2,17701E+0	-3,34800E-13
2,18800E+0	-9,00800E-13
2,19900E+0	-1,15240E-12
2,20999E+0	-8,52700E-13
2,22099E+0	-9,82100E-13
2,23198E+0	-6,57500E-13
2,24298E+0	-7,39700E-13
2,25397E+0	-1,12100E-12
2,26497E+0	-7,32100E-13
2,27596E+0	-7,64000E-14
2,28696E+0	-5,47900E-13
2,29795E+0	-4,35900E-13
2,30895E+0	-1,80880E-12
2,31994E+0	-7,71900E-13
2,33094E+0	-6,45900E-13
2,34193E+0	-1,18420E-12
2,35293E+0	-7,55000E-13
2,36392E+0	-1,05990E-12
2,37492E+0	-8,84700E-13
2,38591E+0	-1,25720E-12
2,39691E+0	-5,64100E-13
2,40790E+0	-7,83000E-14
2,41890E+0	-9,80400E-13
2,42989E+0	-1,56360E-12
2,44089E+0	-8,52900E-13
2,45188E+0	-2,52200E-13
2,46288E+0	-1,04750E-12
2,47387E+0	-1,31520E-12
2,48487E+0	7,34000E-14
2,49586E+0	-7,18600E-13
2,50686E+0	-8,28800E-13
2,51785E+0	1,54700E-13
2,52885E+0	-1,33670E-12
2,53984E+0	-1,45500E-12
2,55084E+0	-9,45600E-13
2,56183E+0	-1,37780E-12
2,57283E+0	-4,15200E-13
2,58383E+0	-1,04700E-13
2,59482E+0	-7,73000E-13
2,60581E+0	-8,18400E-13
2,61681E+0	-5,03400E-13
2,62780E+0	1,00700E-12
2,63880E+0	-5,51800E-13
2,64980E+0	-1,12950E-12
2,66079E+0	-9,64600E-13
2,67178E+0	-4,47700E-13
2,68278E+0	2,19400E-13
2,69378E+0	-3,81800E-13
2,70477E+0	-5,30800E-13
2,71577E+0	-1,11030E-12
2,72676E+0	-1,64250E-12
2,73775E+0	-1,09840E-12
2,74875E+0	-1,61160E-12
2,75974E+0	-7,80100E-13
2,77074E+0	-8,75800E-13
2,78173E+0	-1,16450E-12
2,79273E+0	-1,47100E-13
2,80372E+0	4,96500E-13
2,81472E+0	-7,10600E-13
2,82571E+0	-1,12680E-12
2,83671E+0	-6,19400E-13
2,84770E+0	-1,30570E-12
2,85870E+0	-2,74700E-13
2,86969E+0	1,55100E-13
2,88069E+0	-9,40000E-14
2,89168E+0	-8,70000E-14
2,90268E+0	-2,32600E-13
2,91367E+0	1,97500E-13
2,92467E+0	-4,62000E-14
2,93566E+0	-2,97600E-13
2,94666E+0	2,68400E-13
2,95765E+0	1,60310E-12
2,96865E+0	-2,34000E-13
2,97964E+0	1,28420E-12
2,99064E+0	4,91500E-13
3,00163E+0	3,15200E-13
3,01263E+0	1,18700E-13
3,02363E+0	1,31390E-12
3,03462E+0	7,24400E-13
3,04561E+0	-1,40400E-13
3,05661E+0	1,14080E-12
3,06760E+0	3,71000E-13
3,07860E+0	-8,46800E-13
3,08959E+0	-9,38200E-13
3,10059E+0	-2,35000E-14
3,11158E+0	-2,42300E-13
3,12258E+0	1,81150E-12
3,13357E+0	-1,66400E-13
3,14457E+0	-1,08380E-12
3,15556E+0	-7,20800E-13
3,16656E+0	7,18700E-13
3,17755E+0	1,91410E-12
3,18855E+0	6,33500E-13
3,19955E+0	9,00000E-15
3,21054E+0	1,94800E-13
3,22153E+0	3,94900E-13
3,23253E+0	9,38800E-13
3,24352E+0	7,04500E-13
3,25452E+0	2,39760E-12
3,26552E+0	1,46380E-12
3,27651E+0	1,16840E-12
3,28750E+0	5,47900E-13
3,29850E+0	8,78200E-13
3,30949E+0	1,16950E-12
3,32049E+0	7,57500E-13
3,33148E+0	3,57900E-13
3,34248E+0	2,18370E-12
3,35347E+0	1,83170E-12
3,36447E+0	3,04520E-12
3,37546E+0	2,87850E-12
3,38646E+0	1,66770E-12
3,39745E+0	2,29250E-12
3,40845E+0	2,16890E-12
3,41944E+0	3,19750E-12
3,43044E+0	5,59900E-12
3,44143E+0	4,50170E-12
3,45243E+0	3,79410E-12
3,46342E+0	3,45220E-12
3,47442E+0	1,59080E-12
3,48541E+0	3,37050E-12
3,49641E+0	4,81200E-12
3,50740E+0	2,70910E-12
3,51840E+0	2,10010E-12
3,52939E+0	2,77940E-12
3,54039E+0	2,12850E-12
3,55138E+0	3,59810E-12
3,56238E+0	3,05340E-12
3,57337E+0	2,67390E-12
