E, keV	I, A
2,00109E+0	-2,29390E-12
2,01208E+0	-6,01900E-13
2,02308E+0	-6,94000E-14
2,03408E+0	-1,67300E-13
2,04507E+0	1,68100E-13
2,05606E+0	-5,38300E-13
2,06706E+0	-4,80800E-13
2,07805E+0	3,26300E-13
2,08905E+0	-3,48200E-13
2,10004E+0	-6,03500E-13
2,11104E+0	-4,82300E-13
2,12203E+0	-3,47600E-13
2,13303E+0	-2,43400E-13
2,14402E+0	-1,04530E-12
2,15502E+0	-1,42150E-12
2,16601E+0	-8,20400E-13
2,17701E+0	-7,45800E-13
2,18800E+0	1,43500E-13
2,19900E+0	-1,47600E-13
2,20999E+0	-2,32600E-13
2,22099E+0	-7,97600E-13
2,23198E+0	-3,57900E-13
2,24298E+0	-1,14370E-12
2,25397E+0	-1,26120E-12
2,26497E+0	-1,48970E-12
2,27596E+0	-1,06130E-12
2,28696E+0	-6,46600E-13
2,29795E+0	-1,25170E-12
2,30895E+0	-6,79900E-13
2,31994E+0	-6,66500E-13
2,33094E+0	-1,11080E-12
2,34193E+0	-1,71670E-12
2,35293E+0	-1,08080E-12
2,36392E+0	-1,37320E-12
2,37492E+0	-8,14300E-13
2,38591E+0	-5,51200E-13
2,39691E+0	-3,48400E-13
2,40790E+0	-4,97900E-13
2,41890E+0	-5,55000E-13
2,42989E+0	-2,08700E-13
2,44089E+0	-1,45150E-12
2,45188E+0	-1,07980E-12
2,46288E+0	-1,02810E-12
2,47387E+0	-1,39520E-12
2,48487E+0	-9,83000E-13
2,49586E+0	-1,15660E-12
2,50686E+0	-1,74070E-12
2,51785E+0	-1,50880E-12
2,52885E+0	-9,45700E-13
2,53984E+0	-9,55700E-13
2,55084E+0	-1,37640E-12
2,56183E+0	-1,21190E-12
2,57283E+0	-6,27200E-13
2,58383E+0	-1,25830E-12
2,59482E+0	1,44200E-13
2,60581E+0	-1,24840E-12
2,61681E+0	-9,61300E-13
2,62780E+0	-1,56280E-12
2,63880E+0	-1,53700E-12
2,64980E+0	-1,08270E-12
2,66079E+0	-7,95100E-13
2,67178E+0	-7,06900E-13
2,68278E+0	-6,79300E-13
2,69378E+0	-1,04400E-12
2,70477E+0	-6,98400E-13
2,71577E+0	-1,47010E-12
