E, keV	I, A
2,00109E+0	5,79000E-13
2,01208E+0	-3,95400E-13
2,02308E+0	-3,54500E-13
2,03408E+0	-4,24000E-14
2,04507E+0	8,63900E-13
2,05606E+0	8,34600E-13
2,06706E+0	2,90000E-14
2,07805E+0	-3,20000E-15
2,08905E+0	-1,34040E-12
2,10004E+0	-5,96000E-13
2,11104E+0	-7,53000E-13
2,12203E+0	-5,89100E-13
2,13303E+0	-1,25980E-12
2,14402E+0	-1,39780E-12
2,15502E+0	-6,67200E-13
2,16601E+0	-7,30500E-13
2,17701E+0	-7,80900E-13
2,18800E+0	-1,05570E-12
2,19900E+0	-1,29830E-12
2,20999E+0	-1,49580E-12
2,22099E+0	-1,51230E-12
2,23198E+0	-9,06800E-13
2,24298E+0	-1,51900E-13
2,25397E+0	-7,37300E-13
2,26497E+0	-2,44500E-13
2,27596E+0	-1,07440E-12
2,28696E+0	-1,67250E-12
2,29795E+0	-9,41200E-13
2,30895E+0	-1,26200E-12
2,31994E+0	-3,46900E-13
2,33094E+0	-1,27550E-12
2,34193E+0	-1,29170E-12
2,35293E+0	-1,71680E-12
2,36392E+0	-1,59930E-12
2,37492E+0	-1,45470E-12
2,38591E+0	-1,23880E-12
2,39691E+0	-1,87090E-12
2,40790E+0	-9,62400E-13
2,41890E+0	-1,73290E-12
2,42989E+0	-1,47640E-12
2,44089E+0	-1,67390E-12
2,45188E+0	-1,46320E-12
2,46288E+0	-7,16700E-13
2,47387E+0	-7,32200E-13
2,48487E+0	-1,47210E-12
2,49586E+0	-1,44770E-12
2,50686E+0	-7,60400E-13
2,51785E+0	-1,23540E-12
2,52885E+0	-1,25310E-12
2,53984E+0	-1,90220E-12
2,55084E+0	-9,75100E-13
2,56183E+0	-1,58960E-12
2,57283E+0	5,44000E-13
2,58383E+0	-1,18420E-12
2,59482E+0	-1,46240E-12
2,60581E+0	-8,53900E-13
2,61681E+0	-1,56730E-12
2,62780E+0	-1,52240E-12
2,63880E+0	-1,25290E-12
2,64980E+0	-1,47240E-12
2,66079E+0	-6,89700E-13
2,67178E+0	-5,99600E-13
2,68278E+0	-1,03190E-12
2,69378E+0	-1,09800E-12
2,70477E+0	-2,96200E-13
2,71577E+0	-1,48860E-12
2,72676E+0	-8,63300E-13
2,73775E+0	-1,10640E-12
2,74875E+0	-1,30400E-12
2,75974E+0	-1,12900E-12
2,77074E+0	-9,59300E-13
2,78173E+0	-5,31800E-13
2,79273E+0	-1,51920E-12
2,80372E+0	1,47800E-13
2,81472E+0	-8,94200E-13
2,82571E+0	-1,54450E-12
2,83671E+0	-1,28740E-12
