E, keV	I, A
2,00109E+0	-4,03350E-12
2,01208E+0	-2,60220E-12
2,02308E+0	-2,20900E-12
2,03408E+0	-2,35040E-12
2,04507E+0	-1,67660E-12
2,05606E+0	-1,84800E-12
2,06706E+0	-1,77340E-12
2,07805E+0	-2,24950E-12
2,08905E+0	-2,09470E-12
2,10004E+0	-1,99020E-12
2,11104E+0	-1,98150E-12
2,12203E+0	-2,04540E-12
2,13303E+0	-1,95470E-12
2,14402E+0	-1,61900E-12
2,15502E+0	-1,62920E-12
2,16601E+0	-1,95220E-12
2,17701E+0	-1,89670E-12
2,18800E+0	-2,11490E-12
2,19900E+0	-2,02650E-12
2,20999E+0	-1,68160E-12
2,22099E+0	-2,19790E-12
2,23198E+0	-2,05280E-12
2,24298E+0	-1,81320E-12
2,25397E+0	-2,07940E-12
2,26497E+0	-1,99160E-12
2,27596E+0	-2,14870E-12
2,28696E+0	-1,90470E-12
2,29795E+0	-1,33910E-12
2,30895E+0	-1,23020E-12
2,31994E+0	-1,63190E-12
2,33094E+0	-1,65970E-12
2,34193E+0	-1,38610E-12
2,35293E+0	-1,75370E-12
2,36392E+0	-1,77480E-12
2,37492E+0	-1,97770E-12
2,38591E+0	-2,07260E-12
2,39691E+0	-1,76370E-12
2,40790E+0	-2,30970E-12
2,41890E+0	-2,01450E-12
2,42989E+0	-1,41170E-12
2,44089E+0	-1,22870E-12
2,45188E+0	-2,03420E-12
2,46288E+0	-2,02640E-12
2,47387E+0	-2,13230E-12
2,48487E+0	-2,34060E-12
2,49586E+0	-2,30020E-12
2,50686E+0	-2,02230E-12
2,51785E+0	-1,72620E-12
2,52885E+0	-1,96950E-12
2,53984E+0	-1,87330E-12
2,55084E+0	-1,28740E-12
2,56183E+0	-1,69980E-12
2,57283E+0	-1,93120E-12
2,58383E+0	-1,94290E-12
2,59482E+0	-2,24690E-12
2,60581E+0	-1,86040E-12
2,61681E+0	-2,22280E-12
2,62780E+0	-1,87350E-12
2,63880E+0	-1,85140E-12
2,64980E+0	-1,82610E-12
2,66079E+0	-2,01490E-12
2,67178E+0	-2,22020E-12
2,68278E+0	-7,96100E-13
2,69378E+0	-6,63500E-13
2,70477E+0	-1,79690E-12
2,71577E+0	-1,80620E-12
2,72676E+0	-1,35800E-12
2,73775E+0	-1,13350E-12
2,74875E+0	-1,48340E-12
2,75974E+0	-1,43760E-12
2,77074E+0	-1,17760E-12
2,78173E+0	-1,64680E-12
2,79273E+0	-6,75900E-13
2,80372E+0	-1,12270E-12
2,81472E+0	-8,98800E-13
2,82571E+0	-5,94900E-13
2,83671E+0	-2,03940E-12
2,84770E+0	-2,07250E-12
2,85870E+0	-1,65950E-12
2,86969E+0	-1,70310E-12
2,88069E+0	-5,32600E-13
2,89168E+0	-1,23470E-12
2,90268E+0	-1,15060E-12
2,91367E+0	-1,58530E-12
2,92467E+0	-1,03130E-12
2,93566E+0	-1,98300E-13
2,94666E+0	-1,34240E-12
2,95765E+0	-1,14750E-12
2,96865E+0	-1,60110E-12
2,97964E+0	-1,65180E-12
2,99064E+0	-1,49550E-12
3,00163E+0	-1,92690E-12
3,01263E+0	-1,77010E-12
3,02363E+0	-1,54820E-12
3,03462E+0	-1,78410E-12
3,04561E+0	-1,02680E-12
3,05661E+0	-8,81500E-13
3,06760E+0	-1,33620E-12
3,07860E+0	-9,35600E-13
3,08959E+0	-1,05800E-12
3,10059E+0	-1,25140E-12
3,11158E+0	9,92000E-14
3,12258E+0	-8,01000E-13
3,13357E+0	-1,31530E-12
3,14457E+0	-6,27100E-13
3,15556E+0	-4,56700E-13
3,16656E+0	-7,53900E-13
3,17755E+0	-8,76800E-13
3,18855E+0	-8,19600E-13
3,19955E+0	-1,05980E-12
3,21054E+0	-1,17670E-12
3,22153E+0	-6,99400E-13
3,23253E+0	-1,55520E-12
3,24352E+0	-7,29700E-13
3,25452E+0	-1,19030E-12
3,26552E+0	-2,65800E-13
3,27651E+0	7,44000E-13
3,28750E+0	-7,58600E-13
3,29850E+0	2,93400E-13
3,30949E+0	-1,26700E-13
3,32049E+0	-8,49800E-13
3,33148E+0	-1,17670E-12
3,34248E+0	-4,75900E-13
3,35347E+0	-6,89200E-13
3,36447E+0	3,70600E-13
3,37546E+0	5,17200E-13
3,38646E+0	-9,67000E-14
3,39745E+0	-3,08100E-13
3,40845E+0	-3,72000E-13
3,41944E+0	2,45100E-13
3,43044E+0	3,09300E-13
3,44143E+0	-1,51600E-13
3,45243E+0	-2,25000E-13
3,46342E+0	-9,53900E-13
3,47442E+0	3,49900E-13
3,48541E+0	5,88100E-13
3,49641E+0	-5,63300E-13
3,50740E+0	7,00000E-15
3,51840E+0	-1,68100E-13
3,52939E+0	-2,02000E-13
3,54039E+0	-4,49000E-13
3,55138E+0	-3,83300E-13
3,56238E+0	-9,82800E-13
3,57337E+0	4,26800E-13
3,58437E+0	-8,38100E-13
3,59536E+0	-9,37400E-13
3,60636E+0	2,91300E-13
3,61735E+0	2,79000E-14
3,62835E+0	7,53600E-13
3,63934E+0	-6,01000E-14
3,65034E+0	-2,72400E-13
3,66133E+0	8,03000E-13
3,67233E+0	8,36000E-13
3,68332E+0	3,63100E-13
3,69432E+0	1,21000E-14
3,70531E+0	-1,04000E-14
3,71631E+0	-1,30740E-12
3,72730E+0	1,23300E-13
3,73830E+0	4,02400E-13
3,74930E+0	5,64300E-13
3,76029E+0	-2,03900E-13
