E, keV	I, A
2,00109E+0	-7,84900E-13
2,01208E+0	1,39250E-12
2,02308E+0	1,65420E-12
2,03408E+0	1,44610E-12
2,04507E+0	1,57100E-12
2,05606E+0	2,33000E-13
2,06706E+0	2,21300E-13
2,07805E+0	2,77400E-13
2,08905E+0	-4,82600E-13
2,10004E+0	2,36000E-13
2,11104E+0	-6,49300E-13
2,12203E+0	-1,32000E-13
2,13303E+0	-9,83700E-13
2,14402E+0	-8,74800E-13
2,15502E+0	7,30000E-15
2,16601E+0	-9,62000E-13
2,17701E+0	2,52900E-13
2,18800E+0	-9,76400E-13
2,19900E+0	-1,30580E-12
2,20999E+0	-8,61900E-13
2,22099E+0	-1,24620E-12
2,23198E+0	-1,58690E-12
2,24298E+0	-1,37150E-12
2,25397E+0	-1,04890E-12
2,26497E+0	-9,95900E-13
2,27596E+0	-1,27270E-12
2,28696E+0	-1,38030E-12
2,29795E+0	-7,14900E-13
2,30895E+0	-6,69100E-13
2,31994E+0	-1,13690E-12
2,33094E+0	-1,32070E-12
2,34193E+0	-1,89410E-12
2,35293E+0	-2,07180E-12
2,36392E+0	-2,09840E-12
2,37492E+0	-1,55280E-12
2,38591E+0	-1,66580E-12
2,39691E+0	-1,56760E-12
2,40790E+0	-1,48350E-12
2,41890E+0	-1,10660E-12
2,42989E+0	-1,20200E-12
2,44089E+0	-1,53450E-12
2,45188E+0	-2,02330E-12
2,46288E+0	-8,61500E-13
2,47387E+0	-1,94380E-12
2,48487E+0	-1,72500E-12
2,49586E+0	-1,78630E-12
2,50686E+0	-1,91340E-12
2,51785E+0	-1,47540E-12
2,52885E+0	-2,10850E-12
2,53984E+0	-1,79980E-12
2,55084E+0	-1,75250E-12
2,56183E+0	-1,23070E-12
2,57283E+0	-1,78600E-12
2,58383E+0	-1,88120E-12
2,59482E+0	-1,98800E-12
2,60581E+0	-2,15840E-12
2,61681E+0	-2,08760E-12
2,62780E+0	-1,55110E-12
2,63880E+0	-2,15030E-12
2,64980E+0	-1,84620E-12
2,66079E+0	-1,94150E-12
2,67178E+0	-1,93960E-12
2,68278E+0	-1,97830E-12
2,69378E+0	-2,08820E-12
2,70477E+0	-2,12210E-12
2,71577E+0	-1,83560E-12
2,72676E+0	-1,15440E-12
2,73775E+0	-1,46660E-12
2,74875E+0	-2,03820E-12
2,75974E+0	-1,89400E-12
2,77074E+0	-1,81450E-12
2,78173E+0	-1,91740E-12
2,79273E+0	-1,99360E-12
2,80372E+0	-1,85490E-12
2,81472E+0	-1,93060E-12
2,82571E+0	-1,36630E-12
2,83671E+0	-1,30290E-12
2,84770E+0	-1,82260E-12
2,85870E+0	-1,95820E-12
2,86969E+0	-1,56680E-12
2,88069E+0	-9,90200E-13
2,89168E+0	-2,07200E-12
2,90268E+0	-2,00740E-12
2,91367E+0	-1,18280E-12
2,92467E+0	-1,52970E-12
2,93566E+0	-1,63370E-12
2,94666E+0	-1,45110E-12
2,95765E+0	-1,95700E-12
2,96865E+0	-1,53340E-12
2,97964E+0	-1,40630E-12
2,99064E+0	-1,88000E-12
3,00163E+0	-1,66350E-12
3,01263E+0	-1,16350E-12
3,02363E+0	-1,23080E-12
3,03462E+0	-2,01580E-12
3,04561E+0	-1,32250E-12
3,05661E+0	-1,73670E-12
3,06760E+0	-1,86310E-12
3,07860E+0	-1,84290E-12
3,08959E+0	-1,61110E-12
3,10059E+0	-2,11070E-12
3,11158E+0	-1,18990E-12
3,12258E+0	-1,81090E-12
3,13357E+0	-1,09250E-12
3,14457E+0	-1,55380E-12
3,15556E+0	-1,46350E-12
3,16656E+0	-1,89160E-12
3,17755E+0	-2,16510E-12
3,18855E+0	-1,70520E-12
3,19955E+0	-1,16150E-12
3,21054E+0	-1,48470E-12
3,22153E+0	-1,28620E-12
3,23253E+0	-1,53650E-12
3,24352E+0	-1,69480E-12
3,25452E+0	-1,50760E-12
3,26552E+0	-1,45880E-12
3,27651E+0	-1,79860E-12
3,28750E+0	-1,97850E-12
3,29850E+0	-1,78630E-12
3,30949E+0	-1,97020E-12
3,32049E+0	-1,65590E-12
3,33148E+0	-2,13360E-12
3,34248E+0	-1,71800E-12
3,35347E+0	-1,66220E-12
3,36447E+0	-8,65500E-13
3,37546E+0	-1,38450E-12
3,38646E+0	-1,33020E-12
3,39745E+0	-1,87100E-12
3,40845E+0	-2,10800E-12
3,41944E+0	-1,58350E-12
3,43044E+0	-1,53000E-12
3,44143E+0	-8,93800E-13
3,45243E+0	-1,58660E-12
