E, keV	I, A
2,00109E+0	-1,25330E-12
2,01208E+0	1,31920E-12
2,02308E+0	1,85000E-13
2,03408E+0	1,77400E-13
2,04507E+0	-5,77000E-14
2,05606E+0	8,05700E-13
2,06706E+0	1,84100E-13
2,07805E+0	-3,44100E-13
2,08905E+0	-8,00000E-14
2,10004E+0	1,05820E-12
2,11104E+0	3,91000E-14
2,12203E+0	2,02600E-13
2,13303E+0	-5,02000E-13
2,14402E+0	-8,22500E-13
2,15502E+0	2,31400E-13
2,16601E+0	3,28200E-13
2,17701E+0	-1,25230E-12
2,18800E+0	-1,11900E-12
2,19900E+0	-1,09110E-12
2,20999E+0	-1,25630E-12
2,22099E+0	-1,15920E-12
2,23198E+0	-1,39240E-12
2,24298E+0	-1,09510E-12
2,25397E+0	-1,32670E-12
2,26497E+0	-3,74400E-13
2,27596E+0	-3,42700E-13
2,28696E+0	-1,25520E-12
2,29795E+0	-1,15430E-12
2,30895E+0	-6,81500E-13
2,31994E+0	-1,09920E-12
2,33094E+0	-1,71810E-12
2,34193E+0	-1,41860E-12
2,35293E+0	-1,81850E-12
2,36392E+0	-1,52770E-12
2,37492E+0	-1,61680E-12
2,38591E+0	-1,19430E-12
2,39691E+0	-1,84990E-12
2,40790E+0	-1,43240E-12
2,41890E+0	-1,38340E-12
2,42989E+0	-1,22080E-12
2,44089E+0	-1,62890E-12
2,45188E+0	-1,72400E-12
2,46288E+0	-1,69080E-12
2,47387E+0	-1,03240E-12
2,48487E+0	-1,25040E-12
2,49586E+0	-1,23190E-12
2,50686E+0	-1,52770E-12
2,51785E+0	-1,51680E-12
2,52885E+0	-2,06360E-12
2,53984E+0	-1,79400E-12
2,55084E+0	-1,87510E-12
2,56183E+0	-1,95630E-12
2,57283E+0	-1,73680E-12
2,58383E+0	-1,85700E-12
2,59482E+0	-1,67270E-12
2,60581E+0	-1,88280E-12
2,61681E+0	-2,08130E-12
2,62780E+0	-2,02460E-12
2,63880E+0	-1,31700E-12
2,64980E+0	-1,26760E-12
2,66079E+0	-1,70710E-12
2,67178E+0	-1,88050E-12
2,68278E+0	-2,00820E-12
2,69378E+0	-2,10340E-12
2,70477E+0	-8,99000E-13
2,71577E+0	-1,14690E-12
2,72676E+0	-2,00320E-12
2,73775E+0	-1,80200E-12
2,74875E+0	-2,06340E-12
2,75974E+0	-2,01070E-12
2,77074E+0	-8,66200E-13
2,78173E+0	-1,75240E-12
2,79273E+0	-1,71600E-12
2,80372E+0	-2,20440E-12
2,81472E+0	-1,41010E-12
2,82571E+0	-1,61160E-12
2,83671E+0	-1,57480E-12
2,84770E+0	-1,98110E-12
2,85870E+0	-2,08220E-12
2,86969E+0	-1,65140E-12
2,88069E+0	-1,55660E-12
2,89168E+0	-1,79390E-12
2,90268E+0	-2,15810E-12
2,91367E+0	-1,94070E-12
2,92467E+0	-2,19040E-12
2,93566E+0	-1,35790E-12
2,94666E+0	-2,13730E-12
2,95765E+0	-1,57030E-12
2,96865E+0	-1,73680E-12
2,97964E+0	-1,99740E-12
2,99064E+0	-1,57720E-12
3,00163E+0	-2,19300E-12
3,01263E+0	-1,49570E-12
3,02363E+0	-1,84710E-12
3,03462E+0	-2,01920E-12
3,04561E+0	-1,76190E-12
3,05661E+0	-1,40890E-12
3,06760E+0	-1,82840E-12
3,07860E+0	-2,04920E-12
3,08959E+0	-1,75940E-12
3,10059E+0	-1,15070E-12
3,11158E+0	-1,26490E-12
3,12258E+0	-2,03700E-12
3,13357E+0	-9,82700E-13
3,14457E+0	-1,53520E-12
3,15556E+0	-1,30710E-12
3,16656E+0	-1,66430E-12
3,17755E+0	-1,35530E-12
3,18855E+0	-1,64930E-12
3,19955E+0	-1,80060E-12
3,21054E+0	-1,68000E-12
3,22153E+0	-1,61090E-12
3,23253E+0	-1,75030E-12
3,24352E+0	-1,91160E-12
3,25452E+0	-1,87710E-12
3,26552E+0	-1,65590E-12
3,27651E+0	-1,85130E-12
3,28750E+0	-8,70300E-13
3,29850E+0	-1,68140E-12
3,30949E+0	-1,88570E-12
3,32049E+0	-1,25720E-12
3,33148E+0	-1,93750E-12
3,34248E+0	-1,39150E-12
3,35347E+0	-1,62840E-12
3,36447E+0	-1,26240E-12
3,37546E+0	-1,42400E-12
3,38646E+0	-2,18550E-12
3,39745E+0	-1,43430E-12
3,40845E+0	-1,74000E-12
3,41944E+0	-1,28090E-12
3,43044E+0	-1,23430E-12
3,44143E+0	-1,15570E-12
3,45243E+0	-1,36100E-12
3,46342E+0	-1,53360E-12
3,47442E+0	-1,46010E-12
3,48541E+0	-9,80900E-13
3,49641E+0	-8,67700E-13
3,50740E+0	-1,61800E-12
3,51840E+0	-1,50750E-12
3,52939E+0	-1,35080E-12
3,54039E+0	-1,39750E-12
3,55138E+0	-1,46520E-12
3,56238E+0	-9,39600E-13
3,57337E+0	-1,57760E-12
3,58437E+0	-1,54320E-12
3,59536E+0	-1,66750E-12
3,60636E+0	-1,62180E-12
3,61735E+0	-1,21580E-12
3,62835E+0	-1,90040E-12
3,63934E+0	-1,99180E-12
3,65034E+0	-1,63960E-12
3,66133E+0	-1,80400E-12
3,67233E+0	-1,64960E-12
3,68332E+0	-5,04200E-13
3,69432E+0	-1,61410E-12
3,70531E+0	3,70000E-14
3,71631E+0	-8,00100E-13
3,72730E+0	-1,19590E-12
3,73830E+0	-1,34590E-12
3,74930E+0	-1,40640E-12
3,76029E+0	-1,70740E-12
3,77128E+0	-1,11060E-12
3,78228E+0	-1,39220E-12
3,79327E+0	-1,64970E-12
3,80427E+0	-1,10720E-12
3,81527E+0	-4,85200E-13
3,82626E+0	-1,41880E-12
3,83725E+0	-2,05830E-12
3,84825E+0	-2,14870E-12
3,85924E+0	-1,74260E-12
3,87024E+0	-1,59510E-12
3,88123E+0	-1,35480E-12
3,89223E+0	-2,12460E-12
3,90322E+0	-9,99500E-13
3,91422E+0	-9,68500E-13
3,92521E+0	-1,44040E-12
3,93621E+0	-1,58250E-12
3,94720E+0	-1,98450E-12
3,95820E+0	-1,35660E-12
3,96919E+0	-2,83100E-13
3,98019E+0	-1,41670E-12
3,99118E+0	-1,94780E-12
4,00218E+0	-1,48010E-12
4,01317E+0	-7,73600E-13
4,02417E+0	7,89300E-13
4,03516E+0	-1,01390E-12
4,04616E+0	-1,00440E-12
4,05715E+0	-1,36070E-12
4,06815E+0	-6,79100E-13
4,07914E+0	-6,88900E-13
4,09014E+0	-1,71410E-12
4,10113E+0	-1,78130E-12
4,11213E+0	-1,55810E-12
4,12312E+0	-8,32300E-13
4,13412E+0	-1,01030E-12
4,14511E+0	-1,29650E-12
4,15611E+0	-1,31100E-12
4,16710E+0	-8,55900E-13
4,17810E+0	-8,75800E-13
4,18910E+0	-1,13290E-12
4,20009E+0	-7,17000E-14
4,21108E+0	-1,15830E-12
4,22208E+0	-9,36300E-13
4,23307E+0	-1,40050E-12
4,24407E+0	-1,48920E-12
4,25507E+0	-1,67950E-12
4,26606E+0	-1,16500E-12
4,27705E+0	-1,35100E-12
4,28805E+0	-1,57870E-12
4,29904E+0	-1,67240E-12
4,31004E+0	-1,67030E-12
4,32104E+0	-1,25920E-12
4,33203E+0	-1,79250E-12
4,34302E+0	-1,39610E-12
4,35402E+0	-1,44870E-12
4,36501E+0	-1,59420E-12
4,37601E+0	-1,34000E-12
4,38701E+0	-9,93700E-13
4,39800E+0	-1,17440E-12
4,40899E+0	-1,72170E-12
4,41999E+0	-4,36700E-13
4,43098E+0	-1,35780E-12
4,44198E+0	-4,07200E-13
4,45297E+0	3,30000E-14
4,46397E+0	-8,36900E-13
4,47497E+0	-5,14600E-13
4,48596E+0	-1,14310E-12
4,49695E+0	-1,18910E-12
4,50795E+0	-5,70000E-15
4,51895E+0	9,23000E-14
4,52994E+0	-1,88500E-13
4,54093E+0	-3,68600E-13
4,55193E+0	-1,09120E-12
4,56292E+0	1,96500E-13
4,57392E+0	-1,79000E-14
4,58491E+0	-8,30100E-13
4,59591E+0	-7,88700E-13
4,60691E+0	-7,81700E-13
4,61790E+0	-7,92700E-13
4,62889E+0	-1,06630E-12
4,63989E+0	-9,63400E-13
4,65088E+0	-1,25900E-12
4,66188E+0	-5,76600E-13
4,67287E+0	1,52600E-13
4,68387E+0	-1,18770E-12
4,69486E+0	2,21000E-14
4,70586E+0	-7,11900E-13
4,71685E+0	3,45300E-13
4,72785E+0	1,88900E-13
4,73884E+0	6,96200E-13
4,74984E+0	1,55700E-12
4,76084E+0	1,46610E-12
4,77183E+0	5,35000E-13
4,78282E+0	1,81400E-12
4,79382E+0	1,14070E-12
4,80481E+0	3,12850E-12
4,81581E+0	1,09010E-12
4,82680E+0	2,32770E-12
4,83780E+0	1,25290E-12
4,84879E+0	9,04800E-13
4,85979E+0	4,95600E-13
4,87078E+0	-4,96000E-13
4,88178E+0	-5,84700E-13
4,89277E+0	-8,26000E-14
4,90377E+0	4,76000E-14
4,91476E+0	-6,80800E-13
4,92576E+0	6,39800E-13
4,93675E+0	1,84460E-12
4,94775E+0	1,33900E-13
4,95874E+0	8,51300E-13
4,96974E+0	1,11460E-12
4,98074E+0	-1,00200E-13
4,99173E+0	-3,78200E-13
5,00272E+0	-7,85400E-13
5,01372E+0	6,68900E-13
5,02471E+0	9,70000E-14
5,03571E+0	-1,83400E-13
5,04670E+0	4,47900E-13
5,05770E+0	8,14500E-13
5,06869E+0	2,67100E-13
5,07969E+0	1,93000E-13
5,09068E+0	5,42800E-13
5,10168E+0	-5,59700E-13
5,11268E+0	-5,15900E-13
5,12367E+0	-4,49900E-13
5,13466E+0	-3,49000E-13
5,14566E+0	1,81700E-13
5,15665E+0	5,94600E-13
5,16765E+0	1,41900E-13
5,17864E+0	-1,21200E-13
5,18964E+0	-7,63000E-13
5,20064E+0	2,43000E-13
5,21163E+0	8,84400E-13
5,22262E+0	5,33100E-13
5,23362E+0	-6,93500E-13
5,24461E+0	2,66000E-14
5,25561E+0	2,37000E-12
5,26660E+0	7,09000E-13
5,27760E+0	1,32550E-12
5,28859E+0	1,89950E-12
5,29959E+0	8,75400E-13
5,31058E+0	-3,32700E-13
5,32158E+0	6,77800E-13
5,33257E+0	8,85900E-13
5,34357E+0	8,37700E-13
5,35457E+0	-3,97300E-13
5,36556E+0	6,05300E-13
5,37655E+0	5,42400E-13
5,38755E+0	1,81340E-12
5,39854E+0	8,55500E-13
5,40954E+0	7,42800E-13
5,42053E+0	-5,73000E-14
5,43153E+0	-1,30000E-14
5,44252E+0	8,05700E-13
5,45352E+0	1,17200E-13
5,46451E+0	1,45500E-13
5,47551E+0	1,51700E-13
5,48651E+0	-5,24100E-13
5,49750E+0	3,04200E-13
5,50849E+0	6,11400E-13
5,51949E+0	1,18150E-12
5,53048E+0	2,04900E-13
5,54148E+0	-1,67000E-13
5,55247E+0	1,85500E-12
5,56347E+0	2,15600E-13
5,57447E+0	1,91330E-12
5,58546E+0	2,56650E-12
5,59645E+0	2,58390E-12
5,60745E+0	2,69670E-12
5,61845E+0	3,25520E-12
5,62944E+0	1,01280E-12
5,64043E+0	1,95000E-12
5,65143E+0	1,54370E-12
5,66242E+0	1,48760E-12
5,67342E+0	3,00750E-12
5,68441E+0	2,97830E-12
5,69541E+0	1,50120E-12
5,70641E+0	1,46660E-12
5,71740E+0	2,24370E-12
5,72839E+0	2,47780E-12
5,73939E+0	1,43140E-12
5,75038E+0	9,03500E-13
5,76138E+0	2,34460E-12
5,77237E+0	2,94390E-12
5,78337E+0	2,12330E-12
5,79436E+0	2,94770E-12
5,80536E+0	3,27620E-12
5,81635E+0	5,50820E-12
5,82735E+0	2,58370E-12
5,83834E+0	4,76030E-12
5,84934E+0	2,82080E-12
5,86034E+0	2,22820E-12
5,87133E+0	2,23470E-12
5,88232E+0	2,69130E-12
5,89332E+0	2,01910E-12
5,90431E+0	3,28730E-12
5,91531E+0	1,14980E-12
5,92630E+0	1,23890E-12
5,93730E+0	2,67630E-12
5,94829E+0	2,49260E-12
5,95929E+0	1,72340E-12
5,97028E+0	1,82220E-12
5,98128E+0	2,46310E-12
5,99227E+0	1,68540E-12
6,00327E+0	3,17700E-12
6,01426E+0	1,64090E-12
6,02526E+0	1,37630E-12
6,03625E+0	1,83280E-12
6,04725E+0	2,04830E-12
6,05824E+0	3,32980E-12
6,06924E+0	4,03650E-12
6,08024E+0	2,40900E-12
6,09123E+0	1,22500E-12
6,10222E+0	2,76390E-12
6,11322E+0	1,84130E-12
6,12421E+0	3,16550E-12
6,13521E+0	1,45090E-12
6,14620E+0	6,17200E-13
6,15720E+0	3,76470E-12
6,16819E+0	2,97240E-12
6,17919E+0	1,51960E-12
6,19018E+0	1,91750E-12
6,20118E+0	2,27910E-12
6,21218E+0	2,99810E-12
6,22317E+0	2,42620E-12
6,23416E+0	1,90310E-12
6,24516E+0	2,97970E-12
6,25615E+0	1,81150E-12
6,26715E+0	3,77940E-12
6,27814E+0	3,89650E-12
6,28914E+0	4,38980E-12
6,30014E+0	3,41900E-12
6,31113E+0	4,03120E-12
6,32212E+0	3,35530E-12
6,33312E+0	3,77770E-12
6,34411E+0	3,15060E-12
6,35511E+0	3,06000E-12
6,36610E+0	2,04030E-12
6,37710E+0	2,11660E-12
6,38809E+0	3,12900E-12
6,39909E+0	2,28730E-12
6,41008E+0	8,24500E-13
6,42108E+0	1,34080E-12
6,43207E+0	2,84450E-12
6,44307E+0	3,53440E-12
6,45406E+0	2,38130E-12
6,46506E+0	1,89490E-12
6,47605E+0	5,20860E-12
6,48705E+0	3,60640E-12
6,49804E+0	1,95200E-12
6,50904E+0	3,23510E-12
6,52003E+0	1,20470E-12
6,53103E+0	3,89780E-12
6,54202E+0	2,45850E-12
6,55302E+0	2,11700E-12
6,56401E+0	3,94680E-12
6,57501E+0	2,98100E-12
6,58601E+0	4,41390E-12
6,59700E+0	4,68760E-12
6,60799E+0	2,65950E-12
6,61899E+0	4,94550E-12
6,62998E+0	6,79370E-12
6,64098E+0	2,75580E-12
6,65197E+0	3,61410E-12
6,66297E+0	4,84670E-12
6,67396E+0	3,65910E-12
6,68496E+0	3,86500E-12
6,69595E+0	2,56590E-12
6,70695E+0	2,50620E-12
6,71795E+0	4,89790E-12
6,72894E+0	3,35930E-12
6,73993E+0	5,84680E-12
6,75093E+0	4,66610E-12
6,76192E+0	4,34150E-12
6,77292E+0	2,57820E-12
6,78391E+0	3,38170E-12
6,79491E+0	2,40810E-12
6,80591E+0	1,86430E-12
6,81690E+0	2,50310E-12
6,82789E+0	3,09890E-12
6,83889E+0	1,81040E-12
6,84988E+0	3,98470E-12
6,86088E+0	1,87520E-12
6,87187E+0	4,24280E-12
6,88287E+0	3,20880E-12
