E, keV	I, A
2,00109E+0	-1,50790E-12
2,01208E+0	8,53900E-13
2,02308E+0	9,49800E-13
2,03408E+0	7,75100E-13
2,04507E+0	-7,85000E-14
2,05606E+0	-5,27900E-13
2,06706E+0	1,77900E-13
2,07805E+0	-7,28000E-14
2,08905E+0	-2,65600E-13
2,10004E+0	-7,27000E-14
2,11104E+0	-6,98700E-13
2,12203E+0	6,07000E-13
2,13303E+0	-1,29300E-13
2,14402E+0	-6,07600E-13
2,15502E+0	6,00000E-14
2,16601E+0	-3,06800E-13
2,17701E+0	2,91200E-13
2,18800E+0	1,98000E-14
2,19900E+0	-7,93400E-13
2,20999E+0	-8,60000E-15
2,22099E+0	-2,54400E-13
2,23198E+0	-1,67000E-13
2,24298E+0	1,06500E-13
2,25397E+0	-7,40300E-13
2,26497E+0	-5,75300E-13
2,27596E+0	-1,31410E-12
2,28696E+0	-5,55600E-13
2,29795E+0	-1,33020E-12
2,30895E+0	-1,14810E-12
2,31994E+0	-1,38630E-12
2,33094E+0	-8,56900E-13
2,34193E+0	-4,75300E-13
2,35293E+0	-6,51900E-13
2,36392E+0	-1,33430E-12
2,37492E+0	-9,15900E-13
2,38591E+0	-1,24260E-12
2,39691E+0	-1,63030E-12
2,40790E+0	-2,75700E-13
2,41890E+0	-1,19140E-12
2,42989E+0	-8,17100E-13
2,44089E+0	-6,73100E-13
2,45188E+0	-8,25400E-13
2,46288E+0	-1,50570E-12
2,47387E+0	-1,79830E-12
2,48487E+0	-1,42440E-12
2,49586E+0	-1,57800E-12
2,50686E+0	-2,00030E-12
2,51785E+0	-1,45240E-12
2,52885E+0	-1,03580E-12
2,53984E+0	-7,36100E-13
2,55084E+0	-1,81460E-12
2,56183E+0	-1,44100E-12
2,57283E+0	-1,29650E-12
2,58383E+0	-1,21400E-12
2,59482E+0	-1,75790E-12
2,60581E+0	-1,40880E-12
2,61681E+0	-1,14870E-12
2,62780E+0	-1,33430E-12
2,63880E+0	-1,13040E-12
2,64980E+0	-1,60810E-12
2,66079E+0	-1,77580E-12
2,67178E+0	-1,74700E-12
2,68278E+0	-1,69660E-12
2,69378E+0	-1,19270E-12
2,70477E+0	-1,99710E-12
2,71577E+0	-1,69450E-12
2,72676E+0	-1,23750E-12
2,73775E+0	-1,16790E-12
2,74875E+0	-1,79350E-12
2,75974E+0	-1,22570E-12
2,77074E+0	-1,55280E-12
2,78173E+0	-1,68250E-12
2,79273E+0	-1,46070E-12
2,80372E+0	-1,19020E-12
2,81472E+0	-1,15720E-12
2,82571E+0	-8,35300E-13
2,83671E+0	-1,59170E-12
2,84770E+0	-1,35830E-12
2,85870E+0	-1,34130E-12
2,86969E+0	-9,95200E-13
2,88069E+0	-1,32330E-12
2,89168E+0	-1,54880E-12
2,90268E+0	-1,52110E-12
2,91367E+0	-8,19400E-13
2,92467E+0	-1,25390E-12
2,93566E+0	-1,27000E-12
2,94666E+0	-9,23800E-13
2,95765E+0	-1,17570E-12
2,96865E+0	-1,47110E-12
2,97964E+0	-1,84120E-12
2,99064E+0	-1,96640E-12
3,00163E+0	-1,56360E-12
3,01263E+0	-1,59340E-12
3,02363E+0	-1,13960E-12
3,03462E+0	-1,47720E-12
3,04561E+0	-7,39500E-13
3,05661E+0	5,98000E-14
3,06760E+0	-4,31800E-13
3,07860E+0	-8,29100E-13
3,08959E+0	-7,48600E-13
3,10059E+0	-9,74200E-13
3,11158E+0	-1,48930E-12
3,12258E+0	-1,16790E-12
3,13357E+0	-1,37500E-13
3,14457E+0	2,80000E-15
3,15556E+0	-5,22500E-13
3,16656E+0	-1,50780E-12
3,17755E+0	-1,23490E-12
