E, keV	I, A
2,00109E+0	-2,39850E-12
2,01208E+0	-1,77710E-12
2,02308E+0	-1,04770E-12
2,03408E+0	-1,79060E-12
2,04507E+0	-1,61150E-12
2,05606E+0	-1,42570E-12
2,06706E+0	-1,68530E-12
2,07805E+0	-1,17280E-12
2,08905E+0	-1,32580E-12
2,10004E+0	-1,35970E-12
2,11104E+0	-1,48380E-12
2,12203E+0	-8,50000E-13
2,13303E+0	-1,74050E-12
2,14402E+0	-1,85300E-12
2,15502E+0	-1,24370E-12
2,16601E+0	-8,87100E-13
2,17701E+0	-1,70880E-12
2,18800E+0	-1,07980E-12
2,19900E+0	-1,31860E-12
2,20999E+0	-1,43410E-12
2,22099E+0	-1,86830E-12
2,23198E+0	-2,04090E-12
2,24298E+0	-1,85690E-12
2,25397E+0	-1,25010E-12
2,26497E+0	-2,01910E-12
2,27596E+0	-2,02730E-12
2,28696E+0	-1,40750E-12
2,29795E+0	-1,86830E-12
2,30895E+0	-1,37450E-12
2,31994E+0	-1,78380E-12
2,33094E+0	-1,55210E-12
2,34193E+0	-1,97850E-12
2,35293E+0	-2,02150E-12
2,36392E+0	-1,97900E-12
2,37492E+0	-1,82330E-12
2,38591E+0	-1,83880E-12
2,39691E+0	-1,80090E-12
2,40790E+0	-1,91160E-12
2,41890E+0	-1,85050E-12
2,42989E+0	-1,19170E-12
2,44089E+0	-1,99130E-12
2,45188E+0	-1,48870E-12
2,46288E+0	-1,87440E-12
2,47387E+0	-1,41820E-12
2,48487E+0	-1,64510E-12
2,49586E+0	-1,45260E-12
2,50686E+0	-1,83370E-12
2,51785E+0	-1,97500E-12
2,52885E+0	-2,14620E-12
2,53984E+0	-1,50190E-12
2,55084E+0	-1,33550E-12
2,56183E+0	-1,49930E-12
2,57283E+0	-9,25900E-13
2,58383E+0	-9,93400E-13
2,59482E+0	-1,12100E-12
2,60581E+0	-1,63940E-12
2,61681E+0	-1,48860E-12
2,62780E+0	-1,30030E-12
2,63880E+0	-1,36000E-12
2,64980E+0	-1,67750E-12
2,66079E+0	-1,67000E-12
2,67178E+0	-1,62850E-12
2,68278E+0	-1,71450E-12
2,69378E+0	-2,05900E-12
2,70477E+0	-2,03460E-12
2,71577E+0	-1,41160E-12
2,72676E+0	-1,53830E-12
2,73775E+0	-1,70100E-12
2,74875E+0	-1,43340E-12
2,75974E+0	-5,63000E-13
2,77074E+0	-1,82900E-12
2,78173E+0	-1,26940E-12
2,79273E+0	-1,44360E-12
2,80372E+0	-1,14770E-12
2,81472E+0	-1,58540E-12
2,82571E+0	-1,72930E-12
2,83671E+0	-1,39540E-12
2,84770E+0	-1,39110E-12
2,85870E+0	-1,96520E-12
2,86969E+0	-2,04690E-12
2,88069E+0	-1,64940E-12
2,89168E+0	-1,20620E-12
2,90268E+0	-1,34210E-12
2,91367E+0	-1,49110E-12
2,92467E+0	-1,41570E-12
2,93566E+0	-1,72930E-12
2,94666E+0	-1,58030E-12
2,95765E+0	-1,14480E-12
2,96865E+0	-1,35450E-12
2,97964E+0	-1,63870E-12
2,99064E+0	-1,65420E-12
