E, keV	I, A
1,00055E+0	7,78090E-12
1,01154E+0	1,41599E-11
1,02253E+0	1,81862E-11
1,03353E+0	1,53746E-11
1,04452E+0	9,17420E-12
1,05552E+0	6,85740E-12
1,06651E+0	9,07910E-12
1,07751E+0	6,49700E-12
1,08850E+0	1,07034E-11
1,09950E+0	7,47270E-12
1,11050E+0	6,42910E-12
1,12149E+0	4,45800E-12
1,13248E+0	4,29130E-12
1,14348E+0	2,13900E-12
1,15447E+0	1,40900E-12
1,16547E+0	3,31680E-12
1,17647E+0	1,62050E-12
1,18746E+0	1,42520E-12
1,19846E+0	6,52600E-13
1,20945E+0	6,46400E-13
1,22045E+0	3,85710E-12
1,23144E+0	1,66290E-12
1,24243E+0	-5,50000E-13
1,25343E+0	-1,14390E-12
1,26442E+0	-1,09300E-12
1,27542E+0	-1,03000E-12
1,28641E+0	5,54000E-14
1,29741E+0	1,16590E-12
1,30840E+0	6,12800E-13
1,31940E+0	1,56180E-12
1,33039E+0	1,11780E-12
1,34139E+0	-4,04500E-13
1,35238E+0	8,48000E-13
1,36338E+0	8,50000E-13
1,37437E+0	1,12460E-12
1,38537E+0	3,53800E-13
1,39636E+0	-5,52600E-13
1,40736E+0	-1,07730E-12
1,41836E+0	3,25000E-14
1,42935E+0	5,74300E-13
1,44034E+0	-8,08000E-14
1,45134E+0	1,57800E-13
1,46233E+0	5,46000E-13
1,47333E+0	-1,06300E-13
1,48432E+0	-2,39600E-13
1,49532E+0	-3,60900E-13
1,50632E+0	-4,88500E-13
1,51731E+0	-7,74000E-13
1,52830E+0	1,76790E-12
1,53930E+0	-6,26700E-13
1,55029E+0	-1,03280E-12
1,56129E+0	1,01110E-12
1,57228E+0	2,57280E-12
1,58328E+0	3,71700E-13
1,59427E+0	3,90600E-12
1,60527E+0	-6,98900E-13
1,61626E+0	1,30220E-12
1,62726E+0	5,00400E-13
1,63825E+0	2,15730E-12
1,64925E+0	8,47200E-13
1,66024E+0	3,34630E-12
1,67124E+0	1,47530E-12
1,68223E+0	-9,54000E-13
1,69323E+0	2,15640E-12
1,70422E+0	2,00300E-13
1,71522E+0	-5,03300E-13
1,72622E+0	1,65030E-12
1,73721E+0	-7,28500E-13
1,74821E+0	2,17560E-12
1,75920E+0	3,91760E-12
1,77019E+0	5,13350E-12
1,78119E+0	2,34030E-12
1,79218E+0	2,55310E-12
1,80318E+0	8,94100E-13
1,81417E+0	1,92110E-12
1,82517E+0	3,34210E-12
1,83616E+0	2,73500E-13
1,84716E+0	7,64800E-13
1,85815E+0	3,73350E-12
1,86915E+0	2,91820E-12
1,88014E+0	1,46680E-12
1,89114E+0	2,29950E-12
1,90213E+0	2,49100E-12
1,91313E+0	-1,85900E-13
1,92412E+0	9,55100E-13
1,93512E+0	-1,54300E-13
1,94611E+0	2,96230E-12
1,95711E+0	4,72310E-12
1,96810E+0	1,46460E-12
1,97910E+0	-1,57200E-13
1,99009E+0	4,84500E-13
2,00109E+0	2,07910E-12
2,01208E+0	3,13150E-12
2,02308E+0	2,00900E-13
2,03408E+0	-8,35900E-13
2,04507E+0	3,14710E-12
2,05606E+0	7,59700E-13
2,06706E+0	2,64430E-12
2,07805E+0	-1,88900E-13
2,08905E+0	2,05600E-13
2,10004E+0	1,14700E-12
