E, keV	I, A
2,00109E+0	-5,64690E-12
2,02308E+0	-3,09060E-12
2,04507E+0	-2,31330E-12
2,06706E+0	-1,34970E-12
2,08905E+0	-6,46200E-13
2,11104E+0	-2,67930E-12
2,13303E+0	-2,14730E-12
2,15502E+0	-2,63170E-12
2,17701E+0	-3,12030E-12
2,19900E+0	-1,56380E-12
2,22099E+0	-1,07330E-12
2,24298E+0	7,50400E-13
2,26497E+0	-1,41360E-12
2,28696E+0	-2,84400E-13
2,30895E+0	6,53300E-13
2,33094E+0	3,52400E-13
2,35293E+0	-8,24800E-13
2,37492E+0	-1,58790E-12
2,39691E+0	-5,81200E-13
2,41890E+0	-1,87770E-12
2,44089E+0	-1,03160E-12
2,46288E+0	-2,89600E-13
2,48487E+0	-2,22240E-12
2,50686E+0	-2,00370E-12
2,52885E+0	-1,35510E-12
2,55084E+0	-1,61000E-13
2,57283E+0	-2,72550E-12
2,59482E+0	-2,51100E-13
2,61681E+0	-2,22880E-12
2,63880E+0	-1,76400E-12
2,66079E+0	-9,78900E-13
2,68278E+0	-7,27400E-13
2,70477E+0	-1,36000E-13
2,72676E+0	2,61890E-12
2,74875E+0	-4,33700E-13
2,77074E+0	7,80300E-13
2,79273E+0	-6,45400E-13
2,81472E+0	-1,30660E-12
2,83671E+0	1,32670E-12
2,85870E+0	2,71700E-13
2,88069E+0	-4,77800E-13
2,90268E+0	-9,34000E-13
2,92467E+0	-1,47900E-13
2,94666E+0	-6,66000E-14
2,96865E+0	5,74600E-13
2,99064E+0	-1,24190E-12
3,01263E+0	8,96600E-13
3,03462E+0	-8,06600E-13
3,05661E+0	7,83800E-13
3,07860E+0	-4,39600E-13
3,10059E+0	-1,47270E-12
3,12258E+0	2,54600E-13
3,14457E+0	-3,78400E-13
3,16656E+0	2,65020E-12
3,18855E+0	9,45100E-13
3,21054E+0	9,80000E-14
3,23253E+0	2,18710E-12
3,25452E+0	2,18520E-12
3,27651E+0	1,94040E-12
3,29850E+0	2,78680E-12
3,32049E+0	2,16290E-12
3,34248E+0	2,92850E-12
3,36447E+0	3,20330E-12
3,38646E+0	4,70750E-12
3,40845E+0	5,87740E-12
3,43044E+0	6,49430E-12
3,45243E+0	7,29000E-12
3,47442E+0	4,65620E-12
3,49641E+0	6,22970E-12
3,51840E+0	8,02950E-12
3,54039E+0	6,16560E-12
3,56238E+0	7,39170E-12
3,58437E+0	5,08750E-12
3,60636E+0	2,82670E-12
3,62835E+0	5,92820E-12
3,65034E+0	7,50970E-12
3,67233E+0	4,32110E-12
3,69432E+0	3,27530E-12
3,71631E+0	5,08950E-12
3,73830E+0	4,23600E-12
3,76029E+0	2,97430E-12
3,78228E+0	5,97740E-12
3,80427E+0	5,10000E-12
3,82626E+0	9,95570E-12
3,84825E+0	1,05979E-11
3,87024E+0	6,59810E-12
3,89223E+0	7,77910E-12
3,91422E+0	8,41430E-12
3,93621E+0	6,74930E-12
3,95820E+0	8,14960E-12
3,98019E+0	3,35000E-12
4,00218E+0	2,94060E-12
4,02417E+0	3,90950E-12
4,04616E+0	8,55330E-12
4,06815E+0	3,22360E-12
4,09014E+0	4,05450E-12
4,11213E+0	4,26610E-12
4,13412E+0	4,19880E-12
4,15611E+0	5,89120E-12
4,17810E+0	4,89430E-12
4,20009E+0	4,93030E-12
4,22208E+0	5,72860E-12
4,24407E+0	9,96780E-12
4,26606E+0	5,59510E-12
4,28805E+0	4,43300E-12
4,31004E+0	6,99350E-12
4,33203E+0	8,25210E-12
4,35402E+0	5,19000E-12
4,37601E+0	2,65400E-12
4,39800E+0	4,50120E-12
4,41999E+0	6,26720E-12
4,44198E+0	7,28650E-12
4,46397E+0	6,40000E-12
4,48596E+0	6,69190E-12
4,50795E+0	5,06350E-12
4,52994E+0	5,14170E-12
4,55193E+0	3,89810E-12
4,57392E+0	5,94310E-12
4,59591E+0	5,86040E-12
4,61790E+0	7,94530E-12
4,63989E+0	7,44300E-12
4,66188E+0	5,55170E-12
4,68387E+0	5,70580E-12
4,70586E+0	6,59780E-12
4,72785E+0	5,42950E-12
4,74984E+0	8,33900E-12
4,77183E+0	6,52280E-12
4,79382E+0	5,24830E-12
4,81581E+0	5,01440E-12
4,83780E+0	5,45120E-12
4,85979E+0	7,50110E-12
4,88178E+0	6,43760E-12
4,90377E+0	6,99640E-12
4,92576E+0	9,56030E-12
4,94775E+0	8,37100E-12
4,96974E+0	5,92040E-12
4,99173E+0	7,34910E-12
5,01372E+0	8,89330E-12
5,03571E+0	5,63460E-12
5,05770E+0	1,04191E-11
5,07969E+0	1,23778E-11
5,10168E+0	1,02663E-11
5,12367E+0	8,19840E-12
5,14566E+0	9,25290E-12
5,16765E+0	8,04790E-12
5,18964E+0	9,08910E-12
5,21163E+0	8,95620E-12
5,23362E+0	7,04230E-12
5,25561E+0	8,26150E-12
5,27760E+0	7,36570E-12
5,29959E+0	6,31420E-12
5,32158E+0	7,22450E-12
5,34357E+0	9,06800E-12
