E, keV	I, A
6,00327E+0	1,59827E-10
6,01426E+0	1,63074E-10
6,02526E+0	1,54507E-10
6,03625E+0	1,28654E-10
6,04725E+0	1,72694E-10
6,05824E+0	1,54528E-10
6,06924E+0	1,47347E-10
6,08024E+0	1,45641E-10
6,09123E+0	1,52826E-10
6,10222E+0	1,74559E-10
6,11322E+0	1,55918E-10
6,12421E+0	1,76757E-10
6,13521E+0	1,45093E-10
6,14620E+0	1,68605E-10
6,15720E+0	1,63973E-10
6,16819E+0	1,64824E-10
6,17919E+0	1,80775E-10
6,19018E+0	2,04478E-10
6,20118E+0	1,72970E-10
6,21218E+0	1,66227E-10
6,22317E+0	1,51279E-10
6,23416E+0	1,55153E-10
6,24516E+0	1,48343E-10
6,25615E+0	1,69592E-10
6,26715E+0	1,48066E-10
6,27814E+0	1,59003E-10
6,28914E+0	1,60065E-10
6,30014E+0	1,44596E-10
6,31113E+0	1,56483E-10
6,32212E+0	1,52629E-10
6,33312E+0	1,35460E-10
6,34411E+0	1,63555E-10
6,35511E+0	1,61262E-10
6,36610E+0	1,54505E-10
6,37710E+0	1,47543E-10
6,38809E+0	1,48712E-10
6,39909E+0	1,41059E-10
6,41008E+0	1,50714E-10
6,42108E+0	1,67267E-10
6,43207E+0	1,58775E-10
6,44307E+0	1,44126E-10
6,45406E+0	1,64516E-10
6,46506E+0	1,64341E-10
6,47605E+0	1,77955E-10
6,48705E+0	1,51393E-10
6,49804E+0	1,84679E-10
6,50904E+0	1,65640E-10
6,52003E+0	1,59230E-10
6,53103E+0	1,66750E-10
6,54202E+0	1,52306E-10
6,55302E+0	1,73613E-10
6,56401E+0	1,74355E-10
6,57501E+0	1,84176E-10
6,58601E+0	1,41049E-10
6,59700E+0	1,47282E-10
6,60799E+0	1,63421E-10
6,61899E+0	1,94349E-10
6,62998E+0	1,57988E-10
6,64098E+0	1,73328E-10
6,65197E+0	1,60534E-10
6,66297E+0	1,80555E-10
6,67396E+0	2,06216E-10
6,68496E+0	1,99657E-10
6,69595E+0	1,89805E-10
6,70695E+0	1,66206E-10
6,71795E+0	1,36480E-10
6,72894E+0	2,12800E-10
6,73993E+0	2,52930E-10
6,75093E+0	2,33690E-10
6,76192E+0	2,43860E-10
6,77292E+0	2,18420E-10
6,78391E+0	2,45220E-10
6,79491E+0	2,04960E-10
6,80591E+0	2,26440E-10
6,81690E+0	2,18980E-10
6,82789E+0	2,04860E-10
6,83889E+0	1,85986E-10
6,84988E+0	2,04294E-10
6,86088E+0	1,96479E-10
6,87187E+0	1,86163E-10
6,88287E+0	1,75521E-10
6,89386E+0	1,82068E-10
6,90486E+0	1,94015E-10
6,91585E+0	2,07374E-10
6,92685E+0	1,91685E-10
6,93784E+0	2,03502E-10
6,94884E+0	1,98322E-10
6,95983E+0	1,96884E-10
6,97083E+0	2,00540E-10
6,98182E+0	2,29490E-10
