E, keV	I, A
6,00327E+0	1,23555E-10
6,01426E+0	1,27720E-10
6,02526E+0	1,05660E-10
6,03625E+0	1,22346E-10
6,04725E+0	1,07389E-10
6,05824E+0	1,00844E-10
6,06924E+0	9,41380E-11
6,08024E+0	1,01357E-10
6,09123E+0	1,07121E-10
6,10222E+0	1,22173E-10
6,11322E+0	9,87700E-11
6,12421E+0	1,04763E-10
6,13521E+0	1,19742E-10
6,14620E+0	1,14419E-10
6,15720E+0	1,19411E-10
6,16819E+0	1,35270E-10
6,17919E+0	9,59500E-11
6,19018E+0	9,78030E-11
6,20118E+0	1,16550E-10
6,21218E+0	1,29701E-10
6,22317E+0	1,23449E-10
6,23416E+0	1,13151E-10
6,24516E+0	1,12824E-10
6,25615E+0	1,35650E-10
6,26715E+0	1,10155E-10
6,27814E+0	1,17162E-10
6,28914E+0	1,17796E-10
6,30014E+0	1,15304E-10
6,31113E+0	9,41630E-11
6,32212E+0	1,12360E-10
6,33312E+0	1,14819E-10
6,34411E+0	1,23227E-10
6,35511E+0	1,08418E-10
6,36610E+0	1,00452E-10
6,37710E+0	1,09335E-10
6,38809E+0	1,05400E-10
6,39909E+0	1,03361E-10
6,41008E+0	9,26820E-11
6,42108E+0	1,12267E-10
6,43207E+0	1,07019E-10
6,44307E+0	9,26480E-11
6,45406E+0	1,09126E-10
6,46506E+0	1,15118E-10
6,47605E+0	1,25808E-10
6,48705E+0	1,17991E-10
6,49804E+0	1,29800E-10
6,50904E+0	1,25311E-10
6,52003E+0	1,23943E-10
6,53103E+0	1,05181E-10
6,54202E+0	1,14539E-10
6,55302E+0	1,14920E-10
6,56401E+0	1,45529E-10
6,57501E+0	1,29899E-10
6,58601E+0	1,31693E-10
6,59700E+0	1,19453E-10
6,60799E+0	1,04259E-10
6,61899E+0	1,15662E-10
6,62998E+0	1,09659E-10
6,64098E+0	1,03824E-10
6,65197E+0	1,19069E-10
6,66297E+0	1,20572E-10
6,67396E+0	1,60395E-10
6,68496E+0	1,10814E-10
6,69595E+0	1,27114E-10
6,70695E+0	1,48242E-10
6,71795E+0	1,38460E-10
6,72894E+0	1,20110E-10
6,73993E+0	1,25259E-10
6,75093E+0	1,49885E-10
6,76192E+0	1,63884E-10
6,77292E+0	1,25954E-10
6,78391E+0	1,23494E-10
6,79491E+0	1,40599E-10
