E, keV	I, A
6,00327E+0	1,31146E-10
6,01426E+0	1,63364E-10
6,02526E+0	1,35695E-10
6,03625E+0	1,18883E-10
6,04725E+0	1,53347E-10
6,05824E+0	1,46342E-10
6,06924E+0	1,22609E-10
6,08024E+0	1,55313E-10
6,09123E+0	1,30392E-10
6,10222E+0	1,41026E-10
6,11322E+0	1,47340E-10
6,12421E+0	1,30390E-10
6,13521E+0	1,25832E-10
6,14620E+0	1,25120E-10
6,15720E+0	1,50761E-10
6,16819E+0	1,34690E-10
6,17919E+0	1,31721E-10
6,19018E+0	1,38859E-10
6,20118E+0	1,68685E-10
6,21218E+0	1,60235E-10
6,22317E+0	1,12736E-10
6,23416E+0	1,54102E-10
6,24516E+0	1,46925E-10
6,25615E+0	1,33949E-10
6,26715E+0	1,28111E-10
6,27814E+0	1,34685E-10
6,28914E+0	1,74712E-10
6,30014E+0	1,62638E-10
6,31113E+0	1,32072E-10
6,32212E+0	1,29988E-10
6,33312E+0	1,33893E-10
6,34411E+0	1,44137E-10
6,35511E+0	1,21337E-10
6,36610E+0	1,32422E-10
6,37710E+0	1,22914E-10
6,38809E+0	1,41294E-10
6,39909E+0	1,52352E-10
6,41008E+0	1,64455E-10
6,42108E+0	1,44532E-10
6,43207E+0	1,33945E-10
6,44307E+0	1,40951E-10
6,45406E+0	1,47815E-10
6,46506E+0	1,56785E-10
6,47605E+0	1,23051E-10
6,48705E+0	1,44803E-10
6,49804E+0	1,41546E-10
6,50904E+0	1,63369E-10
6,52003E+0	1,54948E-10
6,53103E+0	1,38260E-10
6,54202E+0	1,59264E-10
6,55302E+0	1,75725E-10
6,56401E+0	1,61885E-10
6,57501E+0	1,56740E-10
6,58601E+0	1,43044E-10
6,59700E+0	1,81265E-10
6,60799E+0	1,54872E-10
6,61899E+0	1,52966E-10
6,62998E+0	1,75325E-10
6,64098E+0	1,61429E-10
6,65197E+0	1,44585E-10
6,66297E+0	1,61711E-10
6,67396E+0	1,53251E-10
6,68496E+0	1,68361E-10
6,69595E+0	1,45172E-10
6,70695E+0	1,72402E-10
6,71795E+0	1,72231E-10
6,72894E+0	1,51864E-10
6,73993E+0	1,76170E-10
6,75093E+0	1,74226E-10
6,76192E+0	1,82740E-10
6,77292E+0	1,59393E-10
6,78391E+0	1,93512E-10
6,79491E+0	1,57970E-10
6,80591E+0	1,84252E-10
6,81690E+0	1,72541E-10
6,82789E+0	1,85978E-10
6,83889E+0	1,76267E-10
6,84988E+0	1,94658E-10
6,86088E+0	1,90355E-10
6,87187E+0	1,91664E-10
6,88287E+0	1,86704E-10
6,89386E+0	1,79666E-10
6,90486E+0	1,85806E-10
6,91585E+0	1,81324E-10
6,92685E+0	2,04484E-10
6,93784E+0	1,77620E-10
6,94884E+0	1,93035E-10
6,95983E+0	2,09702E-10
6,97083E+0	2,23710E-10
6,98182E+0	3,04680E-10
