E, keV	I, A
6,00327E+0	2,15670E-11
6,01426E+0	2,28830E-11
6,02526E+0	1,90499E-11
6,03625E+0	1,56678E-11
6,04725E+0	1,62586E-11
6,05824E+0	1,51890E-11
6,06924E+0	2,44600E-11
6,08024E+0	2,46740E-11
6,09123E+0	2,22660E-11
6,10222E+0	2,55730E-11
6,11322E+0	3,19720E-11
6,12421E+0	3,11730E-11
6,13521E+0	2,31690E-11
6,14620E+0	2,87440E-11
6,15720E+0	2,53470E-11
6,16819E+0	3,17230E-11
6,17919E+0	2,31940E-11
6,19018E+0	2,14370E-11
6,20118E+0	2,77040E-11
6,21218E+0	2,98780E-11
6,22317E+0	3,33380E-11
6,23416E+0	2,99570E-11
6,24516E+0	2,56090E-11
6,25615E+0	3,46000E-11
6,26715E+0	2,25160E-11
6,27814E+0	2,77870E-11
6,28914E+0	2,67340E-11
6,30014E+0	2,57510E-11
6,31113E+0	2,83150E-11
6,32212E+0	2,68110E-11
6,33312E+0	3,50530E-11
6,34411E+0	3,93720E-11
6,35511E+0	3,10280E-11
6,36610E+0	2,84340E-11
6,37710E+0	2,45550E-11
6,38809E+0	2,85910E-11
6,39909E+0	3,84720E-11
6,41008E+0	2,57970E-11
6,42108E+0	2,60850E-11
6,43207E+0	3,11060E-11
6,44307E+0	3,24700E-11
6,45406E+0	4,04840E-11
6,46506E+0	2,94060E-11
6,47605E+0	2,48700E-11
6,48705E+0	2,79070E-11
6,49804E+0	3,08360E-11
6,50904E+0	3,06410E-11
6,52003E+0	2,45390E-11
6,53103E+0	4,31530E-11
6,54202E+0	3,40080E-11
6,55302E+0	3,48490E-11
6,56401E+0	3,63020E-11
6,57501E+0	2,92010E-11
6,58601E+0	4,30770E-11
6,59700E+0	3,56270E-11
6,60799E+0	3,44730E-11
6,61899E+0	4,30110E-11
6,62998E+0	3,53210E-11
6,64098E+0	3,15400E-11
6,65197E+0	3,97740E-11
6,66297E+0	3,17540E-11
6,67396E+0	3,25190E-11
6,68496E+0	4,80220E-11
6,69595E+0	3,96730E-11
6,70695E+0	3,14210E-11
6,71795E+0	3,88300E-11
6,72894E+0	4,49970E-11
6,73993E+0	4,03800E-11
6,75093E+0	4,52210E-11
6,76192E+0	4,29970E-11
6,77292E+0	4,65450E-11
6,78391E+0	3,71980E-11
6,79491E+0	4,61010E-11
6,80591E+0	3,67800E-11
6,81690E+0	3,43840E-11
6,82789E+0	4,81750E-11
6,83889E+0	3,36990E-11
6,84988E+0	2,99720E-11
6,86088E+0	3,27160E-11
6,87187E+0	4,46070E-11
6,88287E+0	3,08060E-11
6,89386E+0	3,22050E-11
6,90486E+0	3,66430E-11
6,91585E+0	2,90370E-11
6,92685E+0	4,92830E-11
6,93784E+0	4,43690E-11
6,94884E+0	3,95060E-11
6,95983E+0	3,77550E-11
6,97083E+0	3,53210E-11
6,98182E+0	3,58410E-11
6,99282E+0	4,42690E-11
7,00381E+0	4,26250E-11
7,01481E+0	5,02160E-11
7,02580E+0	5,32150E-11
7,03680E+0	6,41710E-11
7,04779E+0	6,36530E-11
7,05879E+0	7,16940E-11
7,06978E+0	7,76510E-11
7,08078E+0	1,06078E-10
7,09177E+0	7,29360E-11
7,10277E+0	9,43270E-11
7,11376E+0	8,25740E-11
7,12476E+0	6,21750E-11
7,13575E+0	8,28700E-11
7,14675E+0	7,03160E-11
7,15774E+0	5,52250E-11
7,16874E+0	5,99500E-11
7,17973E+0	6,53720E-11
7,19073E+0	4,60030E-11
7,20172E+0	6,01010E-11
7,21272E+0	5,67550E-11
7,22371E+0	5,35540E-11
7,23471E+0	4,55110E-11
7,24570E+0	5,04700E-11
7,25670E+0	5,98540E-11
7,26769E+0	5,83930E-11
7,27869E+0	5,96520E-11
7,28968E+0	6,47240E-11
7,30068E+0	5,91470E-11
7,31168E+0	4,89710E-11
7,32267E+0	4,92000E-11
7,33366E+0	4,67610E-11
7,34466E+0	5,17400E-11
7,35565E+0	5,28940E-11
7,36665E+0	6,97840E-11
7,37764E+0	5,16140E-11
7,38864E+0	6,10600E-11
7,39963E+0	6,01620E-11
7,41063E+0	5,94630E-11
7,42162E+0	5,41150E-11
7,43262E+0	5,22380E-11
7,44361E+0	7,12510E-11
7,45461E+0	6,32310E-11
7,46560E+0	6,30140E-11
7,47660E+0	6,44790E-11
7,48759E+0	6,91470E-11
7,49859E+0	7,53210E-11
7,50958E+0	5,47040E-11
7,52058E+0	5,47330E-11
7,53157E+0	6,65190E-11
7,54257E+0	6,21730E-11
7,55356E+0	7,03750E-11
7,56456E+0	8,16210E-11
7,57555E+0	9,03950E-11
7,58655E+0	8,18640E-11
7,59754E+0	7,64730E-11
7,60854E+0	6,78190E-11
7,61953E+0	6,77520E-11
7,63053E+0	6,39990E-11
7,64152E+0	6,19990E-11
7,65252E+0	5,90690E-11
7,66351E+0	6,87760E-11
7,67451E+0	6,40300E-11
7,68551E+0	6,25850E-11
7,69650E+0	5,15370E-11
7,70749E+0	6,96790E-11
7,71849E+0	7,12640E-11
7,72948E+0	6,20120E-11
7,74048E+0	5,92340E-11
7,75147E+0	5,49650E-11
7,76247E+0	5,23710E-11
7,77346E+0	6,45490E-11
7,78446E+0	6,27870E-11
7,79545E+0	5,73650E-11
7,80645E+0	4,16080E-11
7,81745E+0	5,55600E-11
7,82844E+0	6,95010E-11
7,83943E+0	5,54420E-11
7,85043E+0	5,11930E-11
7,86142E+0	5,51970E-11
7,87242E+0	5,78520E-11
7,88341E+0	6,74220E-11
7,89441E+0	4,46420E-11
7,90541E+0	5,09950E-11
7,91640E+0	7,05130E-11
7,92739E+0	6,25430E-11
7,93839E+0	6,00570E-11
7,94938E+0	5,26980E-11
7,96038E+0	5,49750E-11
7,97137E+0	5,58930E-11
7,98237E+0	5,84500E-11
7,99336E+0	4,60870E-11
8,00436E+0	5,94870E-11
8,01535E+0	6,64660E-11
8,02635E+0	4,84770E-11
8,03734E+0	5,86720E-11
8,04834E+0	5,32860E-11
8,05933E+0	5,62460E-11
8,07033E+0	4,20110E-11
8,08132E+0	5,14820E-11
8,09232E+0	6,06980E-11
8,10332E+0	5,90000E-11
8,11431E+0	4,41540E-11
8,12530E+0	6,06720E-11
8,13630E+0	6,10260E-11
8,14729E+0	5,02610E-11
8,15829E+0	5,99160E-11
8,16928E+0	4,76980E-11
8,18028E+0	5,36510E-11
8,19127E+0	4,38920E-11
8,20227E+0	5,48840E-11
8,21326E+0	6,64240E-11
8,22426E+0	6,35880E-11
8,23526E+0	6,22470E-11
8,24625E+0	6,38280E-11
8,25724E+0	5,38670E-11
8,26824E+0	6,05100E-11
8,27923E+0	4,96050E-11
8,29023E+0	5,81100E-11
8,30122E+0	5,36100E-11
8,31222E+0	5,36170E-11
8,32321E+0	5,60040E-11
8,33421E+0	5,32950E-11
8,34520E+0	6,22160E-11
8,35620E+0	5,64300E-11
8,36720E+0	5,41730E-11
8,37819E+0	5,69110E-11
8,38918E+0	5,61010E-11
8,40018E+0	5,86350E-11
8,41118E+0	7,01890E-11
8,42217E+0	6,38160E-11
8,43316E+0	4,84320E-11
8,44416E+0	6,07540E-11
8,45515E+0	5,84870E-11
8,46615E+0	5,59380E-11
8,47715E+0	7,18730E-11
8,48814E+0	6,84430E-11
8,49913E+0	5,58430E-11
8,51013E+0	5,65910E-11
8,52112E+0	5,83450E-11
8,53212E+0	5,17030E-11
8,54311E+0	5,93440E-11
8,55411E+0	6,42880E-11
8,56510E+0	4,99540E-11
8,57610E+0	5,91650E-11
8,58709E+0	5,56120E-11
8,59809E+0	5,79250E-11
8,60909E+0	7,31770E-11
8,62008E+0	6,72470E-11
8,63107E+0	5,41020E-11
8,64207E+0	6,11320E-11
8,65306E+0	6,34390E-11
8,66406E+0	5,82040E-11
8,67505E+0	6,43030E-11
8,68605E+0	6,86810E-11
8,69704E+0	6,80160E-11
8,70804E+0	6,87210E-11
8,71903E+0	5,63790E-11
8,73003E+0	5,80090E-11
8,74102E+0	6,78920E-11
8,75202E+0	6,56140E-11
8,76301E+0	6,71290E-11
8,77401E+0	7,14450E-11
8,78500E+0	6,97480E-11
8,79600E+0	7,56640E-11
8,80699E+0	8,52660E-11
8,81799E+0	6,66220E-11
8,82898E+0	7,79060E-11
8,83998E+0	6,50410E-11
8,85098E+0	6,74620E-11
8,86197E+0	7,75620E-11
8,87296E+0	8,13350E-11
8,88396E+0	7,33070E-11
8,89495E+0	6,54410E-11
8,90595E+0	5,79000E-11
8,91694E+0	5,77070E-11
8,92794E+0	6,57700E-11
8,93894E+0	6,34660E-11
8,94993E+0	6,35340E-11
8,96092E+0	8,90950E-11
8,97192E+0	6,81000E-11
8,98291E+0	6,33530E-11
8,99391E+0	8,37530E-11
9,00490E+0	7,00970E-11
9,01590E+0	7,48860E-11
9,02689E+0	6,49860E-11
9,03789E+0	7,82670E-11
9,04889E+0	6,87000E-11
9,05988E+0	7,21020E-11
9,07087E+0	6,52120E-11
9,08187E+0	8,75250E-11
9,09286E+0	9,19360E-11
9,10386E+0	6,01900E-11
9,11485E+0	6,55380E-11
9,12585E+0	6,59120E-11
9,13684E+0	9,38180E-11
9,14784E+0	8,35520E-11
9,15883E+0	8,59460E-11
9,16983E+0	7,38870E-11
9,18082E+0	7,50430E-11
9,19182E+0	6,71380E-11
9,20281E+0	9,21610E-11
9,21381E+0	7,83100E-11
9,22480E+0	9,23760E-11
9,23580E+0	8,39870E-11
9,24679E+0	7,39730E-11
9,25779E+0	6,73950E-11
9,26878E+0	8,96470E-11
9,27978E+0	8,41160E-11
9,29077E+0	8,51050E-11
9,30177E+0	9,54070E-11
9,31277E+0	6,85650E-11
9,32376E+0	7,65340E-11
9,33475E+0	8,29380E-11
9,34575E+0	8,68620E-11
9,35674E+0	7,31520E-11
9,36774E+0	7,89680E-11
9,37873E+0	9,50430E-11
9,38973E+0	8,36950E-11
9,40072E+0	8,79880E-11
9,41172E+0	9,39520E-11
9,42272E+0	8,59300E-11
9,43371E+0	9,73240E-11
9,44470E+0	8,77930E-11
9,45570E+0	1,01366E-10
9,46669E+0	9,55210E-11
9,47769E+0	1,04996E-10
9,48869E+0	9,68100E-11
9,49968E+0	8,56280E-11
9,51067E+0	1,06482E-10
9,52167E+0	8,94340E-11
9,53266E+0	1,02307E-10
9,54366E+0	8,34770E-11
9,55465E+0	8,69080E-11
9,56565E+0	8,42270E-11
9,57665E+0	9,07500E-11
9,58764E+0	1,09037E-10
9,59863E+0	9,91770E-11
9,60963E+0	1,08691E-10
9,62062E+0	1,00295E-10
9,62210E+0	9,49530E-11
9,63076E+0	9,88070E-11
9,63942E+0	1,12076E-10
9,64808E+0	9,53890E-11
9,65674E+0	1,02621E-10
9,66540E+0	1,01482E-10
9,67406E+0	1,07702E-10
9,68272E+0	1,07511E-10
9,69138E+0	9,35800E-11
9,70004E+0	9,56550E-11
9,70870E+0	8,83410E-11
9,71737E+0	1,00839E-10
9,72603E+0	1,16642E-10
9,73469E+0	1,16259E-10
9,74335E+0	9,11070E-11
9,75201E+0	1,16354E-10
9,76067E+0	1,12814E-10
9,76933E+0	1,01664E-10
9,77799E+0	1,08807E-10
9,78665E+0	9,05150E-11
9,79531E+0	1,07673E-10
9,80397E+0	1,12120E-10
9,81263E+0	9,91580E-11
9,82130E+0	1,13097E-10
9,82996E+0	1,09912E-10
9,83862E+0	1,04909E-10
9,84728E+0	9,28020E-11
9,85594E+0	1,01469E-10
9,86460E+0	1,25166E-10
9,87326E+0	9,97140E-11
9,88192E+0	1,12463E-10
9,89058E+0	1,23610E-10
9,89924E+0	1,12508E-10
9,90790E+0	1,08012E-10
9,91656E+0	1,18538E-10
9,92522E+0	1,24888E-10
9,93389E+0	1,01930E-10
9,94255E+0	1,02940E-10
9,95121E+0	1,30725E-10
9,95987E+0	1,07560E-10
9,96853E+0	1,01425E-10
9,97719E+0	1,23781E-10
9,98585E+0	1,25027E-10
9,99451E+0	1,07151E-10
1,00032E+1	1,09920E-10
1,00118E+1	1,05237E-10
1,00205E+1	1,17367E-10
1,00292E+1	1,14079E-10
1,00378E+1	9,38390E-11
1,00465E+1	1,12178E-10
1,00551E+1	1,21875E-10
1,00638E+1	1,10323E-10
1,00725E+1	1,34895E-10
1,00811E+1	1,33304E-10
1,00898E+1	1,12301E-10
1,00984E+1	1,27550E-10
1,01071E+1	1,28971E-10
1,01158E+1	1,15819E-10
1,01244E+1	1,14224E-10
1,01331E+1	1,28048E-10
1,01417E+1	1,26739E-10
1,01504E+1	1,24995E-10
1,01591E+1	1,23969E-10
1,01677E+1	1,23205E-10
1,01764E+1	1,19436E-10
1,01850E+1	1,37101E-10
1,01937E+1	1,34990E-10
1,02024E+1	1,20939E-10
1,02110E+1	1,02439E-10
1,02197E+1	1,25111E-10
1,02284E+1	1,26774E-10
1,02370E+1	1,24103E-10
1,02457E+1	1,16189E-10
1,02543E+1	1,19431E-10
1,02630E+1	1,28713E-10
1,02717E+1	1,32139E-10
1,02803E+1	1,28145E-10
1,02890E+1	1,30658E-10
1,02976E+1	1,35850E-10
1,03063E+1	1,22425E-10
1,03150E+1	1,20917E-10
1,03236E+1	1,32067E-10
1,03323E+1	1,31272E-10
1,03409E+1	1,44619E-10
1,03496E+1	1,26222E-10
1,03583E+1	1,37240E-10
1,03669E+1	1,29858E-10
1,03756E+1	1,33131E-10
1,03842E+1	1,44748E-10
1,03929E+1	1,51339E-10
1,04016E+1	1,30491E-10
1,04102E+1	1,32453E-10
1,04189E+1	1,33956E-10
1,04276E+1	1,46521E-10
1,04362E+1	1,43786E-10
1,04449E+1	1,39947E-10
1,04535E+1	1,44234E-10
1,04622E+1	1,70473E-10
1,04709E+1	1,72560E-10
1,04795E+1	1,32230E-10
1,04882E+1	1,36324E-10
1,04968E+1	1,32951E-10
1,05055E+1	1,53590E-10
1,05142E+1	1,49914E-10
1,05228E+1	1,21763E-10
1,05315E+1	1,32335E-10
1,05401E+1	1,36883E-10
1,05488E+1	1,41695E-10
1,05575E+1	1,49770E-10
1,05661E+1	1,46860E-10
1,05748E+1	1,60860E-10
1,05834E+1	1,56922E-10
1,05921E+1	1,53725E-10
1,06008E+1	1,59912E-10
1,06094E+1	1,61460E-10
1,06181E+1	1,50894E-10
1,06267E+1	1,45445E-10
1,06354E+1	1,56695E-10
1,06441E+1	1,56415E-10
1,06527E+1	1,55611E-10
1,06614E+1	1,56208E-10
1,06701E+1	1,41169E-10
1,06787E+1	1,60574E-10
1,06874E+1	1,69077E-10
1,06960E+1	1,61062E-10
1,07047E+1	1,58303E-10
1,07134E+1	1,68844E-10
1,07220E+1	1,41173E-10
1,07307E+1	1,37671E-10
1,07393E+1	1,43317E-10
1,07480E+1	1,40077E-10
1,07567E+1	1,65806E-10
1,07653E+1	1,76594E-10
1,07740E+1	1,95782E-10
1,07826E+1	1,71586E-10
1,07913E+1	1,59457E-10
1,08000E+1	1,52930E-10
1,08086E+1	1,69729E-10
1,08173E+1	1,50204E-10
1,08259E+1	1,85086E-10
1,08346E+1	1,86160E-10
1,08433E+1	1,84627E-10
1,08519E+1	1,75933E-10
1,08606E+1	1,82196E-10
1,08693E+1	1,57578E-10
1,08779E+1	1,50418E-10
1,08866E+1	1,63355E-10
1,08952E+1	1,97364E-10
1,09039E+1	1,76135E-10
1,09126E+1	1,64262E-10
1,09212E+1	1,93704E-10
1,09299E+1	1,66916E-10
1,09385E+1	1,69163E-10
1,09472E+1	2,05035E-10
1,09559E+1	2,00832E-10
1,09645E+1	1,91405E-10
1,09732E+1	1,81754E-10
1,09818E+1	1,80370E-10
1,09905E+1	1,66832E-10
1,09992E+1	1,53074E-10
1,10078E+1	1,38310E-10
1,10165E+1	2,05923E-10
1,10251E+1	1,77618E-10
1,10338E+1	1,87378E-10
1,10425E+1	1,79366E-10
1,10511E+1	1,66696E-10
1,10598E+1	1,69214E-10
1,10684E+1	1,89800E-10
1,10771E+1	2,22440E-10
1,10858E+1	2,07041E-10
1,10944E+1	1,99663E-10
1,11031E+1	1,85020E-10
1,11118E+1	2,03903E-10
1,11204E+1	1,99613E-10
1,11291E+1	1,82467E-10
1,11377E+1	1,94328E-10
1,11464E+1	2,41590E-10
1,11551E+1	1,87313E-10
1,11637E+1	1,93715E-10
1,11724E+1	1,72610E-10
1,11810E+1	2,23810E-10
1,11897E+1	1,90333E-10
1,11984E+1	2,08110E-10
1,12070E+1	1,94553E-10
1,12157E+1	2,01152E-10
1,12243E+1	1,89319E-10
1,12330E+1	3,31330E-10
1,12417E+1	2,41610E-10
1,12503E+1	2,16080E-10
1,12590E+1	2,10110E-10
1,12676E+1	2,56400E-10
1,12763E+1	1,99480E-10
1,12850E+1	2,36400E-10
1,12936E+1	2,08150E-10
1,13023E+1	2,84600E-10
1,13110E+1	2,77420E-10
1,13196E+1	2,77680E-10
1,13283E+1	2,01900E-10
1,13369E+1	3,20660E-10
1,13456E+1	2,16530E-10
1,13543E+1	2,00930E-10
1,13629E+1	3,02820E-10
1,13716E+1	2,30360E-10
1,13802E+1	2,30880E-10
1,13889E+1	2,24700E-10
1,13976E+1	2,87020E-10
1,14062E+1	2,73560E-10
1,14149E+1	2,94380E-10
1,14235E+1	2,00770E-10
1,14322E+1	3,48370E-10
1,14409E+1	2,06690E-10
1,14495E+1	2,43590E-10
1,14582E+1	2,29040E-10
1,14668E+1	2,89880E-10
1,14755E+1	3,07340E-10
1,14842E+1	2,49130E-10
1,14928E+1	2,89530E-10
1,15015E+1	2,78790E-10
1,15101E+1	2,97980E-10
1,15188E+1	3,18160E-10
1,15275E+1	2,59790E-10
1,15361E+1	2,68720E-10
1,15448E+1	2,70640E-10
1,15535E+1	2,27630E-10
1,15621E+1	3,93900E-10
1,15708E+1	3,17280E-10
1,15794E+1	2,24710E-10
1,15881E+1	3,07210E-10
1,15968E+1	2,65630E-10
1,16054E+1	3,80380E-10
1,16141E+1	3,16750E-10
1,16227E+1	3,83740E-10
1,16314E+1	2,69920E-10
1,16401E+1	2,97760E-10
1,16487E+1	2,33920E-10
1,16574E+1	3,42620E-10
1,16660E+1	3,22280E-10
1,16747E+1	2,81870E-10
1,16834E+1	3,58730E-10
1,16920E+1	3,00640E-10
