E, keV	I, A
6,00327E+0	8,07540E-11
6,01426E+0	9,06460E-11
6,02526E+0	9,16220E-11
6,03625E+0	8,83380E-11
6,04725E+0	8,13020E-11
6,05824E+0	8,47780E-11
6,06924E+0	8,26810E-11
6,08024E+0	9,87730E-11
6,09123E+0	9,34040E-11
6,10222E+0	9,39220E-11
6,11322E+0	9,98910E-11
6,12421E+0	1,12386E-10
6,13521E+0	1,00493E-10
6,14620E+0	1,01019E-10
6,15720E+0	1,05298E-10
6,16819E+0	8,75910E-11
6,17919E+0	7,72110E-11
6,19018E+0	9,29570E-11
6,20118E+0	9,73820E-11
6,21218E+0	9,25390E-11
6,22317E+0	8,41830E-11
6,23416E+0	9,47050E-11
6,24516E+0	9,04680E-11
6,25615E+0	9,80230E-11
6,26715E+0	1,07771E-10
6,27814E+0	1,06892E-10
6,28914E+0	1,12918E-10
6,30014E+0	1,28647E-10
6,31113E+0	1,10311E-10
6,32212E+0	9,92700E-11
6,33312E+0	1,03521E-10
6,34411E+0	8,74870E-11
6,35511E+0	1,12096E-10
6,36610E+0	1,08250E-10
6,37710E+0	9,87580E-11
6,38809E+0	1,46408E-10
6,39909E+0	1,19623E-10
6,41008E+0	1,18110E-10
6,42108E+0	1,07327E-10
6,43207E+0	1,19461E-10
6,44307E+0	1,19587E-10
6,45406E+0	1,08432E-10
6,46506E+0	1,21353E-10
6,47605E+0	1,25437E-10
6,48705E+0	1,19187E-10
6,49804E+0	8,66610E-11
6,50904E+0	1,03279E-10
6,52003E+0	1,21639E-10
6,53103E+0	9,18480E-11
6,54202E+0	1,19541E-10
6,55302E+0	1,18063E-10
6,56401E+0	1,41112E-10
6,57501E+0	1,24556E-10
6,58601E+0	1,20248E-10
6,59700E+0	1,30934E-10
6,60799E+0	1,43375E-10
6,61899E+0	1,48722E-10
6,62998E+0	1,44887E-10
6,64098E+0	1,46589E-10
6,65197E+0	1,78600E-10
6,66297E+0	1,92165E-10
6,67396E+0	1,74868E-10
6,68496E+0	1,67654E-10
6,69595E+0	1,54717E-10
6,70695E+0	1,67441E-10
6,71795E+0	1,85109E-10
6,72894E+0	1,50659E-10
6,73993E+0	1,71026E-10
6,75093E+0	1,78955E-10
6,76192E+0	1,48036E-10
6,77292E+0	1,53875E-10
6,78391E+0	1,57092E-10
6,79491E+0	1,46914E-10
6,80591E+0	1,56955E-10
6,81690E+0	1,64764E-10
6,82789E+0	1,58904E-10
6,83889E+0	1,39486E-10
6,84988E+0	1,56053E-10
6,86088E+0	1,55024E-10
6,87187E+0	1,38476E-10
6,88287E+0	1,55769E-10
6,89386E+0	1,45779E-10
6,90486E+0	1,43057E-10
6,91585E+0	1,40315E-10
6,92685E+0	1,50515E-10
6,93784E+0	1,54135E-10
6,94884E+0	1,61767E-10
6,95983E+0	1,48070E-10
6,97083E+0	1,16721E-10
6,98182E+0	1,31533E-10
6,99282E+0	1,62199E-10
7,00381E+0	1,54678E-10
7,01481E+0	1,58284E-10
7,02580E+0	1,38518E-10
7,03680E+0	1,59301E-10
7,04779E+0	1,53838E-10
7,05879E+0	1,32362E-10
7,06978E+0	1,31236E-10
7,08078E+0	1,28294E-10
7,09177E+0	1,29469E-10
7,10277E+0	1,38860E-10
7,11376E+0	1,54831E-10
7,12476E+0	1,37810E-10
7,13575E+0	1,32642E-10
7,14675E+0	1,27382E-10
7,15774E+0	1,41817E-10
7,16874E+0	1,45444E-10
7,17973E+0	1,52385E-10
7,19073E+0	1,51194E-10
7,20172E+0	1,51477E-10
7,21272E+0	1,65560E-10
7,22371E+0	1,38920E-10
7,23471E+0	1,36066E-10
7,24570E+0	1,53009E-10
7,25670E+0	1,54946E-10
7,26769E+0	1,56243E-10
7,27869E+0	1,70682E-10
7,28968E+0	1,44563E-10
7,30068E+0	1,43642E-10
7,31168E+0	1,43330E-10
7,32267E+0	1,52546E-10
7,33366E+0	1,31114E-10
7,34466E+0	1,45551E-10
7,35565E+0	1,46291E-10
7,36665E+0	1,40202E-10
7,37764E+0	1,70852E-10
7,38864E+0	1,68484E-10
7,39963E+0	1,77234E-10
7,41063E+0	1,70951E-10
7,42162E+0	1,57441E-10
7,43262E+0	1,86383E-10
7,44361E+0	1,95548E-10
7,45461E+0	1,82334E-10
7,46560E+0	1,88003E-10
7,47660E+0	1,82560E-10
7,48759E+0	1,71158E-10
7,49859E+0	1,89256E-10
7,50958E+0	2,31370E-10
7,52058E+0	2,01820E-10
7,53157E+0	1,84091E-10
7,54257E+0	1,78803E-10
7,55356E+0	1,93812E-10
7,56456E+0	1,84621E-10
7,57555E+0	1,81436E-10
7,58655E+0	2,27380E-10
7,59754E+0	2,41070E-10
7,60854E+0	1,76835E-10
7,61953E+0	1,90754E-10
7,63053E+0	2,09292E-10
7,64152E+0	1,91785E-10
7,65252E+0	2,06093E-10
7,66351E+0	1,74480E-10
7,67451E+0	2,05071E-10
7,68551E+0	1,96340E-10
7,69650E+0	1,97335E-10
7,70749E+0	1,87158E-10
7,71849E+0	1,73909E-10
7,72948E+0	1,89543E-10
7,74048E+0	1,82529E-10
7,75147E+0	1,97132E-10
7,76247E+0	1,94911E-10
7,77346E+0	1,75392E-10
7,78446E+0	1,92500E-10
7,79545E+0	2,18330E-10
7,80645E+0	2,34050E-10
7,81745E+0	1,99401E-10
7,82844E+0	1,93682E-10
7,83943E+0	1,93527E-10
7,85043E+0	1,76861E-10
7,86142E+0	1,93269E-10
7,87242E+0	2,08934E-10
7,88341E+0	1,88576E-10
7,89441E+0	1,91955E-10
7,90541E+0	1,93073E-10
7,91640E+0	2,37750E-10
7,92739E+0	2,01328E-10
7,93839E+0	2,06714E-10
7,94938E+0	1,92820E-10
7,96038E+0	1,80720E-10
7,97137E+0	2,01562E-10
7,98237E+0	2,05418E-10
7,99336E+0	2,14520E-10
8,00436E+0	2,78190E-10
8,01535E+0	1,99876E-10
8,02635E+0	2,07636E-10
8,03734E+0	2,56930E-10
8,04834E+0	1,98638E-10
8,05933E+0	1,92968E-10
8,07033E+0	1,84978E-10
8,08132E+0	2,02176E-10
8,09232E+0	1,85227E-10
8,10332E+0	1,72923E-10
8,11431E+0	2,20320E-10
8,12530E+0	2,63750E-10
8,13630E+0	2,07830E-10
