E, keV	I, A
0,00000E+0	1,08420E-11
1,09950E-2	9,83700E-12
2,19900E-2	8,97330E-12
3,29850E-2	5,01040E-12
4,39800E-2	3,33090E-12
5,49750E-2	5,98880E-12
6,59700E-2	4,88720E-12
7,69650E-2	5,49690E-12
8,79600E-2	5,54170E-12
9,89550E-2	2,79490E-12
1,09950E-1	5,17080E-12
1,20945E-1	5,44530E-12
1,31940E-1	2,82220E-12
1,42935E-1	4,25530E-12
1,53930E-1	4,09140E-12
1,64925E-1	3,33190E-12
1,75920E-1	2,09360E-12
1,86915E-1	4,01120E-12
1,97910E-1	4,07090E-12
2,08905E-1	5,52570E-12
2,19900E-1	3,62950E-12
2,30895E-1	7,63030E-12
2,41890E-1	4,78230E-12
2,52885E-1	3,50900E-12
2,63880E-1	6,75860E-12
2,74875E-1	4,47930E-12
2,85870E-1	4,18280E-12
2,96865E-1	4,75260E-12
3,07860E-1	3,83680E-12
3,18855E-1	6,59890E-12
3,29850E-1	2,91740E-12
3,40845E-1	3,05910E-12
3,51840E-1	1,55010E-12
3,62835E-1	6,40330E-12
3,73830E-1	4,12930E-12
3,84825E-1	4,06180E-12
3,95820E-1	4,67230E-12
4,06815E-1	3,76110E-12
4,17810E-1	5,20290E-12
4,28805E-1	5,02720E-12
4,39800E-1	3,73760E-12
4,50795E-1	6,62990E-12
4,61790E-1	3,79820E-12
4,72785E-1	4,47490E-12
4,83780E-1	4,17840E-12
4,94775E-1	4,76530E-12
5,05770E-1	3,15120E-12
5,16765E-1	4,82890E-12
5,27760E-1	5,62760E-12
5,38755E-1	3,03040E-12
5,49750E-1	1,12570E-12
5,60745E-1	3,55240E-12
5,71740E-1	4,26940E-12
5,82735E-1	3,44850E-12
5,93730E-1	3,58320E-12
6,04725E-1	2,81720E-12
6,15720E-1	5,40660E-12
6,26715E-1	5,14660E-12
6,37710E-1	3,41570E-12
6,48705E-1	3,64740E-12
6,59700E-1	2,26610E-12
6,70695E-1	4,05050E-12
6,81690E-1	1,66060E-12
6,92685E-1	5,62400E-12
7,03680E-1	3,86960E-12
7,14675E-1	5,03400E-12
7,25670E-1	5,49090E-12
7,36665E-1	3,76360E-12
7,47660E-1	8,06650E-12
7,58655E-1	7,07820E-12
7,69650E-1	4,84560E-12
7,80645E-1	4,89340E-12
7,91640E-1	4,96160E-12
8,02635E-1	6,88670E-12
8,13630E-1	7,04760E-12
8,24625E-1	4,08750E-12
8,35620E-1	5,17800E-12
8,46615E-1	4,19030E-12
8,57610E-1	4,44970E-12
8,68605E-1	8,41500E-12
8,79600E-1	7,97580E-12
8,90595E-1	5,84190E-12
9,01590E-1	2,93260E-12
9,12585E-1	4,72210E-12
9,23580E-1	5,06470E-12
9,34575E-1	8,44230E-12
9,45570E-1	5,04740E-12
9,56565E-1	4,78880E-12
9,67560E-1	5,99290E-12
9,78555E-1	6,81160E-12
9,89550E-1	5,00640E-12
1,00055E+0	9,68980E-12
1,01154E+0	4,78150E-12
1,02253E+0	6,35020E-12
1,03353E+0	4,21940E-12
1,04452E+0	2,53770E-12
1,05552E+0	5,92720E-12
1,06651E+0	4,66040E-12
1,07751E+0	6,34500E-12
1,08850E+0	4,16950E-12
1,09950E+0	5,86710E-12
1,11050E+0	3,86960E-12
1,12149E+0	9,86690E-12
1,13248E+0	7,14670E-12
1,14348E+0	3,50500E-12
1,15447E+0	8,97120E-12
1,16547E+0	7,97650E-12
1,17647E+0	9,35990E-12
1,18746E+0	9,85360E-12
1,19846E+0	5,58940E-12
1,20945E+0	9,76900E-12
1,22045E+0	9,06150E-12
1,23144E+0	8,42770E-12
1,24243E+0	9,08540E-12
1,25343E+0	6,33830E-12
1,26442E+0	5,80210E-12
1,27542E+0	5,29660E-12
1,28641E+0	8,03000E-12
1,29741E+0	5,03220E-12
1,30840E+0	8,35160E-12
1,31940E+0	5,47740E-12
1,33039E+0	5,09000E-12
1,34139E+0	4,81940E-12
1,35238E+0	9,42710E-12
1,36338E+0	9,23680E-12
1,37437E+0	6,96040E-12
1,38537E+0	6,04890E-12
1,39636E+0	5,83600E-12
1,40736E+0	8,53740E-12
1,41836E+0	6,82200E-12
1,42935E+0	5,41040E-12
1,44034E+0	9,10660E-12
1,45134E+0	5,09170E-12
1,46233E+0	5,07340E-12
1,47333E+0	6,92050E-12
1,48432E+0	5,30410E-12
1,49532E+0	1,01130E-11
1,50632E+0	1,03245E-11
1,51731E+0	6,46290E-12
1,52830E+0	1,03459E-11
1,53930E+0	1,29978E-11
1,55029E+0	7,23180E-12
1,56129E+0	1,05043E-11
1,57228E+0	5,95450E-12
1,58328E+0	6,78730E-12
1,59427E+0	4,94790E-12
1,60527E+0	7,90990E-12
1,61626E+0	3,60530E-12
1,62726E+0	1,03663E-11
1,63825E+0	7,52760E-12
1,64925E+0	1,16380E-11
1,66024E+0	7,57380E-12
1,67124E+0	1,42402E-11
1,68223E+0	7,02600E-12
1,69323E+0	1,27283E-11
1,70422E+0	8,52720E-12
1,71522E+0	9,35690E-12
1,72622E+0	7,11300E-12
1,73721E+0	6,58400E-12
1,74821E+0	9,96650E-12
1,75920E+0	1,79084E-11
1,77019E+0	1,20161E-11
1,78119E+0	1,27630E-11
1,79218E+0	1,42399E-11
1,80318E+0	2,02396E-11
1,81417E+0	1,11840E-11
1,82517E+0	1,73289E-11
1,83616E+0	1,05213E-11
1,84716E+0	8,11770E-12
1,85815E+0	1,89142E-11
1,86915E+0	1,19431E-11
1,88014E+0	1,43921E-11
1,89114E+0	1,23574E-11
1,90213E+0	2,25460E-11
1,91313E+0	2,59360E-11
1,92412E+0	3,02430E-11
1,93512E+0	2,98260E-11
1,94611E+0	3,70290E-11
1,95711E+0	3,21600E-11
1,96810E+0	3,55250E-11
1,97910E+0	3,78660E-11
1,99009E+0	2,73600E-11
2,00109E+0	2,82190E-11
2,01208E+0	3,12850E-11
2,02308E+0	2,04920E-11
2,03408E+0	2,36650E-11
2,04507E+0	2,64960E-11
2,05606E+0	1,91795E-11
2,06706E+0	1,50930E-11
2,07805E+0	1,75550E-11
2,08905E+0	1,96941E-11
2,10004E+0	1,01227E-11
2,11104E+0	1,18144E-11
2,12203E+0	1,60360E-11
2,13303E+0	2,24830E-11
2,14402E+0	1,60785E-11
2,15502E+0	9,54880E-12
2,16601E+0	1,02245E-11
2,17701E+0	7,64420E-12
2,18800E+0	1,62201E-11
2,19900E+0	1,76117E-11
2,20999E+0	1,76305E-11
2,22099E+0	1,37392E-11
2,23198E+0	1,25601E-11
2,24298E+0	1,25280E-11
2,25397E+0	1,35123E-11
2,26497E+0	1,34701E-11
2,27596E+0	1,56826E-11
2,28696E+0	1,48028E-11
2,29795E+0	1,26686E-11
2,30895E+0	7,36950E-12
2,31994E+0	1,55816E-11
2,33094E+0	1,10384E-11
2,34193E+0	1,50715E-11
2,35293E+0	6,34960E-12
2,36392E+0	1,57904E-11
2,37492E+0	1,25352E-11
2,38591E+0	1,53847E-11
2,39691E+0	1,03828E-11
2,40790E+0	6,79580E-12
2,41890E+0	1,06678E-11
2,42989E+0	1,11188E-11
2,44089E+0	1,08127E-11
2,45188E+0	1,18715E-11
2,46288E+0	7,93440E-12
2,47387E+0	8,97560E-12
2,48487E+0	8,99170E-12
2,49586E+0	1,01866E-11
2,50686E+0	1,23337E-11
2,51785E+0	8,13400E-12
2,52885E+0	1,07384E-11
2,53984E+0	6,76340E-12
2,55084E+0	9,34100E-12
2,56183E+0	8,17310E-12
2,57283E+0	1,00242E-11
2,58383E+0	1,08765E-11
2,59482E+0	9,65860E-12
2,60581E+0	1,52204E-11
2,61681E+0	9,82190E-12
2,62780E+0	1,13292E-11
2,63880E+0	7,14370E-12
2,64980E+0	8,14750E-12
2,66079E+0	6,55450E-12
2,67178E+0	1,20121E-11
2,68278E+0	6,77820E-12
2,69378E+0	1,22179E-11
2,70477E+0	1,00265E-11
2,71577E+0	1,10743E-11
2,72676E+0	7,60090E-12
2,73775E+0	1,21411E-11
2,74875E+0	7,69930E-12
2,75974E+0	7,51440E-12
2,77074E+0	4,65540E-12
2,78173E+0	6,20340E-12
2,79273E+0	9,40480E-12
2,80372E+0	1,17859E-11
2,81472E+0	7,93690E-12
2,82571E+0	5,50960E-12
2,83671E+0	7,18430E-12
2,84770E+0	1,01391E-11
2,85870E+0	1,09356E-11
2,86969E+0	1,30451E-11
2,88069E+0	9,37280E-12
2,89168E+0	9,80120E-12
2,90268E+0	9,10250E-12
2,91367E+0	7,20780E-12
2,92467E+0	1,05450E-11
2,93566E+0	1,22921E-11
2,94666E+0	9,79920E-12
2,95765E+0	1,43199E-11
2,96865E+0	9,12020E-12
2,97964E+0	4,12870E-12
2,99064E+0	6,03350E-12
3,00163E+0	1,10590E-11
3,01263E+0	1,40533E-11
3,02363E+0	9,37670E-12
3,03462E+0	1,40200E-11
3,04561E+0	1,22625E-11
3,05661E+0	1,01444E-11
3,06760E+0	1,28173E-11
3,07860E+0	1,01841E-11
3,08959E+0	1,02386E-11
3,10059E+0	8,31140E-12
3,11158E+0	5,73160E-12
3,12258E+0	5,73370E-12
3,13357E+0	1,16170E-11
3,14457E+0	1,32103E-11
3,15556E+0	1,39402E-11
3,16656E+0	1,52368E-11
3,17755E+0	1,44338E-11
3,18855E+0	1,66366E-11
3,19955E+0	1,16401E-11
3,21054E+0	1,15917E-11
3,22153E+0	1,40595E-11
3,23253E+0	1,20446E-11
3,24352E+0	1,81909E-11
3,25452E+0	1,40100E-11
3,26552E+0	1,62454E-11
3,27651E+0	2,05814E-11
3,28750E+0	1,65814E-11
3,29850E+0	1,68761E-11
3,30949E+0	8,27870E-12
3,32049E+0	9,40100E-12
3,33148E+0	1,17963E-11
3,34248E+0	1,60162E-11
3,35347E+0	1,24231E-11
3,36447E+0	1,17086E-11
3,37546E+0	1,43228E-11
3,38646E+0	1,20033E-11
3,39745E+0	1,18644E-11
3,40845E+0	1,06785E-11
3,41944E+0	1,05094E-11
3,43044E+0	2,04273E-11
3,44143E+0	1,63650E-11
3,45243E+0	1,50728E-11
3,46342E+0	1,86620E-11
3,47442E+0	2,59270E-11
3,48541E+0	2,00030E-11
3,49641E+0	2,47620E-11
3,50740E+0	2,35290E-11
3,51840E+0	2,24520E-11
3,52939E+0	1,69042E-11
3,54039E+0	2,00160E-11
3,55138E+0	2,08710E-11
3,56238E+0	1,92305E-11
3,57337E+0	1,50048E-11
3,58437E+0	2,00151E-11
3,59536E+0	2,39830E-11
3,60636E+0	1,98380E-11
3,61735E+0	2,25310E-11
3,62835E+0	2,55160E-11
3,63934E+0	3,71870E-11
3,65034E+0	2,82220E-11
3,66133E+0	2,45440E-11
3,67233E+0	2,66120E-11
3,68332E+0	2,22920E-11
3,69432E+0	2,23230E-11
3,70531E+0	2,23420E-11
3,71631E+0	2,16020E-11
3,72730E+0	3,14590E-11
3,73830E+0	2,04720E-11
3,74930E+0	2,32800E-11
3,76029E+0	2,01130E-11
3,77128E+0	2,55120E-11
3,78228E+0	1,65020E-11
3,79327E+0	2,49420E-11
3,80427E+0	2,90190E-11
3,81527E+0	2,20800E-11
3,82626E+0	2,33060E-11
3,83725E+0	2,31860E-11
3,84825E+0	2,11850E-11
3,85924E+0	2,21720E-11
3,87024E+0	2,45010E-11
3,88123E+0	2,57340E-11
3,89223E+0	2,18280E-11
3,90322E+0	2,09190E-11
3,91422E+0	2,33490E-11
3,92521E+0	2,07940E-11
3,93621E+0	2,23890E-11
3,94720E+0	2,54400E-11
3,95820E+0	1,88370E-11
3,96919E+0	2,59880E-11
3,98019E+0	2,94060E-11
3,99118E+0	1,94429E-11
4,00218E+0	2,10990E-11
4,01317E+0	2,44350E-11
4,02417E+0	1,78446E-11
4,03516E+0	2,03992E-11
4,04616E+0	1,79702E-11
4,05715E+0	1,82148E-11
4,06815E+0	1,43788E-11
4,07914E+0	1,85371E-11
4,09014E+0	1,85556E-11
4,10113E+0	1,57860E-11
4,11213E+0	1,89360E-11
4,12312E+0	1,49821E-11
4,13412E+0	2,18130E-11
4,14511E+0	2,15590E-11
4,15611E+0	2,56720E-11
4,16710E+0	1,49412E-11
4,17810E+0	1,45765E-11
4,18910E+0	2,15760E-11
4,20009E+0	2,98190E-11
4,21108E+0	2,15670E-11
4,22208E+0	3,30450E-11
4,23307E+0	3,07990E-11
4,24407E+0	2,25360E-11
4,25507E+0	2,84860E-11
4,26606E+0	2,27240E-11
4,27705E+0	2,39820E-11
4,28805E+0	2,21310E-11
4,29904E+0	1,11330E-11
4,31004E+0	3,07860E-11
4,32104E+0	2,60980E-11
4,33203E+0	2,45300E-11
4,34302E+0	2,07050E-11
4,35402E+0	1,83088E-11
4,36501E+0	2,32190E-11
4,37601E+0	2,59190E-11
4,38701E+0	2,85410E-11
4,39800E+0	3,17870E-11
4,40899E+0	3,04970E-11
4,41999E+0	2,26810E-11
4,43098E+0	2,32830E-11
4,44198E+0	2,72780E-11
4,45297E+0	3,09300E-11
4,46397E+0	2,03560E-11
4,47497E+0	3,45130E-11
4,48596E+0	2,34890E-11
4,49695E+0	2,51270E-11
4,50795E+0	3,50690E-11
4,51895E+0	2,93070E-11
4,52994E+0	1,67056E-11
4,54093E+0	2,28230E-11
4,55193E+0	2,91550E-11
4,56292E+0	2,25650E-11
4,57392E+0	2,39320E-11
4,58491E+0	3,34830E-11
4,59591E+0	3,96010E-11
4,60691E+0	2,88200E-11
4,61790E+0	3,96690E-11
4,62889E+0	3,48050E-11
4,63989E+0	3,67710E-11
4,65088E+0	2,77310E-11
4,66188E+0	2,55750E-11
4,67287E+0	3,38210E-11
4,68387E+0	2,54040E-11
4,69486E+0	3,08340E-11
4,70586E+0	4,24170E-11
4,71685E+0	3,41000E-11
4,72785E+0	2,89740E-11
4,73884E+0	3,79190E-11
4,74984E+0	4,72760E-11
4,76084E+0	4,15890E-11
4,77183E+0	4,51770E-11
4,78282E+0	3,31780E-11
4,79382E+0	4,17270E-11
4,80481E+0	4,63010E-11
4,81581E+0	4,74380E-11
4,82680E+0	2,18650E-11
4,83780E+0	3,15360E-11
4,84879E+0	3,59260E-11
4,85979E+0	3,49190E-11
4,87078E+0	4,07100E-11
4,88178E+0	2,76850E-11
4,89277E+0	2,88570E-11
4,90377E+0	4,86240E-11
4,91476E+0	4,51400E-11
4,92576E+0	3,78220E-11
4,93675E+0	4,17060E-11
4,94775E+0	3,78620E-11
4,95874E+0	4,45970E-11
4,96974E+0	5,57630E-11
4,98074E+0	3,75080E-11
4,99173E+0	2,58040E-11
5,00272E+0	4,65530E-11
5,01372E+0	4,80630E-11
5,02471E+0	4,49890E-11
5,03571E+0	4,09300E-11
5,04670E+0	4,37280E-11
5,05770E+0	4,28810E-11
5,06869E+0	4,28050E-11
5,07969E+0	4,34790E-11
5,09068E+0	3,73570E-11
5,10168E+0	3,94460E-11
5,11268E+0	5,11390E-11
5,12367E+0	3,25200E-11
5,13466E+0	3,03990E-11
5,14566E+0	4,11330E-11
5,15665E+0	3,03820E-11
5,16765E+0	4,69940E-11
5,17864E+0	6,58770E-11
5,18964E+0	5,46630E-11
5,20064E+0	4,85240E-11
5,21163E+0	5,32920E-11
5,22262E+0	4,99200E-11
5,23362E+0	3,76140E-11
5,24461E+0	4,67640E-11
5,25561E+0	4,69160E-11
5,26660E+0	4,22710E-11
5,27760E+0	4,68700E-11
5,28859E+0	3,86520E-11
5,29959E+0	3,73810E-11
5,31058E+0	3,79580E-11
5,32158E+0	5,90180E-11
5,33257E+0	3,50820E-11
5,34357E+0	5,01400E-11
5,35457E+0	4,18830E-11
5,36556E+0	3,94960E-11
5,37655E+0	3,82930E-11
5,38755E+0	3,54440E-11
5,39854E+0	5,22420E-11
5,40954E+0	5,05770E-11
5,42053E+0	4,41920E-11
5,43153E+0	3,37050E-11
5,44252E+0	3,46880E-11
5,45352E+0	4,23910E-11
5,46451E+0	2,84280E-11
5,47551E+0	5,24860E-11
5,48651E+0	4,56630E-11
5,49750E+0	5,26080E-11
5,50849E+0	5,90970E-11
5,51949E+0	5,16370E-11
5,53048E+0	5,28260E-11
5,54148E+0	4,70720E-11
5,55247E+0	5,08910E-11
5,56347E+0	2,70130E-11
5,57447E+0	3,17260E-11
5,58546E+0	5,68550E-11
5,59645E+0	4,57200E-11
5,60745E+0	5,89670E-11
5,61845E+0	6,12100E-11
5,62944E+0	4,29260E-11
5,64043E+0	4,48200E-11
5,65143E+0	4,62930E-11
5,66242E+0	5,97870E-11
5,67342E+0	5,19250E-11
5,68441E+0	5,23530E-11
5,69541E+0	5,06740E-11
