E, keV	I, A
6,00327E+0	8,34970E-11
6,01426E+0	6,64580E-11
6,02526E+0	5,90920E-11
6,03625E+0	7,24890E-11
6,04725E+0	8,06790E-11
6,05824E+0	8,61870E-11
6,06924E+0	7,35400E-11
6,08024E+0	7,83700E-11
6,09123E+0	8,55880E-11
6,10222E+0	8,92400E-11
6,11322E+0	8,21350E-11
6,12421E+0	8,51790E-11
6,13521E+0	9,30320E-11
6,14620E+0	7,06640E-11
6,15720E+0	8,31050E-11
6,16819E+0	8,71610E-11
6,17919E+0	8,84490E-11
6,19018E+0	9,73780E-11
6,20118E+0	8,45060E-11
6,21218E+0	8,72920E-11
6,22317E+0	7,27240E-11
6,23416E+0	8,24380E-11
6,24516E+0	8,92680E-11
6,25615E+0	9,56140E-11
6,26715E+0	9,15660E-11
6,27814E+0	8,05580E-11
6,28914E+0	8,21770E-11
6,30014E+0	7,50380E-11
6,31113E+0	8,13490E-11
6,32212E+0	6,88510E-11
6,33312E+0	7,56220E-11
6,34411E+0	7,36480E-11
6,35511E+0	7,09980E-11
6,36610E+0	7,92930E-11
6,37710E+0	1,03134E-10
6,38809E+0	9,94440E-11
6,39909E+0	7,91420E-11
6,41008E+0	9,26300E-11
6,42108E+0	7,51030E-11
6,43207E+0	7,21420E-11
6,44307E+0	7,93960E-11
6,45406E+0	8,71180E-11
6,46506E+0	9,61590E-11
6,47605E+0	8,40220E-11
6,48705E+0	8,48860E-11
6,49804E+0	7,21360E-11
6,50904E+0	8,15420E-11
6,52003E+0	7,70190E-11
6,53103E+0	9,12940E-11
6,54202E+0	8,08800E-11
6,55302E+0	9,24070E-11
6,56401E+0	8,94640E-11
6,57501E+0	1,05153E-10
6,58601E+0	1,00579E-10
6,59700E+0	8,92530E-11
6,60799E+0	9,74570E-11
6,61899E+0	7,92250E-11
6,62998E+0	1,11393E-10
6,64098E+0	7,74410E-11
6,65197E+0	9,84990E-11
6,66297E+0	1,01494E-10
6,67396E+0	9,19000E-11
6,68496E+0	9,85280E-11
6,69595E+0	1,13845E-10
6,70695E+0	1,14250E-10
6,71795E+0	1,15771E-10
6,72894E+0	1,33733E-10
6,73993E+0	1,36967E-10
6,75093E+0	1,21914E-10
6,76192E+0	1,37711E-10
6,77292E+0	1,39203E-10
6,78391E+0	1,36819E-10
6,79491E+0	1,33638E-10
6,80591E+0	1,14993E-10
6,81690E+0	1,56067E-10
6,82789E+0	1,52678E-10
6,83889E+0	1,48264E-10
6,84988E+0	1,46505E-10
6,86088E+0	1,35756E-10
6,87187E+0	1,81244E-10
6,88287E+0	1,62268E-10
6,89386E+0	1,43163E-10
6,90486E+0	1,58118E-10
6,91585E+0	1,33305E-10
6,92685E+0	1,36647E-10
6,93784E+0	1,52020E-10
6,94884E+0	1,51183E-10
6,95983E+0	1,46496E-10
