E, keV	I, A
6,00327E+0	1,66171E-10
6,01426E+0	1,59829E-10
6,02526E+0	1,74839E-10
6,03625E+0	1,68046E-10
6,04725E+0	1,78813E-10
6,05824E+0	2,58820E-10
6,06924E+0	1,73522E-10
6,08024E+0	1,97147E-10
6,09123E+0	1,82973E-10
6,10222E+0	1,92537E-10
6,11322E+0	1,98064E-10
6,12421E+0	1,92758E-10
6,13521E+0	1,76271E-10
6,14620E+0	1,78687E-10
6,15720E+0	1,89103E-10
6,16819E+0	1,98981E-10
6,17919E+0	1,91995E-10
6,19018E+0	1,71314E-10
6,20118E+0	1,80466E-10
6,21218E+0	1,79780E-10
6,22317E+0	1,69127E-10
6,23416E+0	1,80713E-10
6,24516E+0	1,92870E-10
6,25615E+0	1,75787E-10
6,26715E+0	1,60534E-10
6,27814E+0	1,71977E-10
6,28914E+0	1,86311E-10
6,30014E+0	1,61470E-10
6,31113E+0	1,56425E-10
6,32212E+0	1,90622E-10
6,33312E+0	1,86989E-10
6,34411E+0	1,78573E-10
6,35511E+0	1,90126E-10
6,36610E+0	2,01351E-10
6,37710E+0	1,77215E-10
6,38809E+0	1,64148E-10
6,39909E+0	1,85509E-10
6,41008E+0	1,78609E-10
6,42108E+0	1,67738E-10
6,43207E+0	1,45427E-10
6,44307E+0	1,66835E-10
6,45406E+0	1,84455E-10
6,46506E+0	1,84790E-10
6,47605E+0	2,39410E-10
6,48705E+0	1,83281E-10
6,49804E+0	1,77829E-10
6,50904E+0	1,93255E-10
6,52003E+0	9,55500E-11
6,53103E+0	2,03770E-10
6,54202E+0	1,74502E-10
6,55302E+0	1,94698E-10
6,56401E+0	2,00717E-10
6,57501E+0	2,26960E-10
6,58601E+0	2,00140E-10
6,59700E+0	1,95281E-10
6,60799E+0	1,68930E-10
6,61899E+0	1,73529E-10
6,62998E+0	1,89635E-10
6,64098E+0	1,91147E-10
6,65197E+0	1,77476E-10
6,66297E+0	2,09069E-10
6,67396E+0	2,04067E-10
6,68496E+0	1,35430E-10
6,69595E+0	3,37070E-10
6,70695E+0	2,31890E-10
6,71795E+0	3,02350E-10
6,72894E+0	2,53800E-10
6,73993E+0	2,24450E-10
6,75093E+0	2,92150E-10
6,76192E+0	2,54460E-10
6,77292E+0	2,83300E-10
6,78391E+0	2,51060E-10
6,79491E+0	2,14450E-10
6,80591E+0	2,75210E-10
6,81690E+0	2,26570E-10
6,82789E+0	2,82460E-10
6,83889E+0	2,69450E-10
6,84988E+0	1,96524E-10
6,86088E+0	2,26710E-10
6,87187E+0	2,45630E-10
6,88287E+0	1,97640E-10
6,89386E+0	2,12730E-10
6,90486E+0	1,90479E-10
6,91585E+0	2,86640E-10
6,92685E+0	2,94580E-10
6,93784E+0	2,39470E-10
6,94884E+0	3,01800E-10
6,95983E+0	2,60740E-10
6,97083E+0	2,49860E-10
6,98182E+0	3,22560E-10
6,99282E+0	3,06630E-10
7,00381E+0	3,83550E-10
7,01481E+0	4,43790E-10
7,02580E+0	4,00740E-10
7,03680E+0	4,57830E-10
7,04779E+0	4,67370E-10
7,05879E+0	3,64500E-10
7,06978E+0	5,39310E-10
7,08078E+0	4,13960E-10
7,09177E+0	4,06320E-10
7,10277E+0	2,39050E-10
7,11376E+0	2,67120E-10
7,12476E+0	2,47730E-10
7,13575E+0	2,03420E-10
7,14675E+0	1,71550E-10
7,15774E+0	1,84616E-10
7,16874E+0	2,00151E-10
7,17973E+0	2,03926E-10
7,19073E+0	2,00177E-10
7,20172E+0	1,79588E-10
7,21272E+0	1,78735E-10
7,22371E+0	1,95013E-10
7,23471E+0	1,80815E-10
7,24570E+0	1,74068E-10
7,25670E+0	1,71797E-10
7,26769E+0	1,78853E-10
7,27869E+0	1,73744E-10
7,28968E+0	1,73168E-10
7,30068E+0	2,09186E-10
7,31168E+0	1,85842E-10
7,32267E+0	1,75992E-10
7,33366E+0	1,56670E-10
7,34466E+0	1,96536E-10
7,35565E+0	1,97892E-10
7,36665E+0	1,81264E-10
7,37764E+0	2,02745E-10
7,38864E+0	1,98933E-10
