E, keV	I, A
6,00327E+0	2,80480E-11
6,01426E+0	4,51060E-11
6,02526E+0	4,75450E-11
6,03625E+0	5,15760E-11
6,04725E+0	3,00760E-11
6,05824E+0	4,96790E-11
6,06924E+0	4,37530E-11
6,08024E+0	4,68140E-11
6,09123E+0	5,79320E-11
6,10222E+0	4,33150E-11
6,11322E+0	5,53070E-11
6,12421E+0	5,88640E-11
6,13521E+0	5,29390E-11
6,14620E+0	5,33340E-11
6,15720E+0	5,20590E-11
6,16819E+0	4,72900E-11
6,17919E+0	4,40150E-11
6,19018E+0	4,88240E-11
6,20118E+0	5,98590E-11
6,21218E+0	7,14260E-11
6,22317E+0	7,06810E-11
6,23416E+0	7,52330E-11
6,24516E+0	6,28570E-11
6,25615E+0	6,65810E-11
6,26715E+0	6,49580E-11
6,27814E+0	5,58720E-11
6,28914E+0	5,90540E-11
6,30014E+0	5,74670E-11
6,31113E+0	6,24980E-11
6,32212E+0	5,36220E-11
6,33312E+0	4,83120E-11
6,34411E+0	6,05510E-11
6,35511E+0	5,66680E-11
6,36610E+0	5,51980E-11
6,37710E+0	6,75980E-11
6,38809E+0	4,66350E-11
6,39909E+0	5,25370E-11
6,41008E+0	6,50500E-11
6,42108E+0	7,60330E-11
6,43207E+0	6,11370E-11
6,44307E+0	6,51200E-11
6,45406E+0	5,54360E-11
6,46506E+0	4,71230E-11
6,47605E+0	6,44450E-11
6,48705E+0	6,42700E-11
6,49804E+0	5,53700E-11
6,50904E+0	7,42520E-11
6,52003E+0	6,54920E-11
6,53103E+0	4,93330E-11
6,54202E+0	7,95540E-11
6,55302E+0	6,82550E-11
6,56401E+0	8,34930E-11
6,57501E+0	9,86900E-11
6,58601E+0	1,18719E-10
6,59700E+0	9,96730E-11
6,60799E+0	1,11395E-10
6,61899E+0	1,22202E-10
6,62998E+0	9,32700E-11
6,64098E+0	8,52800E-11
6,65197E+0	7,98540E-11
6,66297E+0	1,00148E-10
6,67396E+0	8,74390E-11
6,68496E+0	8,12270E-11
6,69595E+0	7,59960E-11
6,70695E+0	8,00630E-11
6,71795E+0	8,05960E-11
6,72894E+0	7,93370E-11
6,73993E+0	7,59120E-11
6,75093E+0	8,50810E-11
6,76192E+0	9,02870E-11
6,77292E+0	6,43530E-11
6,78391E+0	8,17100E-11
6,79491E+0	7,85380E-11
6,80591E+0	8,30780E-11
6,81690E+0	9,60000E-11
6,82789E+0	8,28390E-11
6,83889E+0	7,98890E-11
6,84988E+0	7,19810E-11
6,86088E+0	6,94000E-11
6,87187E+0	7,60030E-11
6,88287E+0	8,42460E-11
6,89386E+0	8,51410E-11
6,90486E+0	1,05898E-10
6,91585E+0	6,75830E-11
6,92685E+0	8,68410E-11
6,93784E+0	8,29740E-11
6,94884E+0	7,21340E-11
6,95983E+0	7,29310E-11
6,97083E+0	9,36160E-11
6,98182E+0	8,05570E-11
6,99282E+0	9,12470E-11
7,00381E+0	9,80550E-11
7,01481E+0	1,09022E-10
7,02580E+0	1,03704E-10
7,03680E+0	1,26981E-10
7,04779E+0	1,12210E-10
7,05879E+0	1,11592E-10
7,06978E+0	1,02232E-10
7,08078E+0	1,02598E-10
7,09177E+0	1,05078E-10
7,10277E+0	1,44647E-10
7,11376E+0	1,07017E-10
7,12476E+0	9,31550E-11
7,13575E+0	1,04853E-10
7,14675E+0	8,73680E-11
7,15774E+0	7,96520E-11
7,16874E+0	9,72670E-11
7,17973E+0	9,26310E-11
7,19073E+0	9,58300E-11
7,20172E+0	1,14335E-10
7,21272E+0	1,07243E-10
7,22371E+0	1,18186E-10
7,23471E+0	1,27930E-10
7,24570E+0	1,12107E-10
7,25670E+0	8,48830E-11
7,26769E+0	1,06788E-10
7,27869E+0	1,03559E-10
7,28968E+0	1,18628E-10
7,30068E+0	1,22335E-10
7,31168E+0	1,25759E-10
7,32267E+0	1,20124E-10
7,33366E+0	1,08169E-10
7,34466E+0	1,31818E-10
7,35565E+0	1,05201E-10
7,36665E+0	9,52920E-11
7,37764E+0	1,12557E-10
7,38864E+0	9,52590E-11
7,39963E+0	9,70000E-11
7,41063E+0	9,03490E-11
7,42162E+0	1,11909E-10
7,43262E+0	9,20300E-11
7,44361E+0	7,56260E-11
7,45461E+0	8,96640E-11
7,46560E+0	9,26130E-11
7,47660E+0	9,69610E-11
7,48759E+0	8,22300E-11
7,49859E+0	9,23590E-11
7,50958E+0	8,52950E-11
7,52058E+0	1,24056E-10
7,53157E+0	1,06956E-10
7,54257E+0	9,04920E-11
7,55356E+0	1,06973E-10
7,56456E+0	8,29260E-11
7,57555E+0	1,21972E-10
7,58655E+0	8,64060E-11
7,59754E+0	1,04588E-10
7,60854E+0	8,06360E-11
7,61953E+0	1,06849E-10
7,63053E+0	1,07077E-10
7,64152E+0	7,88970E-11
7,65252E+0	9,30510E-11
7,66351E+0	8,17370E-11
7,67451E+0	1,05633E-10
7,68551E+0	1,08354E-10
7,69650E+0	1,05846E-10
7,70749E+0	1,17623E-10
7,71849E+0	9,76850E-11
