E, keV	I, A
6,00327E+0	6,67680E-11
6,01426E+0	8,89050E-11
6,02526E+0	8,42610E-11
6,03625E+0	8,80470E-11
6,04725E+0	8,58420E-11
6,05824E+0	1,19319E-10
6,06924E+0	1,03176E-10
6,08024E+0	1,52648E-10
6,09123E+0	9,96570E-11
6,10222E+0	1,18105E-10
6,11322E+0	1,03892E-10
6,12421E+0	1,18984E-10
6,13521E+0	1,20620E-10
6,14620E+0	1,41515E-10
6,15720E+0	1,13903E-10
6,16819E+0	1,03749E-10
6,17919E+0	1,10613E-10
6,19018E+0	1,12023E-10
6,20118E+0	1,20999E-10
6,21218E+0	1,17523E-10
6,22317E+0	1,20604E-10
6,23416E+0	1,12872E-10
6,24516E+0	1,03778E-10
6,25615E+0	1,03877E-10
6,26715E+0	1,22858E-10
6,27814E+0	1,06614E-10
6,28914E+0	1,20589E-10
6,30014E+0	1,19576E-10
6,31113E+0	8,94680E-11
6,32212E+0	1,21497E-10
6,33312E+0	1,15310E-10
6,34411E+0	1,36899E-10
6,35511E+0	1,40247E-10
6,36610E+0	1,30679E-10
6,37710E+0	1,20945E-10
6,38809E+0	1,05008E-10
6,39909E+0	1,36314E-10
6,41008E+0	1,25998E-10
6,42108E+0	1,20158E-10
6,43207E+0	1,44899E-10
6,44307E+0	1,26059E-10
6,45406E+0	1,19204E-10
6,46506E+0	1,57135E-10
6,47605E+0	1,38899E-10
6,48705E+0	1,37518E-10
6,49804E+0	1,38621E-10
6,50904E+0	1,17924E-10
6,52003E+0	1,23540E-10
6,53103E+0	1,09532E-10
6,54202E+0	1,03989E-10
6,55302E+0	1,38641E-10
6,56401E+0	1,25082E-10
6,57501E+0	1,28026E-10
6,58601E+0	1,24268E-10
6,59700E+0	1,22547E-10
6,60799E+0	1,37886E-10
6,61899E+0	1,27208E-10
6,62998E+0	1,02283E-10
6,64098E+0	1,13460E-10
6,65197E+0	1,11815E-10
6,66297E+0	1,11367E-10
6,67396E+0	1,33348E-10
6,68496E+0	1,15850E-10
6,69595E+0	1,13024E-10
6,70695E+0	1,15214E-10
6,71795E+0	1,21354E-10
6,72894E+0	1,06766E-10
6,73993E+0	1,03738E-10
6,75093E+0	1,11089E-10
6,76192E+0	1,08363E-10
6,77292E+0	1,27379E-10
6,78391E+0	1,10447E-10
6,79491E+0	9,36670E-11
6,80591E+0	1,09746E-10
6,81690E+0	1,11922E-10
6,82789E+0	1,19396E-10
6,83889E+0	8,20040E-11
6,84988E+0	1,06403E-10
6,86088E+0	9,45640E-11
6,87187E+0	1,12651E-10
6,88287E+0	9,61360E-11
6,89386E+0	9,28510E-11
6,90486E+0	9,14090E-11
6,91585E+0	1,06461E-10
6,92685E+0	9,18520E-11
6,93784E+0	9,49170E-11
6,94884E+0	8,66600E-11
6,95983E+0	7,46620E-11
6,97083E+0	8,22520E-11
6,98182E+0	9,59820E-11
6,99282E+0	8,61270E-11
7,00381E+0	9,57690E-11
7,01481E+0	8,67090E-11
7,02580E+0	9,55860E-11
7,03680E+0	8,89510E-11
7,04779E+0	7,81910E-11
7,05879E+0	1,04070E-10
7,06978E+0	8,95330E-11
7,08078E+0	7,73540E-11
7,09177E+0	8,91920E-11
7,10277E+0	8,02560E-11
7,11376E+0	9,35750E-11
7,12476E+0	8,00200E-11
7,13575E+0	7,67000E-11
7,14675E+0	8,00700E-11
7,15774E+0	8,67930E-11
7,16874E+0	9,19760E-11
7,17973E+0	8,07360E-11
7,19073E+0	9,86240E-11
7,20172E+0	6,97800E-11
7,21272E+0	7,70130E-11
7,22371E+0	7,82730E-11
7,23471E+0	8,45680E-11
7,24570E+0	9,37180E-11
7,25670E+0	7,94610E-11
7,26769E+0	8,25010E-11
7,27869E+0	9,81400E-11
7,28968E+0	8,28410E-11
7,30068E+0	9,10090E-11
7,31168E+0	8,66270E-11
7,32267E+0	8,91200E-11
7,33366E+0	7,89660E-11
7,34466E+0	6,83520E-11
7,35565E+0	6,90270E-11
7,36665E+0	7,73590E-11
7,37764E+0	6,50910E-11
7,38864E+0	7,49160E-11
7,39963E+0	7,76120E-11
7,41063E+0	5,77960E-11
7,42162E+0	7,29420E-11
7,43262E+0	6,78600E-11
7,44361E+0	5,95400E-11
7,45461E+0	7,57980E-11
7,46560E+0	6,89330E-11
7,47660E+0	6,02430E-11
7,48759E+0	6,60340E-11
7,49859E+0	6,61320E-11
7,50958E+0	6,55300E-11
7,52058E+0	8,01040E-11
7,53157E+0	8,79970E-11
7,54257E+0	7,28870E-11
7,55356E+0	6,44250E-11
7,56456E+0	7,37420E-11
7,57555E+0	6,32600E-11
7,58655E+0	6,99220E-11
7,59754E+0	5,82730E-11
7,60854E+0	5,71400E-11
7,61953E+0	6,05630E-11
7,63053E+0	7,52660E-11
7,64152E+0	8,66200E-11
7,65252E+0	6,81900E-11
7,66351E+0	7,25110E-11
7,67451E+0	6,41260E-11
7,68551E+0	8,10410E-11
7,69650E+0	6,84900E-11
7,70749E+0	5,74870E-11
7,71849E+0	5,76150E-11
7,72948E+0	7,72160E-11
7,74048E+0	7,20220E-11
7,75147E+0	6,87320E-11
7,76247E+0	7,45590E-11
7,77346E+0	7,03840E-11
7,78446E+0	7,09910E-11
7,79545E+0	6,13070E-11
7,80645E+0	6,05380E-11
7,81745E+0	5,10760E-11
7,82844E+0	6,09400E-11
7,83943E+0	6,91830E-11
7,85043E+0	7,70190E-11
7,86142E+0	6,49500E-11
7,87242E+0	6,71710E-11
7,88341E+0	8,70810E-11
7,89441E+0	5,95930E-11
7,90541E+0	7,74320E-11
7,91640E+0	9,87630E-11
7,92739E+0	6,44470E-11
7,93839E+0	7,94950E-11
7,94938E+0	7,44390E-11
7,96038E+0	6,24290E-11
7,97137E+0	7,52870E-11
7,98237E+0	7,86280E-11
7,99336E+0	6,52650E-11
8,00436E+0	7,46680E-11
8,01535E+0	6,46000E-11
8,02635E+0	9,91160E-11
8,03734E+0	7,92580E-11
8,04834E+0	8,60030E-11
8,05933E+0	7,88000E-11
8,07033E+0	6,44480E-11
8,08132E+0	9,45380E-11
8,09232E+0	9,17820E-11
8,10332E+0	7,75830E-11
8,11431E+0	8,90590E-11
8,12530E+0	7,02600E-11
8,13630E+0	5,81110E-11
8,14729E+0	7,37610E-11
8,15829E+0	9,21960E-11
