E, keV	I, A
6,00327E+0	3,57780E-11
6,01426E+0	4,94260E-11
6,02526E+0	3,61110E-11
6,03625E+0	4,93790E-11
6,04725E+0	4,43060E-11
6,05824E+0	4,26830E-11
6,06924E+0	4,88900E-11
6,08024E+0	4,88420E-11
6,09123E+0	3,84150E-11
6,10222E+0	3,88640E-11
6,11322E+0	3,78790E-11
6,12421E+0	4,03760E-11
6,13521E+0	4,10350E-11
6,14620E+0	4,29530E-11
6,15720E+0	6,57200E-11
6,16819E+0	6,80520E-11
6,17919E+0	4,58590E-11
6,19018E+0	4,72770E-11
6,20118E+0	4,91820E-11
6,21218E+0	3,75400E-11
6,22317E+0	4,72260E-11
6,23416E+0	4,19200E-11
6,24516E+0	3,88440E-11
6,25615E+0	5,43190E-11
6,26715E+0	5,29790E-11
6,27814E+0	6,02700E-11
6,28914E+0	4,69720E-11
6,30014E+0	5,07710E-11
6,31113E+0	4,89130E-11
6,32212E+0	5,64390E-11
6,33312E+0	5,45790E-11
6,34411E+0	6,97300E-11
6,35511E+0	4,77670E-11
6,36610E+0	5,49870E-11
6,37710E+0	6,56440E-11
6,38809E+0	4,69800E-11
6,39909E+0	6,39210E-11
6,41008E+0	6,59610E-11
6,42108E+0	5,00730E-11
6,43207E+0	5,50670E-11
6,44307E+0	5,47170E-11
6,45406E+0	6,34940E-11
6,46506E+0	5,74080E-11
6,47605E+0	5,02400E-11
6,48705E+0	5,27150E-11
6,49804E+0	5,49440E-11
6,50904E+0	6,42320E-11
6,52003E+0	6,65890E-11
6,53103E+0	4,10720E-11
6,54202E+0	5,84040E-11
6,55302E+0	4,85060E-11
6,56401E+0	4,01940E-11
6,57501E+0	6,54090E-11
6,58601E+0	6,19620E-11
6,59700E+0	4,97990E-11
6,60799E+0	8,17390E-11
6,61899E+0	7,07590E-11
6,62998E+0	5,32430E-11
6,64098E+0	6,04360E-11
6,65197E+0	5,68630E-11
6,66297E+0	4,69860E-11
6,67396E+0	7,75480E-11
6,68496E+0	5,57080E-11
6,69595E+0	5,42620E-11
6,70695E+0	6,63120E-11
6,71795E+0	5,01310E-11
6,72894E+0	5,14750E-11
6,73993E+0	5,97630E-11
6,75093E+0	5,01440E-11
6,76192E+0	5,05780E-11
6,77292E+0	5,66070E-11
6,78391E+0	5,27860E-11
6,79491E+0	6,50310E-11
6,80591E+0	5,29290E-11
6,81690E+0	4,25520E-11
6,82789E+0	3,47750E-11
6,83889E+0	5,12340E-11
6,84988E+0	4,53440E-11
6,86088E+0	4,46360E-11
6,87187E+0	4,82730E-11
6,88287E+0	4,72910E-11
6,89386E+0	6,09480E-11
6,90486E+0	5,39230E-11
6,91585E+0	4,43180E-11
6,92685E+0	7,56570E-11
6,93784E+0	6,60740E-11
6,94884E+0	7,25070E-11
6,95983E+0	7,88360E-11
6,97083E+0	8,39010E-11
6,98182E+0	8,48420E-11
6,99282E+0	7,05010E-11
7,00381E+0	6,24060E-11
7,01481E+0	6,87900E-11
7,02580E+0	8,45660E-11
7,03680E+0	6,65090E-11
7,04779E+0	6,64220E-11
7,05879E+0	6,63900E-11
7,06978E+0	6,33980E-11
7,08078E+0	5,87610E-11
7,09177E+0	5,49070E-11
7,10277E+0	4,35300E-11
7,11376E+0	4,44100E-11
7,12476E+0	4,92180E-11
7,13575E+0	5,87550E-11
7,14675E+0	5,71590E-11
7,15774E+0	4,88670E-11
7,16874E+0	5,54120E-11
7,17973E+0	6,45200E-11
7,19073E+0	6,40990E-11
7,20172E+0	8,43350E-11
7,21272E+0	6,06080E-11
7,22371E+0	6,87170E-11
7,23471E+0	6,18510E-11
7,24570E+0	6,18810E-11
7,25670E+0	6,14520E-11
7,26769E+0	5,63230E-11
7,27869E+0	6,44680E-11
7,28968E+0	4,77260E-11
7,30068E+0	4,06450E-11
7,31168E+0	4,78440E-11
7,32267E+0	3,66870E-11
7,33366E+0	3,64510E-11
7,34466E+0	4,68430E-11
7,35565E+0	3,78350E-11
7,36665E+0	3,70270E-11
7,37764E+0	2,79020E-11
7,38864E+0	2,55660E-11
7,39963E+0	3,42450E-11
7,41063E+0	2,84530E-11
7,42162E+0	4,66790E-11
7,43262E+0	3,73730E-11
7,44361E+0	5,27510E-11
7,45461E+0	3,99100E-11
7,46560E+0	2,25740E-11
7,47660E+0	3,88250E-11
7,48759E+0	4,34300E-11
7,49859E+0	3,53550E-11
7,50958E+0	4,05050E-11
7,52058E+0	2,91640E-11
7,53157E+0	3,80810E-11
7,54257E+0	3,34180E-11
7,55356E+0	4,81460E-11
7,56456E+0	3,78350E-11
7,57555E+0	4,24950E-11
7,58655E+0	4,07230E-11
7,59754E+0	3,00140E-11
7,60854E+0	5,30630E-11
7,61953E+0	6,09220E-11
7,63053E+0	5,43800E-11
7,64152E+0	4,87420E-11
7,65252E+0	4,07620E-11
7,66351E+0	5,11140E-11
7,67451E+0	3,96690E-11
7,68551E+0	4,10310E-11
7,69650E+0	3,79500E-11
7,70749E+0	4,24820E-11
7,71849E+0	3,60170E-11
7,72948E+0	4,38680E-11
7,74048E+0	3,34670E-11
7,75147E+0	5,55040E-11
7,76247E+0	4,05710E-11
7,77346E+0	3,26970E-11
7,78446E+0	6,16000E-11
7,79545E+0	4,16210E-11
7,80645E+0	6,08270E-11
7,81745E+0	4,86900E-11
7,82844E+0	4,95580E-11
7,83943E+0	4,41330E-11
7,85043E+0	5,15050E-11
7,86142E+0	3,89470E-11
7,87242E+0	4,89050E-11
7,88341E+0	5,26210E-11
7,89441E+0	3,97690E-11
7,90541E+0	3,62060E-11
7,91640E+0	5,11900E-11
7,92739E+0	5,30000E-11
7,93839E+0	4,16630E-11
7,94938E+0	3,34640E-11
7,96038E+0	4,51590E-11
7,97137E+0	4,84430E-11
7,98237E+0	4,38320E-11
7,99336E+0	3,95050E-11
8,00436E+0	5,54990E-11
8,01535E+0	5,76650E-11
8,02635E+0	5,72370E-11
8,03734E+0	6,16950E-11
8,04834E+0	4,47020E-11
8,05933E+0	5,65870E-11
8,07033E+0	5,18650E-11
8,08132E+0	4,89820E-11
8,09232E+0	5,14040E-11
8,10332E+0	5,07100E-11
8,11431E+0	4,80410E-11
8,12530E+0	5,71040E-11
8,13630E+0	6,60540E-11
8,14729E+0	3,93820E-11
8,15829E+0	4,77310E-11
8,16928E+0	4,48090E-11
8,18028E+0	5,05250E-11
8,19127E+0	5,83940E-11
8,20227E+0	5,46010E-11
8,21326E+0	4,60050E-11
8,22426E+0	5,23550E-11
8,23526E+0	4,68990E-11
8,24625E+0	5,24960E-11
8,25724E+0	7,34980E-11
8,26824E+0	5,78750E-11
8,27923E+0	6,69850E-11
8,29023E+0	6,64050E-11
8,30122E+0	6,68730E-11
8,31222E+0	5,84670E-11
8,32321E+0	6,39740E-11
8,33421E+0	6,90220E-11
8,34520E+0	5,85170E-11
8,35620E+0	6,45320E-11
8,36720E+0	6,15350E-11
8,37819E+0	6,76840E-11
8,38918E+0	6,43520E-11
8,40018E+0	7,06670E-11
8,41118E+0	8,56700E-11
8,42217E+0	6,59990E-11
8,43316E+0	6,60940E-11
8,44416E+0	6,15320E-11
8,45515E+0	7,09230E-11
8,46615E+0	7,45230E-11
8,47715E+0	5,88040E-11
8,48814E+0	5,71450E-11
8,49913E+0	6,55530E-11
8,51013E+0	7,00350E-11
8,52112E+0	7,39770E-11
8,53212E+0	7,31300E-11
8,54311E+0	6,83220E-11
8,55411E+0	6,39930E-11
8,56510E+0	6,79320E-11
8,57610E+0	7,01070E-11
8,58709E+0	9,02950E-11
8,59809E+0	8,55080E-11
8,60909E+0	7,05820E-11
8,62008E+0	7,64880E-11
8,63107E+0	7,43970E-11
8,64207E+0	7,13020E-11
8,65306E+0	5,98030E-11
8,66406E+0	7,85760E-11
8,67505E+0	8,74240E-11
8,68605E+0	7,89230E-11
8,69704E+0	7,10980E-11
8,70804E+0	7,85210E-11
8,71903E+0	1,10083E-10
8,73003E+0	1,04271E-10
8,74102E+0	8,49780E-11
8,75202E+0	1,04538E-10
8,76301E+0	1,03398E-10
8,77401E+0	1,08343E-10
8,78500E+0	9,80680E-11
8,79600E+0	1,38993E-10
8,80699E+0	1,29330E-10
8,81799E+0	1,11935E-10
8,82898E+0	1,43349E-10
8,83998E+0	1,41035E-10
8,85098E+0	1,30648E-10
8,86197E+0	1,42841E-10
8,87296E+0	1,47539E-10
8,88396E+0	1,39115E-10
8,89495E+0	1,54009E-10
8,90595E+0	1,91550E-10
8,91694E+0	1,66527E-10
8,92794E+0	1,48642E-10
8,93894E+0	1,72966E-10
8,94993E+0	1,67316E-10
8,96092E+0	1,93860E-10
8,97192E+0	1,79526E-10
8,98291E+0	1,81002E-10
8,99391E+0	1,98246E-10
9,00490E+0	1,81671E-10
9,01590E+0	1,76367E-10
9,02689E+0	1,79968E-10
9,03789E+0	1,70044E-10
9,04889E+0	1,65573E-10
9,05988E+0	2,20070E-10
9,07087E+0	1,03411E-10
9,08187E+0	1,62963E-10
9,09286E+0	1,55322E-10
9,10386E+0	1,85403E-10
9,11485E+0	1,78132E-10
9,12585E+0	2,01201E-10
9,13684E+0	1,78977E-10
9,14784E+0	1,80768E-10
9,15883E+0	1,63814E-10
9,16983E+0	1,77472E-10
9,18082E+0	1,62105E-10
9,19182E+0	1,79033E-10
9,20281E+0	1,49176E-10
9,21381E+0	1,45378E-10
9,22480E+0	1,43896E-10
9,23580E+0	1,65001E-10
9,24679E+0	1,59157E-10
9,25779E+0	1,62718E-10
9,26878E+0	1,71880E-10
9,27978E+0	1,28052E-10
9,29077E+0	1,61824E-10
9,30177E+0	1,39808E-10
9,31277E+0	1,63613E-10
9,32376E+0	1,48512E-10
9,33475E+0	1,34358E-10
9,34575E+0	1,52794E-10
9,35674E+0	1,33391E-10
9,36774E+0	1,57316E-10
9,37873E+0	1,62410E-10
9,38973E+0	1,46024E-10
9,40072E+0	1,27934E-10
9,41172E+0	1,37758E-10
9,42272E+0	1,26732E-10
9,43371E+0	1,47866E-10
9,44470E+0	1,41498E-10
9,45570E+0	1,18356E-10
9,46669E+0	1,05486E-10
9,47769E+0	1,23064E-10
9,48869E+0	1,45634E-10
9,49968E+0	1,44316E-10
9,51067E+0	1,63533E-10
9,52167E+0	1,33980E-10
9,53266E+0	1,23681E-10
9,54366E+0	1,41989E-10
9,55465E+0	1,42947E-10
9,56565E+0	1,30926E-10
9,57665E+0	1,62382E-10
9,58764E+0	1,36635E-10
9,59863E+0	1,60196E-10
9,60963E+0	1,36332E-10
9,62062E+0	1,39476E-10
9,62210E+0	1,47836E-10
9,63076E+0	1,35763E-10
9,63942E+0	1,34941E-10
9,64808E+0	1,60171E-10
9,65674E+0	1,33909E-10
9,66540E+0	1,31375E-10
9,67406E+0	1,37969E-10
9,68272E+0	1,68638E-10
9,69138E+0	1,43923E-10
9,70004E+0	1,31786E-10
9,70870E+0	1,53848E-10
9,71737E+0	1,61641E-10
