E, keV	I, A
6,00327E+0	4,55990E-11
6,01426E+0	6,51540E-11
6,02526E+0	5,30940E-11
6,03625E+0	7,06450E-11
6,04725E+0	5,97740E-11
6,05824E+0	6,58260E-11
6,06924E+0	6,53570E-11
6,08024E+0	6,92960E-11
6,09123E+0	8,29940E-11
6,10222E+0	6,79730E-11
6,11322E+0	7,20120E-11
6,12421E+0	7,21530E-11
6,13521E+0	6,94890E-11
6,14620E+0	6,22020E-11
6,15720E+0	7,76890E-11
6,16819E+0	7,78030E-11
6,17919E+0	6,29680E-11
6,19018E+0	6,41640E-11
6,20118E+0	6,58250E-11
6,21218E+0	7,18590E-11
6,22317E+0	7,16260E-11
6,23416E+0	7,37500E-11
6,24516E+0	5,93660E-11
6,25615E+0	1,03237E-10
6,26715E+0	7,31810E-11
6,27814E+0	8,24070E-11
6,28914E+0	6,20780E-11
6,30014E+0	8,19110E-11
6,31113E+0	7,51250E-11
6,32212E+0	8,93910E-11
6,33312E+0	8,71320E-11
6,34411E+0	9,26520E-11
6,35511E+0	7,84460E-11
6,36610E+0	7,47850E-11
6,37710E+0	7,79070E-11
6,38809E+0	7,15350E-11
6,39909E+0	7,47990E-11
6,41008E+0	8,44060E-11
6,42108E+0	9,29090E-11
6,43207E+0	9,24320E-11
6,44307E+0	7,77580E-11
6,45406E+0	8,00730E-11
6,46506E+0	8,84740E-11
6,47605E+0	7,94380E-11
6,48705E+0	8,61840E-11
6,49804E+0	7,04890E-11
6,50904E+0	7,39890E-11
6,52003E+0	7,92830E-11
6,53103E+0	6,58320E-11
6,54202E+0	7,83010E-11
6,55302E+0	9,97980E-11
6,56401E+0	9,02000E-11
6,57501E+0	7,92390E-11
6,58601E+0	9,21820E-11
6,59700E+0	8,08430E-11
6,60799E+0	7,74420E-11
6,61899E+0	7,67850E-11
6,62998E+0	7,10650E-11
6,64098E+0	1,01949E-10
6,65197E+0	8,29440E-11
6,66297E+0	9,21940E-11
6,67396E+0	8,01870E-11
6,68496E+0	9,27180E-11
6,69595E+0	8,93590E-11
6,70695E+0	8,59650E-11
6,71795E+0	7,29400E-11
6,72894E+0	8,40390E-11
6,73993E+0	8,43460E-11
6,75093E+0	8,91300E-11
6,76192E+0	9,19830E-11
6,77292E+0	9,56800E-11
6,78391E+0	7,92580E-11
6,79491E+0	8,03050E-11
6,80591E+0	8,19160E-11
6,81690E+0	9,30230E-11
6,82789E+0	6,77880E-11
6,83889E+0	6,99250E-11
6,84988E+0	9,07270E-11
6,86088E+0	7,74320E-11
6,87187E+0	8,06440E-11
6,88287E+0	7,71580E-11
6,89386E+0	9,12770E-11
6,90486E+0	6,97670E-11
6,91585E+0	7,10730E-11
6,92685E+0	8,87630E-11
6,93784E+0	7,66470E-11
6,94884E+0	1,13831E-10
6,95983E+0	9,84130E-11
6,97083E+0	1,03633E-10
6,98182E+0	1,02235E-10
6,99282E+0	1,28177E-10
7,00381E+0	1,32825E-10
7,01481E+0	1,12416E-10
7,02580E+0	1,10984E-10
7,03680E+0	1,52563E-10
7,04779E+0	1,43026E-10
7,05879E+0	1,50052E-10
7,06978E+0	1,12860E-10
7,08078E+0	8,88680E-11
7,09177E+0	7,21620E-11
7,10277E+0	5,39380E-11
7,11376E+0	7,49650E-11
7,12476E+0	6,63580E-11
7,13575E+0	8,60040E-11
7,14675E+0	7,05340E-11
7,15774E+0	5,43910E-11
7,16874E+0	6,71930E-11
7,17973E+0	5,38490E-11
7,19073E+0	7,18080E-11
7,20172E+0	6,37680E-11
7,21272E+0	6,01240E-11
7,22371E+0	5,26740E-11
7,23471E+0	5,55150E-11
7,24570E+0	5,90780E-11
7,25670E+0	6,85780E-11
7,26769E+0	7,34960E-11
7,27869E+0	6,52390E-11
7,28968E+0	4,94210E-11
7,30068E+0	5,06650E-11
7,31168E+0	4,42610E-11
7,32267E+0	4,13570E-11
7,33366E+0	5,26770E-11
7,34466E+0	7,30220E-11
7,35565E+0	7,36840E-11
7,36665E+0	5,32300E-11
7,37764E+0	6,85400E-11
7,38864E+0	5,40690E-11
7,39963E+0	5,97820E-11
7,41063E+0	5,36050E-11
7,42162E+0	5,96830E-11
7,43262E+0	5,32520E-11
7,44361E+0	6,38980E-11
7,45461E+0	5,69940E-11
7,46560E+0	5,64420E-11
7,47660E+0	5,87910E-11
7,48759E+0	7,12940E-11
7,49859E+0	6,25180E-11
7,50958E+0	5,65000E-11
7,52058E+0	4,74230E-11
7,53157E+0	5,58350E-11
7,54257E+0	6,56710E-11
7,55356E+0	6,66670E-11
7,56456E+0	5,55380E-11
7,57555E+0	4,90820E-11
7,58655E+0	4,03960E-11
7,59754E+0	5,67840E-11
7,60854E+0	5,20820E-11
7,61953E+0	4,47830E-11
7,63053E+0	4,27590E-11
7,64152E+0	4,69900E-11
7,65252E+0	5,43050E-11
7,66351E+0	7,76050E-11
7,67451E+0	7,47790E-11
7,68551E+0	7,84530E-11
7,69650E+0	6,80430E-11
7,70749E+0	8,14670E-11
7,71849E+0	6,32990E-11
7,72948E+0	7,58610E-11
7,74048E+0	6,92490E-11
7,75147E+0	6,19200E-11
