E,eV	I,A
0	-1,5234E-12
24,3	-1,161E-13
48,6	2,492E-13
72,9	4,426E-13
97,2	3,976E-13
121,5	4,293E-13
145,8	4,545E-13
170,1	4,151E-13
194,4	4,43E-13
218,7	4,183E-13
243	4,487E-13
267,3	4,423E-13
291,6	4,583E-13
315,9	4,639E-13
340,2	4,244E-13
364,5	4,526E-13
388,8	4,267E-13
413,1	4,817E-13
437,4	4,56E-13
461,7	4,461E-13
486	4,719E-13
510,3	4,426E-13
534,6	4,497E-13
558,9	4,707E-13
583,2	4,532E-13
607,5	4,777E-13
631,8	4,973E-13
656,1	4,63E-13
680,4	4,501E-13
704,7	5,013E-13
729	5,056E-13
753,3	4,829E-13
777,6	5,414E-13
801,9	5,098E-13
826,2	4,668E-13
850,5	4,861E-13
874,8	5,38E-13
899,1	4,898E-13
923,4	5,102E-13
947,7	4,967E-13
972	5,601E-13
996,3	4,978E-13
1020,6	5,002E-13
1044,9	5,463E-13
1069,2	4,997E-13
1093,5	5,013E-13
1117,8	5,134E-13
1142,1	4,954E-13
1166,4	5,45E-13
1190,7	5,073E-13
1215	5,267E-13
1239,3	5,162E-13
1263,6	5,313E-13
1287,9	4,836E-13
1312,2	6,381E-13
1336,5	5,192E-13
1360,8	5,229E-13
1385,1	7,056E-13
1409,4	5,542E-13
1433,7	5,824E-13
1458	5,91E-13
1482,3	6,616E-13
1506,6	5,761E-13
1530,9	7,575E-13
1555,2	5,594E-13
1579,5	6,662E-13
1603,8	6,386E-13
1628,1	7,083E-13
1652,4	5,816E-13
1676,7	5,345E-13
1701	5,594E-13
1725,3	6,922E-13
1749,6	6,615E-13
1773,9	5,828E-13
1798,2	5,843E-13
1822,5	7,236E-13
1846,8	5,773E-13
1871,1	6,294E-13
1895,4	6,049E-13
1919,7	5,957E-13
1944	5,739E-13
1968,3	6,43E-13
1992,6	6,756E-13
2016,9	7,579E-13
2041,2	5,304E-13
2065,5	6,762E-13
2089,8	6,596E-13
2114,1	6,223E-13
2138,4	7,12E-13
2162,7	6,44E-13
2187	6,335E-13
2211,3	5,938E-13
2235,6	6,192E-13
2259,9	6,188E-13
2284,2	7,865E-13
2308,5	6,251E-13
2332,8	7,144E-13
2357,1	6,605E-13
2381,4	7,599E-13
2405,7	7,025E-13
2430	7,083E-13
2454,3	7,02E-13
2478,6	8,03E-13
2502,9	7,208E-13
2527,2	8,233E-13
2551,5	6,758E-13
2575,8	8,073E-13
2600,1	7,885E-13
2624,4	8,098E-13
2648,7	8,658E-13
2673	7,743E-13
2697,3	7,409E-13
2721,6	8,939E-13
2745,9	6,96E-13
2770,2	9,328E-13
2794,5	7,694E-13
2818,8	8,241E-13
2843,1	8,979E-13
2867,4	7,816E-13
2891,7	8,732E-13
2916	7,41E-13
2940,3	8,212E-13
2964,6	8,968E-13
2988,9	9,601E-13
3013,2	9,515E-13
3037,5	8,264E-13
3061,8	7,478E-13
3086,1	9,45E-13
3110,4	8,063E-13
3134,7	1,0237E-12
3159	9,582E-13
3183,3	9,36E-13
3207,6	8,789E-13
3231,9	9,318E-13
3256,2	9,361E-13
3280,5	1,207E-12
3304,8	1,0806E-12
3329,1	9,548E-13
3353,4	1,0766E-12
3377,7	1,1156E-12
3402	9,833E-13
3426,3	9,462E-13
3450,6	9,556E-13
3474,9	9,51E-13
3499,2	9,224E-13
3523,5	1,0982E-12
3547,8	1,2347E-12
3572,1	1,3609E-12
3596,4	1,3387E-12
3620,7	1,2995E-12
3645	1,0454E-12
3669,3	1,3253E-12
3693,6	1,3552E-12
3717,9	1,3604E-12
3742,2	1,2135E-12
3766,5	1,4233E-12
3790,8	1,0701E-12
3815,1	1,2684E-12
3839,4	1,4049E-12
3863,7	1,4557E-12
3888	1,2094E-12
3912,3	1,097E-12
3936,6	1,3191E-12
3960,9	1,2569E-12
3985,2	1,7057E-12
4009,5	1,3358E-12
4033,8	1,2122E-12
4058,1	1,3074E-12
4082,4	1,3374E-12
4106,7	1,5184E-12
4131	1,632E-12
4155,3	1,3036E-12
4179,6	1,2718E-12
4203,9	1,4523E-12
4228,2	1,3697E-12
4252,5	1,5788E-12
4276,8	1,5225E-12
4301,1	1,4514E-12
4325,4	1,4114E-12
4349,7	1,5039E-12
4374	1,3491E-12
4398,3	1,8689E-12
4422,6	1,5121E-12
4446,9	1,4653E-12
4471,2	1,8685E-12
4495,5	1,7471E-12
4519,8	1,8682E-12
4544,1	1,8104E-12
4568,4	1,8813E-12
4592,7	1,8335E-12
4617	2,0579E-12
4641,3	1,9151E-12
4665,6	1,777E-12
4689,9	1,6241E-12
4714,2	1,7497E-12
4738,5	1,8985E-12
4762,8	1,9239E-12
4787,1	2,0704E-12
4811,4	2,1661E-12
4835,7	2,0327E-12
4860	2,0135E-12
4884,3	2,3792E-12
4908,6	2,1965E-12
4932,9	2,2622E-12
4957,2	2,4505E-12
4981,5	2,0305E-12
5005,8	2,4962E-12
5030,1	2,1594E-12
5054,4	2,2352E-12
5078,7	2,368E-12
5103	2,3049E-12
5127,3	2,7253E-12
5151,6	2,4575E-12
5175,9	2,1847E-12
5200,2	2,2771E-12
5224,5	2,4021E-12
5248,8	2,2663E-12
5273,1	2,3659E-12
5297,4	2,2355E-12
5321,7	2,5723E-12
5346	2,5214E-12
5370,3	2,5876E-12
5394,6	2,6906E-12
5418,9	2,5982E-12
5443,2	2,6388E-12
5467,5	2,9306E-12
5491,8	2,2933E-12
5516,1	2,4769E-12
5540,4	3,0554E-12
5564,7	2,8377E-12
5589	2,7519E-12
5613,3	2,8515E-12
5637,6	2,8613E-12
5661,9	2,7564E-12
5686,2	2,8801E-12
5710,5	2,915E-12
5734,8	2,667E-12
5759,1	3,23E-12
5783,4	3,3184E-12
5807,7	3,1598E-12
5832	3,2556E-12
5856,3	3,4298E-12
5880,6	3,3392E-12
5904,9	3,1907E-12
5929,2	3,2994E-12
5953,5	3,4043E-12
5977,8	3,1581E-12
6002,1	2,9531E-12
6026,4	3,1285E-12
6050,7	3,4124E-12
6075	3,1455E-12
6099,3	3,4519E-12
6123,6	3,2713E-12
6147,9	3,7393E-12
6172,2	3,7256E-12
6196,5	3,5938E-12
6220,8	3,6826E-12
6245,1	3,5153E-12
6269,4	3,583E-12
6293,7	4,2098E-12
6318	3,9956E-12
6342,3	3,7028E-12
6366,6	3,7531E-12
6390,9	3,5961E-12
6415,2	3,6324E-12
6439,5	3,7939E-12
6463,8	3,6065E-12
6488,1	3,9024E-12
6512,4	3,9118E-12
6536,7	4,5729E-12
6561	4,164E-12
6585,3	4,0357E-12
6609,6	4,4284E-12
6633,9	4,7964E-12
6658,2	4,2165E-12
6682,5	4,8006E-12
6706,8	4,9934E-12
6731,1	4,5428E-12
6755,4	4,5194E-12
6779,7	4,6547E-12
6804	4,5452E-12
6828,3	4,5924E-12
6852,6	4,7797E-12
6876,9	4,8535E-12
6901,2	4,985E-12
6925,5	4,7013E-12
6949,8	4,9697E-12
6974,1	4,4691E-12
6998,4	4,9262E-12
7022,7	5,1562E-12
7047	4,9611E-12
7071,3	4,9419E-12
7095,6	5,3808E-12
7119,9	4,887E-12
7144,2	5,0867E-12
7168,5	5,3306E-12
7192,8	5,2648E-12
7217,1	5,51E-12
7241,4	5,4923E-12
7265,7	5,7028E-12
7290	6,1703E-12
7314,3	5,43E-12
7338,6	5,7704E-12
7362,9	6,2573E-12
7387,2	6,4274E-12
7411,5	6,2467E-12
7435,8	5,7742E-12
7460,1	6,4536E-12
7484,4	6,0956E-12
7508,7	6,6635E-12
7533	7,1315E-12
7557,3	6,8631E-12
7581,6	6,1017E-12
7605,9	7,0206E-12
7630,2	7,1343E-12
7654,5	7,0889E-12
7678,8	6,8632E-12
7703,1	7,2642E-12
7727,4	7,1137E-12
7751,7	7,1983E-12
7776	7,1532E-12
7800,3	7,8041E-12
7824,6	7,4199E-12
7848,9	7,6822E-12
7873,2	8,2132E-12
7897,5	7,9196E-12
7921,8	7,3855E-12
7946,1	7,5082E-12
7970,4	7,1478E-12
7994,7	7,241E-12
8019	8,0036E-12
8043,3	8,394E-12
8067,6	7,5154E-12
8091,9	8,0371E-12
8116,2	7,7252E-12
8140,5	7,8248E-12
8164,8	8,6073E-12
8189,1	8,7852E-12
8213,4	8,3501E-12
8237,7	8,5533E-12
8262	8,417E-12
8286,3	8,7144E-12
8310,6	8,4943E-12
8334,9	9,2384E-12
8359,2	9,029E-12
8383,5	9,4E-12
8407,8	9,0847E-12
8432,1	9,1052E-12
8456,4	8,5365E-12
8480,7	8,6439E-12
8505	9,6967E-12
8529,3	9,1256E-12
8553,6	9,3257E-12
8577,9	8,8154E-12
8602,2	9,7478E-12
8626,5	1,02706E-11
8650,8	9,0846E-12
8675,1	9,6943E-12
8699,4	1,04106E-11
8723,7	9,9592E-12
8748	9,9441E-12
8772,3	1,02956E-11
8796,6	1,05424E-11
8820,9	1,09051E-11
8845,2	1,00201E-11
8869,5	1,05081E-11
8893,8	1,09893E-11
8918,1	1,12617E-11
8942,4	1,11217E-11
8966,7	1,09481E-11
8991	1,15813E-11
9015,3	1,1097E-11
9039,6	1,09375E-11
9063,9	1,13039E-11
9088,2	1,15769E-11
9112,5	1,22566E-11
9136,8	1,13178E-11
9161,1	1,12257E-11
9185,4	1,15219E-11
9209,7	1,18232E-11
9234	1,23284E-11
9258,3	1,30405E-11
9282,6	1,31157E-11
9306,9	1,28781E-11
9331,2	1,29823E-11
9355,5	1,30554E-11
9379,8	1,25099E-11
9404,1	1,32369E-11
9428,4	1,37269E-11
9452,7	1,36766E-11
9477	1,29006E-11
9501,3	1,37553E-11
9525,6	1,33954E-11
9549,9	1,3876E-11
9574,2	1,34645E-11
9598,5	1,44413E-11
9622,8	1,40336E-11
9647,1	1,44149E-11
9671,4	1,49045E-11
9695,7	1,44633E-11
9720	1,45776E-11
9744,3	1,52601E-11
9768,6	1,47986E-11
9792,9	1,56834E-11
9817,2	1,48504E-11
9841,5	1,55881E-11
9865,8	1,57197E-11
9890,1	1,53894E-11
9914,4	1,66322E-11
9938,7	1,52663E-11
9963	1,63121E-11
