E,eV	I,A
2067,06	2,547E-11
2089,05	2,6402E-11
2111,04	2,614E-11
2133,03	2,4413E-11
2155,02	2,9594E-11
2177,01	2,8819E-11
2199	2,4408E-11
2220,99	2,7383E-11
2242,98	2,6171E-11
2264,97	2,8326E-11
2286,96	2,9434E-11
2308,95	2,7093E-11
2330,94	2,4479E-11
2352,93	2,5606E-11
2374,92	2,5304E-11
2396,91	2,8795E-11
2418,9	3,1231E-11
2440,89	2,8816E-11
2462,88	3,0056E-11
2484,87	3,2683E-11
2506,86	3,006E-11
2528,85	2,9693E-11
2550,84	3,2447E-11
2572,83	3,0359E-11
2594,82	3,2149E-11
2616,81	3,1835E-11
2638,8	3,4427E-11
2660,79	3,2306E-11
2682,78	3,5728E-11
2704,77	3,5619E-11
2726,76	3,6385E-11
2748,75	3,6859E-11
2770,74	3,9232E-11
2792,73	4,2486E-11
2814,72	4,5588E-11
2836,71	4,4796E-11
2858,7	5,2068E-11
2880,69	4,5777E-11
2902,68	4,2938E-11
2924,67	3,9852E-11
2946,66	3,619E-11
2968,65	3,5027E-11
2990,64	3,0239E-11
3012,63	2,9633E-11
3034,62	3,1419E-11
3056,61	3,1318E-11
3078,6	2,5757E-11
3100,59	2,6969E-11
3122,58	3,2112E-11
3144,57	2,8909E-11
3166,56	2,5312E-11
3188,55	2,8154E-11
3210,54	2,7003E-11
3232,53	2,6204E-11
3254,52	2,8123E-11
3276,51	2,5901E-11
3298,5	2,5916E-11
3320,49	2,6916E-11
3342,48	2,8075E-11
3364,47	2,8575E-11
3386,46	3,2555E-11
3408,45	3,304E-11
3430,44	2,9578E-11
3452,43	3,4732E-11
3474,42	4,2759E-11
3496,41	4,9575E-11
3518,4	5,7992E-11
3540,39	5,1011E-11
3562,38	5,7838E-11
3584,37	5,6408E-11
3606,36	4,1473E-11
3628,35	3,8314E-11
3650,34	3,8077E-11
3672,33	3,6724E-11
3694,32	3,3876E-11
3716,31	3,4822E-11
3738,3	3,2188E-11
3760,29	3,5738E-11
3782,28	3,8667E-11
3804,27	4,4711E-11
3826,26	3,694E-11
3848,25	4,1972E-11
3870,24	4,6952E-11
3892,23	4,544E-11
3914,22	4,9168E-11
3936,21	4,9005E-11
3958,2	4,1721E-11
3980,19	3,8677E-11
4002,18	4,1798E-11
4024,17	3,8256E-11
4046,16	4,7518E-11
4068,15	3,9676E-11
4090,14	4,0061E-11
4112,13	3,9368E-11
4134,12	3,6615E-11
4156,11	4,1662E-11
4178,1	4,3088E-11
4200,09	4,3199E-11
4222,08	4,1832E-11
4244,07	4,2095E-11
4266,06	4,0108E-11
4288,05	5,0374E-11
4310,04	4,3871E-11
4332,03	4,122E-11
4354,02	4,4949E-11
4376,01	4,8802E-11
4398	4,6339E-11
4419,99	4,7764E-11
4441,98	4,82E-11
4463,97	5,001E-11
4485,96	5,2609E-11
4507,95	5,5703E-11
4529,94	4,5728E-11
4551,93	4,8718E-11
4573,92	5,2669E-11
4595,91	5,6041E-11
4617,9	5,4633E-11
4639,89	5,3029E-11
4661,88	5,5097E-11
4683,87	5,365E-11
4705,86	5,8614E-11
4727,85	5,6841E-11
4749,84	5,9013E-11
4771,83	5,9616E-11
4793,82	5,5888E-11
4815,81	5,8933E-11
4837,8	6,3491E-11
4859,79	7,3881E-11
4881,78	6,4681E-11
4903,77	7,1657E-11
4925,76	6,7881E-11
4947,75	6,8921E-11
4969,74	6,5446E-11
4991,73	6,4331E-11
5013,72	6,2695E-11
5035,71	6,1347E-11
5057,7	6,8349E-11
5079,69	6,5373E-11
5101,68	5,8895E-11
5123,67	5,9917E-11
5145,66	5,9138E-11
5167,65	6,298E-11
5189,64	6,2092E-11
5211,63	6,1848E-11
5233,62	6,7101E-11
5255,61	6,2499E-11
5277,6	7,5301E-11
5299,59	6,9849E-11
5321,58	7,0139E-11
5343,57	7,331E-11
5365,56	6,8652E-11
5387,55	6,9992E-11
5409,54	7,6274E-11
5431,53	7,8876E-11
5453,52	8,6341E-11
5475,51	8,3596E-11
5497,5	7,861E-11
5519,49	7,9128E-11
5541,48	7,463E-11
5563,47	8,6295E-11
5585,46	8,6304E-11
5607,45	8,0906E-11
5629,44	9,0398E-11
5651,43	9,3994E-11
5673,42	8,7565E-11
5695,41	8,2319E-11
5717,4	8,4776E-11
5739,39	9,34E-11
5761,38	9,3096E-11
5783,37	9,0399E-11
5805,36	1,0506E-10
5827,35	1,06871E-10
5849,34	1,03589E-10
5871,33	1,03691E-10
5893,32	1,00167E-10
5915,31	1,02696E-10
5937,3	1,06111E-10
5959,29	1,05248E-10
5981,28	1,164E-10
6003,27	1,15241E-10
6025,26	1,15511E-10
6047,25	1,23964E-10
6069,24	1,21008E-10
6091,23	1,30536E-10
6113,22	1,36282E-10
6135,21	1,32715E-10
6157,2	1,36502E-10
6179,19	1,41711E-10
6201,18	1,38755E-10
6223,17	1,46871E-10
6245,16	1,58634E-10
6267,15	1,45875E-10
6289,14	1,50311E-10
6311,13	1,61829E-10
6333,12	1,66629E-10
6355,11	1,59777E-10
6377,1	1,65099E-10
6399,09	1,65995E-10
6421,08	1,77204E-10
6443,07	1,88234E-10
6465,06	1,67834E-10
6487,05	1,74036E-10
6509,04	1,78469E-10
6531,03	1,80311E-10
6553,02	1,94073E-10
6575,01	2,03135E-10
6597	1,83222E-10
6618,99	1,91636E-10
6640,98	1,90719E-10
6662,97	2,02303E-10
6684,96	1,95265E-10
6706,95	2,07758E-10
6728,94	2,04115E-10
6750,93	2,0422E-10
6772,92	2,7417E-10
6794,91	2,3145E-10
6816,9	2,1508E-10
6838,89	2,6766E-10
6860,88	2,9337E-10
6882,87	2,9339E-10
6904,86	2,9784E-10
6926,85	3,2164E-10
6948,84	3,5212E-10
6970,83	3,6512E-10
6992,82	4,0449E-10
7014,81	4,0856E-10
7036,8	5,0486E-10
7058,79	5,0093E-10
7080,78	5,8132E-10
7102,77	5,9227E-10
7124,76	5,6274E-10
7146,75	5,802E-10
7168,74	5,2671E-10
7190,73	5,7939E-10
7212,72	5,0549E-10
7234,71	4,9674E-10
7256,7	4,475E-10
7278,69	4,6779E-10
7300,68	4,5844E-10
7322,67	4,3307E-10
7344,66	4,0741E-10
7366,65	3,8009E-10
7388,64	4,1566E-10
7410,63	4,1279E-10
7432,62	3,6742E-10
7454,61	4,4547E-10
7476,6	4,2695E-10
7498,59	4,7151E-10
7520,58	4,1774E-10
7542,57	4,2255E-10
7564,56	3,9128E-10
7586,55	3,6017E-10
7608,54	4,0115E-10
7630,53	4,3616E-10
7652,52	4,52E-10
7674,51	4,7603E-10
7696,5	4,7516E-10
7718,49	4,7231E-10
7740,48	4,6265E-10
7762,47	5,2136E-10
7784,46	4,606E-10
7806,45	4,8766E-10
7828,44	5,5782E-10
7850,43	5,0522E-10
7872,42	5,0627E-10
7894,41	5,6504E-10
7916,4	5,3836E-10
7938,39	5,0396E-10
7960,38	4,8275E-10
7982,37	4,8811E-10
8004,36	5,0306E-10
8026,35	4,6751E-10
8048,34	4,6337E-10
8070,33	5,5765E-10
8092,32	5,9768E-10
8114,31	5,5209E-10
8136,3	5,0646E-10
8158,29	5,4773E-10
8180,28	5,2684E-10
8202,27	4,8836E-10
8224,26	5,4853E-10
8246,25	4,4416E-10
8268,24	5,8777E-10
8290,23	5,6638E-10
8312,22	6,5621E-10
8334,21	6,0631E-10
8356,2	5,8084E-10
8378,19	6,2447E-10
8400,18	6,5661E-10
8422,17	6,1572E-10
8444,16	5,9906E-10
8466,15	6,2842E-10
8488,14	6,6893E-10
