E,eV	I,A
2001,09	9,4253E-12
2023,08	1,09448E-11
2045,07	1,106E-11
2067,06	1,16824E-11
2089,05	1,08808E-11
2111,04	1,33128E-11
2133,03	1,43116E-11
2155,02	1,51571E-11
2177,01	1,21232E-11
2199	1,06865E-11
2220,99	1,12031E-11
2242,98	1,12598E-11
2264,97	9,7809E-12
2286,96	1,07404E-11
2308,95	1,14961E-11
2330,94	1,18819E-11
2352,93	9,516E-12
2374,92	1,14E-11
2396,91	1,25071E-11
2418,9	8,8627E-12
2440,89	1,17796E-11
2462,88	1,14556E-11
2484,87	1,28928E-11
2506,86	1,4446E-11
2528,85	1,41822E-11
2550,84	1,47442E-11
2572,83	1,40965E-11
2594,82	1,50647E-11
2616,81	1,42884E-11
2638,8	1,45855E-11
2660,79	1,36059E-11
2682,78	1,62488E-11
2704,77	1,42812E-11
2726,76	1,74582E-11
2748,75	1,61925E-11
2770,74	1,78608E-11
2792,73	1,73499E-11
2814,72	1,91929E-11
2836,71	2,05203E-11
2858,7	2,04056E-11
2880,69	2,0279E-11
2902,68	2,0436E-11
2924,67	1,61827E-11
2946,66	1,5423E-11
2968,65	1,86368E-11
2990,64	1,24053E-11
3012,63	1,20601E-11
3034,62	1,25252E-11
3056,61	1,09822E-11
3078,6	1,0561E-11
3100,59	1,12803E-11
3122,58	1,33727E-11
3144,57	1,04781E-11
3166,56	1,14453E-11
3188,55	9,8783E-12
3210,54	1,05967E-11
3232,53	1,14555E-11
3254,52	9,841E-12
3276,51	8,5787E-12
3298,5	8,3718E-12
3320,49	9,1567E-12
3342,48	8,497E-12
3364,47	9,7797E-12
3386,46	1,18508E-11
3408,45	1,06459E-11
3430,44	9,8982E-12
3452,43	1,00979E-11
3474,42	1,3447E-11
3496,41	1,22281E-11
3518,4	1,30422E-11
3540,39	1,68054E-11
3562,38	1,99952E-11
3584,37	1,62433E-11
3606,36	2,07963E-11
3628,35	1,57411E-11
3650,34	1,6836E-11
3672,33	1,0482E-11
3694,32	1,46994E-11
3716,31	1,22655E-11
3738,3	1,24372E-11
3760,29	1,29992E-11
3782,28	1,30353E-11
3804,27	1,21847E-11
3826,26	1,69835E-11
3848,25	1,41286E-11
3870,24	1,63727E-11
3892,23	1,63625E-11
3914,22	1,69437E-11
3936,21	1,57513E-11
3958,2	1,34614E-11
3980,19	1,38364E-11
4002,18	1,25176E-11
4024,17	1,52718E-11
4046,16	1,59199E-11
4068,15	1,66138E-11
4090,14	1,39466E-11
4112,13	1,34313E-11
4134,12	1,38287E-11
4156,11	1,24985E-11
4178,1	1,8243E-11
4200,09	1,61852E-11
