E,eV	N(E),part
0	99612
20	16406
40	4346
60	2042
80	1234
100	868
120	640
140	492
160	461
180	319
200	305
220	241
240	188
260	177
280	147
300	154
320	117
340	117
360	82
380	98
400	69
420	70
440	73
460	65
480	49
500	46
520	48
540	41
560	42
580	40
600	41
620	35
640	29
660	27
680	42
700	24
720	23
740	33
760	20
780	22
800	20
820	23
840	24
860	27
880	14
900	11
920	19
940	29
960	23
980	15
1000	8
1020	15
1040	18
1060	22
1080	10
1100	15
1120	15
1140	12
1160	17
1180	8
1200	21
1220	15
1240	14
1260	25
1280	26
1300	49
1320	104
1340	684
1360	949
1380	791
1400	769
1420	591
1440	41
1460	27
1480	18
1500	15
1520	9
1540	15
1560	5
1580	7
1600	8
1620	10
1640	10
1660	4
1680	5
1700	8
1720	9
1740	9
1760	4
1780	4
1800	2
1820	8
1840	0
1860	10
1880	8
1900	2
1920	2
1940	12
1960	7
1980	9
2000	4
2020	4
2040	6
2060	2
2080	1
2100	7
2120	6
2140	1
2160	2
2180	6
2200	8
2220	8
2240	6
2260	4
2280	4
2300	2
2320	3
2340	6
2360	10
2380	3
2400	6
2420	7
2440	7
2460	5
2480	8
2500	6
2520	31
2540	115
2560	202
2580	223
2600	196
2620	178
2640	193
2660	199
2680	181
2700	196
2720	49
2740	4
2760	4
2780	2
2800	3
2820	4
2840	3
2860	3
2880	5
2900	4
2920	7
2940	0
2960	2
2980	2
3000	3
3020	4
3040	2
3060	3
3080	2
3100	3
3120	3
3140	4
3160	0
3180	3
3200	0
3220	1
3240	2
3260	3
3280	1
3300	3
3320	2
3340	1
3360	3
3380	1
3400	4
3420	3
3440	1
3460	1
3480	0
3500	2
3520	1
3540	2
3560	2
3580	2
3600	0
3620	0
3640	2
3660	2
3680	2
3700	2
3720	2
3740	1
3760	4
3780	0
3800	1
3820	2
3840	0
3860	0
3880	0
3900	1
3920	0
3940	0
3960	4
3980	2
4000	1
4020	1
4040	0
4060	1
4080	0
4100	3
4120	1
4140	3
4160	0
4180	1
4200	0
4220	1
4240	2
4260	1
4280	1
4300	0
4320	0
4340	0
4360	1
4380	0
4400	3
4420	4
4440	1
4460	0
4480	3
4500	1
4520	0
4540	3
4560	3
4580	0
4600	0
4620	1
4640	0
4660	1
4680	1
4700	0
4720	0
4740	0
4760	1
4780	1
4800	0
4820	0
4840	0
4860	0
4880	0
4900	0
4920	1
4940	1
4960	1
4980	2
5000	0
5020	1
5040	2
5060	1
5080	1
5100	1
5120	1
5140	0
5160	2
5180	0
5200	0
5220	0
5240	0
5260	0
5280	0
5300	0
5320	2
5340	2
5360	0
5380	0
5400	0
5420	1
5440	1
5460	3
5480	0
5500	0
5520	0
5540	0
5560	1
5580	1
5600	2
5620	1
5640	1
5660	0
5680	3
5700	0
5720	2
5740	1
5760	1
5780	3
5800	1
5820	1
5840	1
5860	1
5880	3
5900	0
5920	0
5940	1
5960	0
5980	0
6000	0
6020	2
6040	1
6060	0
6080	0
6100	0
6120	2
6140	2
6160	1
6180	0
6200	2
6220	2
6240	2
6260	1
6280	0
6300	1
6320	2
6340	3
6360	0
6380	1
6400	2
6420	0
6440	2
6460	0
6480	3
6500	1
6520	3
6540	0
6560	2
6580	0
6600	1
6620	2
6640	2
6660	2
6680	2
6700	2
6720	1
6740	0
6760	1
6780	1
6800	2
6820	1
6840	1
6860	1
6880	1
6900	2
6920	0
6940	0
6960	1
6980	2
7000	2
7020	1
7040	0
7060	0
7080	2
7100	0
7120	0
7140	1
7160	1
7180	1
7200	3
7220	0
7240	3
7260	0
7280	2
7300	1
7320	2
7340	0
7360	2
7380	2
7400	1
7420	2
7440	2
7460	4
7480	1
7500	2
7520	1
7540	2
7560	0
7580	4
7600	6
7620	4
7640	3
7660	3
7680	4
7700	4
7720	0
7740	3
7760	3
7780	1
7800	0
7820	1
7840	7
7860	1
7880	5
7900	3
7920	3
7940	5
7960	10
7980	3
8000	6
8020	6
8040	8
8060	8
8080	10
8100	16
8120	30
8140	23
8160	50
8180	86
8200	101
8220	112
8240	90
8260	104
8280	105
8300	95
8320	96
8340	96
8360	95
8380	109
8400	99
8420	95
8440	98
8460	99
8480	90
8500	104
8520	116
8540	96
8560	90
8580	83
8600	95
8620	90
8640	81
8660	78
8680	90
8700	51
8720	27
8740	10
8760	9
8780	5
8800	3
8820	8
8840	2
8860	1
8880	1
8900	4
8920	3
8940	1
8960	1
8980	4
9000	3
9020	2
9040	2
9060	1
9080	1
9100	0
9120	2
9140	1
9160	0
9180	2
9200	2
9220	1
9240	0
9260	1
9280	0
9300	0
9320	1
9340	0
9360	1
9380	0
9400	1
9420	0
9440	1
9460	0
9480	0
9500	1
9520	0
9540	0
9560	1
9580	1
9600	0
9620	0
9640	0
9660	0
9680	0
9700	0
9720	0
9740	0
9760	0
9780	0
9800	0
9820	0
9840	0
9860	0
9880	0
9900	0
9920	0
9940	1
9960	3
9980	1
10000	2
10020	0
10040	1
10060	0
10080	0
10100	0
10120	0
10140	1
10160	0
10180	2
10200	1
10220	1
10240	0
10260	0
10280	1
10300	0
10320	0
10340	0
10360	0
10380	0
10400	0
10420	0
10440	1
10460	1
10480	0
10500	0
10520	0
10540	1
10560	1
10580	0
10600	0
10620	1
10640	0
10660	0
10680	0
10700	1
10720	1
10740	0
10760	0
10780	0
10800	0
10820	0
10840	0
10860	0
10880	0
10900	1
10920	0
10940	0
10960	0
10980	1
11000	0
11020	1
11040	0
11060	0
11080	0
11100	0
11120	0
11140	0
11160	0
11180	0
11200	0
11220	0
11240	0
11260	0
11280	0
11300	0
11320	0
11340	0
11360	1
11380	0
11400	0
11420	0
11440	1
11460	1
11480	1
11500	1
11520	0
11540	0
11560	0
11580	0
11600	0
11620	0
11640	0
11660	0
11680	0
11700	0
11720	0
11740	1
11760	0
11780	0
11800	0
11820	0
11840	0
11860	0
11880	0
11900	0
11920	0
11940	0
11960	0
11980	0
12000	0
12020	0
12040	0
12060	0
12080	0
12100	0
12120	0
12140	0
12160	0
12180	1
12200	0
12220	0
12240	0
12260	1
12280	0
12300	0
12320	0
12340	0
12360	0
12380	0
12400	0
12420	0
12440	0
12460	0
12480	0
12500	0
12520	0
12540	1
12560	0
12580	0
12600	0
12620	0
12640	0
12660	0
12680	1
12700	0
12720	0
12740	1
12760	0
12780	0
12800	0
12820	0
12840	0
12860	0
12880	0
12900	0
12920	0
12940	1
12960	0
12980	0
13000	0
13020	0
13040	0
13060	0
13080	0
13100	1
13120	0
13140	0
13160	0
13180	0
13200	0
13220	0
13240	0
13260	1
13280	0
13300	0
13320	0
13340	0
13360	0
13380	0
13400	0
13420	1
13440	1
13460	0
13480	0
13500	0
13520	0
13540	0
13560	0
13580	0
13600	0
13620	0
13640	0
13660	0
13680	0
13700	1
13720	0
13740	0
13760	0
13780	0
13800	0
13820	0
13840	0
13860	0
13880	0
13900	0
13920	0
13940	0
13960	1
13980	0
14000	0
14020	0
14040	0
14060	0
14080	0
14100	0
14120	0
14140	0
14160	0
14180	0
14200	0
14220	0
14240	1
14260	0
14280	0
14300	0
14320	0
14340	0
14360	0
14380	0
14400	0
14420	0
14440	0
14460	0
14480	0
14500	0
14520	0
14540	0
14560	0
14580	1
14600	0
14620	0
14640	0
14660	0
14680	1
14700	0
14720	0
14740	0
14760	0
14780	0
14800	0
14820	0
14840	0
14860	0
14880	0
14900	0
14920	0
14940	0
14960	1
14980	0
15000	1
15020	0
15040	0
15060	0
15080	2
15100	0
15120	0
15140	0
15160	0
15180	0
15200	0
15220	0
15240	0
15260	0
15280	0
15300	0
15320	0
15340	1
15360	0
15380	0
15400	1
15420	0
15440	0
15460	1
15480	0
15500	0
15520	1
15540	0
15560	0
15580	0
15600	0
15620	0
15640	0
15660	0
15680	0
15700	1
15720	0
15740	0
15760	1
15780	1
15800	1
15820	0
15840	0
15860	0
15880	1
15900	1
15920	1
15940	0
15960	0
15980	1
16000	0
16020	0
16040	1
16060	0
16080	0
16100	1
16120	0
16140	1
16160	1
16180	0
16200	2
16220	0
16240	0
16260	0
16280	1
16300	0
16320	1
16340	1
16360	1
16380	0
16400	0
16420	0
16440	2
16460	2
16480	0
16500	0
16520	1
16540	0
16560	0
16580	1
16600	1
16620	0
16640	0
16660	0
16680	1
16700	0
16720	0
16740	1
16760	1
16780	1
16800	2
16820	0
16840	1
16860	0
16880	0
16900	2
16920	0
16940	1
16960	3
16980	2
17000	1
17020	0
17040	3
17060	0
17080	1
17100	1
17120	0
17140	4
17160	1
17180	2
17200	0
17220	1
17240	1
17260	1
17280	5
17300	1
17320	3
17340	4
17360	4
17380	3
17400	1
17420	6
17440	4
17460	3
17480	1
17500	6
17520	2
17540	3
17560	7
17580	3
17600	3
17620	2
17640	3
17660	7
17680	2
17700	4
17720	2
17740	10
17760	6
17780	2
17800	9
17820	4
17840	1
17860	7
17880	5
17900	3
17920	6
17940	6
17960	8
17980	11
18000	9
18020	8
18040	5
18060	4
18080	9
18100	13
18120	11
18140	7
18160	11
18180	12
18200	11
18220	8
18240	13
18260	11
18280	16
18300	19
18320	18
18340	14
18360	26
18380	27
18400	24
18420	38
18440	36
18460	48
18480	54
18500	56
18520	90
18540	127
18560	297
18580	1075
18600	1270
18620	1320
18640	1284
18660	1393
18680	1370
18700	1428
18720	1387
18740	1449
18760	1457
18780	1387
18800	573
18820	85
18840	59
18860	44
18880	24
18900	27
18920	18
18940	22
18960	20
18980	17
19000	17
19020	11
19040	11
19060	3
19080	13
19100	7
19120	13
19140	6
19160	7
19180	5
19200	9
19220	11
19240	10
19260	8
19280	7
19300	5
19320	5
19340	3
19360	0
19380	0
19400	0
19420	0
19440	0
19460	0
19480	0
19500	0
19520	0
19540	0
19560	0
19580	0
19600	0
19620	0
19640	0
19660	0
19680	0
19700	0
19720	0
19740	0
19760	0
19780	0
19800	0
19820	0
19840	0
19860	0
19880	0
19900	0
19920	0
19940	0
19960	0
19980	0
20000	0
