E,eV	N(E),part
0	14362
20	1229
40	454
60	241
80	154
100	128
120	107
140	60
160	64
180	46
200	35
220	31
240	18
260	39
280	26
300	13
320	14
340	24
360	15
380	8
400	15
420	13
440	10
460	11
480	10
500	11
520	10
540	9
560	9
580	7
600	7
620	3
640	8
660	7
680	2
700	8
720	7
740	4
760	4
780	5
800	2
820	4
840	3
860	3
880	3
900	7
920	5
940	2
960	2
980	2
1000	2
1020	4
1040	5
1060	3
1080	5
1100	2
1120	1
1140	5
1160	3
1180	4
1200	4
1220	4
1240	5
1260	2
1280	2
1300	3
1320	3
1340	2
1360	4
1380	1
1400	6
1420	3
1440	1
1460	3
1480	3
1500	2
1520	5
1540	2
1560	3
1580	1
1600	4
1620	2
1640	0
1660	1
1680	3
1700	2
1720	3
1740	5
1760	3
1780	0
1800	0
1820	3
1840	5
1860	2
1880	3
1900	3
1920	1
1940	1
1960	2
1980	0
2000	2
2020	0
2040	1
2060	2
2080	2
2100	2
2120	1
2140	2
2160	0
2180	1
2200	0
2220	3
2240	1
2260	1
2280	2
2300	4
2320	3
2340	2
2360	5
2380	2
2400	1
2420	1
2440	1
2460	0
2480	3
2500	2
2520	1
2540	3
2560	2
2580	0
2600	3
2620	1
2640	1
2660	0
2680	1
2700	1
2720	2
2740	3
2760	2
2780	1
2800	1
2820	2
2840	1
2860	2
2880	0
2900	2
2920	2
2940	2
2960	1
2980	2
3000	1
3020	2
3040	1
3060	0
3080	2
3100	2
3120	2
3140	1
3160	2
3180	2
3200	3
3220	3
3240	4
3260	4
3280	1
3300	0
3320	2
3340	2
3360	2
3380	1
3400	0
3420	2
3440	2
3460	3
3480	1
3500	3
3520	1
3540	2
3560	1
3580	4
3600	0
3620	0
3640	2
3660	2
3680	1
3700	0
3720	2
3740	4
3760	2
3780	1
3800	2
3820	6
3840	2
3860	0
3880	2
3900	2
3920	0
3940	3
3960	1
3980	3
4000	1
4020	2
4040	4
4060	2
4080	3
4100	4
4120	3
4140	3
4160	1
4180	1
4200	7
4220	2
4240	4
4260	0
4280	3
4300	4
4320	0
4340	5
4360	7
4380	4
4400	3
4420	3
4440	5
4460	3
4480	3
4500	3
4520	7
4540	6
4560	7
4580	4
4600	4
4620	7
4640	8
4660	13
4680	7
4700	15
4720	10
4740	9
4760	12
4780	34
4800	58
4820	68
4840	75
4860	74
4880	70
4900	78
4920	83
4940	80
4960	86
4980	74
5000	79
5020	66
5040	79
5060	64
5080	69
5100	69
5120	37
5140	26
5160	22
5180	19
5200	22
5220	12
5240	13
5260	22
5280	18
5300	18
5320	14
5340	17
5360	10
5380	12
5400	11
5420	7
5440	12
5460	8
5480	9
5500	10
5520	10
5540	12
5560	15
5580	10
5600	12
5620	3
5640	4
5660	10
5680	4
5700	3
5720	7
5740	6
5760	6
5780	8
5800	2
5820	1
5840	2
5860	5
5880	4
5900	5
5920	5
5940	5
5960	3
5980	4
6000	1
6020	2
6040	3
6060	1
6080	2
6100	3
6120	3
6140	1
6160	3
6180	0
6200	1
6220	0
6240	0
6260	2
6280	0
6300	1
6320	1
6340	0
6360	2
6380	2
6400	1
6420	3
6440	1
6460	0
6480	0
6500	3
6520	3
6540	0
6560	0
6580	1
6600	4
6620	1
6640	1
6660	0
6680	2
6700	3
6720	2
6740	1
6760	2
6780	1
6800	1
6820	4
6840	6
6860	6
6880	8
6900	14
6920	20
6940	13
6960	12
6980	9
7000	12
7020	8
7040	14
7060	12
7080	15
7100	7
7120	12
7140	7
7160	16
7180	14
7200	10
7220	11
7240	14
7260	12
7280	10
7300	3
7320	1
7340	4
7360	3
7380	4
7400	3
7420	0
7440	3
7460	1
7480	3
7500	2
7520	1
7540	1
7560	1
7580	1
7600	2
7620	0
7640	1
7660	3
7680	2
7700	1
7720	0
7740	0
7760	0
7780	1
7800	1
7820	5
7840	3
7860	1
7880	1
7900	1
7920	2
7940	0
7960	2
7980	0
8000	0
8020	2
8040	0
8060	2
8080	4
8100	1
8120	0
8140	1
8160	3
8180	4
8200	2
8220	1
8240	2
8260	2
8280	2
8300	1
8320	1
8340	0
8360	1
8380	1
8400	3
8420	4
8440	1
8460	1
8480	2
8500	2
8520	3
8540	1
8560	1
8580	2
8600	2
8620	1
8640	1
8660	4
8680	1
8700	2
8720	5
8740	3
8760	2
8780	2
8800	4
8820	2
8840	2
8860	2
8880	6
8900	6
8920	1
8940	5
8960	8
8980	5
9000	5
9020	5
9040	8
9060	6
9080	6
9100	6
9120	7
9140	10
9160	12
9180	14
9200	19
9220	24
9240	61
9260	94
9280	100
9300	127
9320	109
9340	133
9360	132
9380	142
9400	153
9420	152
9440	145
9460	159
9480	155
9500	157
9520	95
9540	55
9560	30
9580	36
9600	32
9620	25
9640	32
9660	27
9680	35
9700	30
9720	26
9740	35
9760	34
9780	43
9800	33
9820	27
9840	36
9860	40
9880	32
9900	51
9920	42
9940	64
9960	53
9980	66
10000	49
10020	92
10040	91
10060	108
10080	195
10100	342
10120	567
10140	1023
10160	1362
10180	1439
10200	1495
10220	1482
10240	1348
10260	1047
10280	643
10300	291
10320	277
10340	244
10360	253
10380	232
10400	206
10420	199
10440	210
10460	212
10480	193
10500	160
10520	125
10540	85
10560	56
10580	36
10600	26
10620	17
10640	10
10660	6
10680	0
10700	0
10720	0
10740	0
10760	0
10780	0
10800	0
10820	0
10840	0
10860	0
10880	0
10900	0
10920	0
10940	0
10960	0
10980	0
11000	0
