E,eV	N(E),part
0	381,301
20	132,35
40	54,201
60	29,45
80	21,551
100	15,75
120	12,75
140	9,75
160	8,75
180	7
200	6,901
220	5,701
240	6,25
260	5
280	4,8
300	4,901
320	3,55
340	3,701
360	3,15
380	3,55
400	3,3
420	2,451
440	2,951
460	2,65
480	1,801
500	2,75
520	2,701
540	2,351
560	1,65
580	1,75
600	1,95
620	1,95
640	2,5
660	2,9
680	2,65
700	1,601
720	1,4
740	1,95
760	1,601
780	1,65
800	2,05
820	1,551
840	1,45
860	1,9
880	1,851
900	1,15
920	1,801
940	1,601
960	1,601
980	1,551
1000	1,301
1020	1
1040	1,65
1060	1,551
1080	1,301
1100	1,45
1120	1,25
1140	1,5
1160	2,05
1180	1,7
1200	1,551
1220	1,851
1240	1,601
1260	1,801
1280	1,351
1300	1,45
1320	1,5
1340	1,7
1360	1,75
1380	2
1400	1,7
1420	2,3
1440	2,65
1460	1,2
1480	1,45
1500	1,2
1520	1,2
1540	1,101
1560	0,85
1580	0,901
1600	0,85
1620	1,2
1640	1,051
1660	0,85
1680	1
1700	0,651
1720	0,5
1740	0,5
1760	0,35
1780	0,201
1800	0,3
1820	0,401
1840	0,25
1860	0,201
1880	0,451
1900	0,25
1920	0,201
1940	0,401
1960	0,201
1980	0,201
2000	0,101
2020	0,201
2040	0,35
2060	0,25
2080	0,15
2100	0,401
2120	0,201
2140	0,201
2160	0,15
2180	0,35
2200	0,15
2220	0,201
2240	0,25
2260	0,25
2280	0,35
2300	0,15
2320	0,35
2340	0,35
2360	0,201
2380	0,25
2400	0,25
2420	0,451
2440	0,201
2460	0,25
2480	0,051
2500	0,15
2520	0,401
2540	0,401
2560	0,401
2580	0,35
2600	0,451
2620	0,3
2640	0,051
2660	0,3
2680	0,551
2700	0,35
2720	0,401
2740	0,451
2760	0,5
2780	0,551
2800	0,401
2820	0,5
2840	0,3
2860	0,3
2880	0,3
2900	0,25
2920	0,35
2940	0,5
2960	0,25
2980	0,401
3000	0,25
3020	0,401
3040	0,35
3060	0,35
3080	0,3
3100	0,3
3120	0,201
3140	0,201
3160	0,25
3180	0,15
3200	0,101
3220	0,3
3240	0,051
3260	0,401
3280	0,101
3300	0,25
3320	0,15
3340	0,35
3360	0,051
3380	0,35
3400	0,201
3420	0,101
3440	0,25
3460	0,15
3480	0,101
3500	0,15
3520	0,201
3540	0,201
3560	0,101
3580	0,15
3600	0,201
3620	0,3
3640	0,25
3660	0,3
3680	0,101
3700	0
3720	0,551
3740	0,25
3760	0,201
3780	0,35
3800	0,25
3820	0,25
3840	0,101
3860	0,101
3880	0,3
3900	0,451
3920	0,201
3940	0,201
3960	0,101
3980	0,451
4000	0,401
4020	0,35
4040	0,15
4060	0,15
4080	0,3
4100	0,401
4120	0,201
4140	0,15
4160	0,401
4180	0,25
4200	0,5
4220	0,35
4240	0,201
4260	0,3
4280	0,201
4300	0,25
4320	0,201
4340	0,451
4360	0,35
4380	0,201
4400	0,3
4420	0,201
4440	0,25
4460	0,15
4480	0,15
4500	0,201
4520	0,101
4540	0,3
4560	0,15
4580	0,201
4600	0,15
4620	0,25
4640	0,401
4660	0,201
4680	0,201
4700	0,15
4720	0,15
4740	0,15
4760	0,101
4780	0,401
4800	0,3
4820	0,5
4840	0,3
4860	0,551
4880	0,201
4900	0,3
4920	0,35
4940	0,401
4960	0,3
4980	0,401
5000	0,35
5020	0,5
5040	0,25
5060	0,551
5080	0,3
5100	0,051
5120	0,451
5140	0,551
5160	0,401
5180	0,3
5200	0,3
5220	0,451
5240	0,3
5260	0,451
5280	0,451
5300	0,5
5320	0,5
5340	0,551
5360	0,15
5380	0,651
5400	0,15
5420	0,401
5440	0,401
5460	0,25
5480	0,5
5500	0,35
5520	0,35
5540	0,35
5560	0,3
5580	0,451
5600	0,5
5620	0,451
5640	0,7
5660	0,551
5680	0,35
5700	0,401
5720	0,3
5740	0,5
5760	0,5
5780	0,401
5800	0,401
5820	0,7
5840	0,651
5860	0,5
5880	0,101
5900	0,801
5920	0,801
5940	0,451
5960	0,651
5980	0,801
6000	0,401
6020	0,651
6040	0,25
6060	0,75
6080	0,25
6100	0,401
6120	0,35
6140	0,651
6160	0,7
6180	0,95
6200	0,95
6220	0,651
6240	0,5
6260	0,651
6280	0,35
6300	0,85
6320	0,6
6340	0,5
6360	0,95
6380	0,85
6400	0,651
6420	0,651
6440	1,15
6460	1,351
6480	0,95
6500	0,75
6520	1,101
6540	1,051
6560	1,101
6580	0,451
6600	0,6
6620	1,2
6640	1,101
6660	0,6
6680	0,5
6700	0,901
6720	0,7
6740	1,051
6760	0,651
6780	0,801
6800	0,551
6820	0,75
6840	1,301
6860	0,85
6880	1
6900	1
6920	0,801
6940	1
6960	0,801
6980	1,301
7000	0,75
7020	0,801
7040	0,85
7060	1,2
7080	0,651
7100	1,15
7120	0,85
7140	0,85
7160	1,2
7180	1,101
7200	0,75
7220	1,15
7240	1,25
7260	1,7
7280	1,15
7300	1,301
7320	1,051
7340	1,15
7360	0,85
7380	1
7400	0,651
7420	0,5
7440	0,651
7460	1,15
7480	1,25
7500	1,051
7520	1,851
7540	1
7560	1,25
7580	1,7
7600	1,5
7620	1,351
7640	1,2
7660	1,7
7680	1
7700	1,301
7720	1,25
7740	1,4
7760	1,101
7780	1,851
7800	1,601
7820	1,15
7840	1,45
7860	1,351
7880	1,45
7900	1,25
7920	1,551
7940	1,25
7960	2
7980	1,45
8000	1,45
8020	1,45
8040	1,601
8060	1,801
8080	1,551
8100	1,301
8120	1,351
8140	2,55
8160	1,65
8180	1,801
8200	1,65
8220	1,801
8240	2,101
8260	2
8280	1,75
8300	1,601
8320	1,851
8340	2,101
8360	1,601
8380	1,95
8400	1,45
8420	2,201
8440	2,5
8460	2,201
8480	2,15
8500	3,201
8520	2,05
8540	2,15
8560	2,9
8580	2,451
8600	1,9
8620	2,25
8640	2,601
8660	2,05
8680	2,55
8700	1,9
8720	2,701
8740	2,15
8760	2,201
8780	1,95
8800	2,5
8820	2,201
8840	2,5
8860	2,05
8880	2,851
8900	2,25
8920	2,4
8940	2,601
8960	1,7
8980	2,3
9000	2,9
9020	3
9040	2,8
9060	2,701
9080	2,951
9100	3,15
9120	3,9
9140	2
9160	3,351
9180	3,351
9200	3,55
9220	2,951
9240	2,65
9260	2,9
9280	3,451
9300	3,201
9320	3,75
9340	3,451
9360	3,8
9380	3,65
9400	3,451
9420	3,3
9440	3,701
9460	3
9480	2,9
9500	3,601
9520	3,55
9540	3,451
9560	3
9580	4,8
9600	3,851
9620	3,9
9640	4,5
9660	5
9680	4,3
9700	4,75
9720	5,55
9740	4,451
9760	4,05
9780	4,451
9800	5,25
9820	4,75
9840	4,25
9860	3,55
9880	3,8
9900	2,701
