E,eV	N(E),part
0	7886
10	4991
20	1894
30	1060
40	655
50	471
60	366
70	305
80	245
90	205
100	181
110	174
120	137
130	120
140	106
150	115
160	93
170	89
180	89
190	82
200	59
210	89
220	75
230	65
240	58
250	67
260	52
270	50
280	50
290	39
300	32
310	45
320	47
330	32
340	27
350	38
360	45
370	40
380	22
390	32
400	36
410	36
420	35
430	25
440	31
450	29
460	32
470	34
480	17
490	30
500	33
510	30
520	28
530	24
540	21
550	21
560	25
570	17
580	22
590	26
600	29
610	18
620	21
630	23
640	26
650	19
660	14
670	25
680	22
690	28
700	23
710	16
720	20
730	19
740	23
750	22
760	15
770	20
780	21
790	21
800	24
810	11
820	14
830	17
840	13
850	17
860	14
870	13
880	14
890	19
900	10
910	13
920	10
930	12
940	22
950	17
960	19
970	16
980	12
990	11
1000	10
1010	10
1020	15
1030	12
1040	13
1050	15
1060	11
1070	12
1080	13
1090	18
1100	9
1110	12
1120	12
1130	9
1140	9
1150	15
1160	12
1170	5
1180	13
1190	19
1200	11
1210	13
1220	21
1230	9
1240	10
1250	13
1260	12
1270	13
1280	9
1290	12
1300	10
1310	10
1320	10
1330	9
1340	9
1350	16
1360	14
1370	9
1380	19
1390	11
1400	13
1410	7
1420	9
1430	12
1440	11
1450	9
1460	8
1470	9
1480	15
1490	6
1500	13
1510	14
1520	7
1530	7
1540	11
1550	9
1560	8
1570	7
1580	12
1590	6
1600	8
1610	11
1620	12
1630	6
1640	15
1650	12
1660	9
1670	13
1680	11
1690	9
1700	10
1710	7
1720	5
1730	11
1740	9
1750	10
1760	11
1770	10
1780	7
1790	7
1800	6
1810	5
1820	10
1830	5
1840	9
1850	2
1860	8
1870	6
1880	11
1890	8
1900	8
1910	16
1920	4
1930	10
1940	8
1950	4
1960	4
1970	13
1980	12
1990	8
2000	10
2010	7
2020	6
2030	12
2040	2
2050	7
2060	11
2070	5
2080	3
2090	9
2100	12
2110	6
2120	8
2130	3
2140	11
2150	3
2160	8
2170	13
2180	2
2190	11
2200	7
2210	8
2220	9
2230	9
2240	9
2250	6
2260	9
2270	11
2280	11
2290	9
2300	6
2310	7
2320	10
2330	8
2340	6
2350	10
2360	8
2370	7
2380	9
2390	7
2400	13
2410	7
2420	10
2430	12
2440	6
2450	7
2460	4
2470	11
2480	8
2490	8
2500	3
2510	6
2520	10
2530	3
2540	12
2550	3
2560	8
2570	8
2580	13
2590	9
2600	9
2610	4
2620	8
2630	5
2640	4
2650	3
2660	9
2670	7
2680	12
2690	6
2700	6
2710	2
2720	10
2730	17
2740	5
2750	5
2760	10
2770	12
2780	15
2790	15
2800	13
2810	18
2820	19
2830	25
2840	10
2850	13
2860	12
2870	13
2880	14
2890	13
2900	13
2910	17
2920	9
2930	8
2940	13
2950	10
2960	14
2970	9
2980	15
2990	8
3000	8
3010	9
3020	10
3030	12
3040	11
3050	13
3060	7
3070	11
3080	8
3090	9
3100	6
3110	13
3120	8
3130	8
3140	5
3150	10
3160	11
3170	6
3180	6
3190	5
3200	8
3210	4
3220	5
3230	6
3240	8
3250	13
3260	8
3270	7
3280	4
3290	5
3300	3
3310	7
3320	4
3330	5
3340	8
3350	3
3360	8
3370	5
3380	8
3390	8
3400	8
3410	4
3420	4
3430	4
3440	7
3450	5
3460	3
3470	5
3480	3
3490	7
3500	5
3510	3
3520	7
3530	7
3540	4
3550	3
3560	3
3570	0
3580	7
3590	7
3600	2
3610	8
3620	1
3630	2
3640	3
3650	4
3660	4
3670	4
3680	4
3690	6
3700	5
3710	5
3720	2
3730	5
3740	4
3750	9
3760	6
3770	3
3780	4
3790	6
3800	3
3810	2
3820	5
3830	7
3840	8
3850	2
3860	5
3870	6
3880	8
3890	4
3900	5
3910	8
3920	6
3930	4
3940	7
3950	3
3960	4
3970	7
3980	4
3990	5
4000	6
4010	4
4020	6
4030	8
4040	8
4050	13
4060	4
4070	3
4080	7
4090	4
4100	11
4110	6
4120	3
4130	6
4140	5
4150	7
4160	4
4170	8
4180	5
4190	9
4200	5
4210	6
4220	8
4230	6
4240	8
4250	7
4260	6
4270	4
4280	10
4290	6
4300	3
4310	8
4320	11
4330	6
4340	6
4350	5
4360	7
4370	7
4380	8
4390	12
4400	5
4410	11
4420	7
4430	8
4440	11
4450	4
4460	4
4470	9
4480	10
4490	5
4500	10
4510	8
4520	4
4530	7
4540	4
4550	4
4560	6
4570	6
4580	8
4590	4
4600	3
4610	8
4620	6
4630	6
4640	4
4650	6
4660	4
4670	8
4680	13
4690	9
4700	7
4710	6
4720	5
4730	8
4740	9
4750	6
4760	6
4770	8
4780	9
4790	7
4800	11
4810	8
4820	6
4830	7
4840	14
4850	4
4860	8
4870	10
4880	6
4890	6
4900	5
4910	8
4920	11
4930	7
4940	7
4950	8
4960	7
4970	11
4980	14
4990	5
5000	9
5010	7
5020	7
5030	9
5040	11
5050	11
5060	10
5070	8
5080	6
5090	11
5100	5
5110	12
5120	13
5130	14
5140	9
5150	5
5160	10
5170	7
5180	11
5190	6
5200	5
5210	4
5220	7
5230	10
5240	7
5250	12
5260	8
5270	7
5280	11
5290	9
5300	13
5310	9
5320	9
5330	10
5340	10
5350	7
5360	10
5370	11
5380	7
5390	13
5400	6
5410	14
5420	8
5430	7
5440	12
5450	15
5460	9
5470	14
5480	10
5490	9
5500	7
5510	9
5520	12
5530	10
5540	9
5550	6
5560	10
5570	10
5580	11
5590	15
5600	7
5610	12
5620	12
5630	15
5640	10
5650	11
5660	12
5670	18
5680	10
5690	13
5700	9
5710	14
5720	10
5730	10
5740	15
5750	18
5760	10
5770	13
5780	9
5790	14
5800	12
5810	19
5820	8
5830	13
5840	9
5850	18
5860	8
5870	14
5880	5
5890	11
5900	10
5910	8
5920	14
5930	10
5940	9
5950	17
5960	15
5970	12
5980	10
5990	8
6000	14
6010	10
6020	11
6030	21
6040	19
6050	13
6060	13
6070	12
6080	12
6090	20
6100	24
6110	17
6120	16
6130	15
6140	12
6150	22
6160	17
6170	27
6180	24
6190	20
6200	18
6210	14
6220	24
6230	14
6240	20
6250	16
6260	22
6270	28
6280	16
