E,eV	N(E),part
0	25014
10	12435
20	5301
30	3201
40	2245
50	1762
60	1419
70	1137
80	974
90	884
100	762
110	702
120	592
130	539
140	501
150	436
160	429
170	401
180	358
190	302
200	343
210	309
220	282
230	234
240	251
250	277
260	221
270	204
280	202
290	200
300	182
310	171
320	179
330	161
340	166
350	159
360	139
370	142
380	129
390	162
400	145
410	138
420	143
430	121
440	137
450	122
460	117
470	111
480	114
490	120
500	96
510	119
520	111
530	98
540	93
550	94
560	103
570	87
580	95
590	82
600	76
610	74
620	74
630	91
640	93
650	92
660	72
670	103
680	73
690	72
700	71
710	69
720	65
730	70
740	72
750	73
760	55
770	89
780	68
790	75
800	62
810	65
820	54
830	60
840	66
850	53
860	56
870	58
880	52
890	61
900	55
910	60
920	65
930	40
940	65
950	51
960	58
970	45
980	50
990	63
1000	46
1010	50
1020	45
1030	53
1040	57
1050	50
1060	58
1070	45
1080	45
1090	46
1100	35
1110	46
1120	41
1130	38
1140	46
1150	44
1160	49
1170	42
1180	45
1190	33
1200	47
1210	36
1220	39
1230	50
1240	53
1250	48
1260	44
1270	43
1280	42
1290	39
1300	40
1310	38
1320	31
1330	40
1340	44
1350	38
1360	38
1370	40
1380	42
1390	40
1400	49
1410	38
1420	39
1430	39
1440	37
1450	36
1460	33
1470	45
1480	37
1490	30
1500	38
1510	38
1520	38
1530	36
1540	36
1550	47
1560	32
1570	40
1580	35
1590	25
1600	42
1610	29
1620	32
1630	35
1640	25
1650	39
1660	38
1670	36
1680	33
1690	39
1700	32
1710	38
1720	34
1730	33
1740	27
1750	41
1760	39
1770	29
1780	25
1790	34
1800	33
1810	36
1820	31
1830	32
1840	37
1850	47
1860	29
1870	36
1880	30
1890	35
1900	39
1910	32
1920	41
1930	35
1940	25
1950	32
1960	35
1970	33
1980	42
1990	37
2000	31
2010	43
2020	38
2030	34
2040	40
2050	33
2060	32
2070	45
2080	42
2090	35
2100	44
2110	39
2120	41
2130	38
2140	37
2150	29
2160	28
2170	27
2180	28
2190	43
2200	40
2210	38
2220	42
2230	35
2240	24
2250	45
2260	43
2270	32
2280	45
2290	42
2300	46
2310	44
2320	52
2330	54
2340	46
2350	49
2360	38
2370	38
2380	46
2390	49
2400	46
2410	30
2420	37
2430	30
2440	30
2450	19
2460	31
2470	24
2480	24
2490	23
2500	16
2510	20
2520	32
2530	19
2540	17
2550	23
2560	20
2570	24
2580	25
2590	17
2600	22
2610	11
2620	16
2630	18
2640	15
2650	25
2660	22
2670	18
2680	24
2690	24
2700	19
2710	18
2720	14
2730	14
2740	18
2750	26
2760	16
2770	16
2780	12
2790	14
2800	14
2810	18
2820	14
2830	24
2840	12
2850	11
2860	14
2870	14
2880	20
2890	7
2900	17
2910	10
2920	7
2930	16
2940	8
2950	10
2960	14
2970	11
2980	6
2990	14
3000	10
3010	11
3020	13
3030	11
3040	12
3050	17
3060	11
3070	8
3080	15
3090	6
3100	15
3110	9
3120	3
3130	11
3140	7
3150	10
3160	9
3170	8
3180	11
3190	10
3200	13
3210	15
3220	10
3230	8
3240	15
3250	12
3260	13
3270	15
3280	12
3290	15
3300	7
3310	9
3320	12
3330	9
3340	12
3350	9
3360	15
3370	6
3380	10
3390	10
3400	10
3410	14
3420	6
3430	10
3440	9
3450	14
3460	10
3470	11
3480	13
3490	4
3500	7
3510	8
3520	15
3530	14
3540	13
3550	7
3560	11
3570	14
3580	10
3590	10
3600	11
3610	14
3620	17
3630	11
3640	7
3650	14
3660	18
3670	8
3680	12
3690	11
3700	8
3710	14
3720	11
3730	10
3740	9
3750	12
3760	12
3770	9
3780	11
3790	13
3800	8
3810	13
3820	12
3830	11
3840	14
3850	12
3860	12
3870	17
3880	7
3890	7
3900	11
3910	16
3920	15
3930	17
3940	9
3950	12
3960	12
3970	15
3980	17
3990	14
4000	12
4010	20
4020	8
4030	14
4040	15
4050	12
4060	9
4070	12
4080	15
4090	21
4100	9
4110	11
4120	16
4130	19
4140	17
4150	12
4160	20
4170	8
4180	14
4190	8
4200	12
4210	27
4220	13
4230	10
4240	17
4250	17
4260	24
4270	15
4280	15
4290	16
4300	18
4310	19
4320	16
4330	20
4340	22
4350	19
4360	14
4370	18
4380	17
4390	10
4400	17
4410	17
4420	15
4430	17
4440	21
4450	12
4460	21
4470	14
4480	18
4490	23
4500	19
4510	15
4520	13
4530	20
4540	15
4550	14
4560	15
4570	22
4580	21
4590	15
4600	22
4610	13
4620	19
4630	14
4640	12
4650	15
4660	17
4670	12
4680	18
4690	16
4700	11
4710	9
4720	7
4730	17
4740	15
4750	12
4760	13
4770	11
4780	5
4790	7
4800	6
4810	8
4820	11
4830	5
4840	7
4850	14
4860	2
4870	6
4880	5
4890	4
4900	6
4910	7
4920	4
4930	4
4940	3
4950	6
4960	4
4970	7
4980	8
4990	3
5000	8
5010	4
5020	7
5030	5
5040	4
5050	2
5060	10
5070	5
5080	10
5090	4
5100	7
5110	5
5120	4
5130	10
5140	5
5150	8
5160	8
5170	7
5180	6
5190	4
5200	6
5210	6
5220	5
5230	2
5240	4
5250	11
5260	2
5270	2
5280	3
5290	4
5300	3
5310	4
5320	6
5330	5
5340	4
5350	4
5360	5
5370	1
5380	3
5390	6
5400	2
5410	6
5420	8
5430	3
5440	0
5450	3
5460	3
5470	6
5480	2
5490	2
5500	3
5510	2
5520	3
5530	6
5540	3
5550	1
5560	2
5570	4
5580	7
5590	2
5600	4
5610	3
5620	1
5630	6
5640	4
5650	6
5660	2
5670	5
5680	3
5690	4
5700	1
5710	5
5720	4
5730	2
5740	4
5750	5
5760	1
5770	3
5780	6
5790	3
5800	3
5810	1
5820	3
5830	6
5840	3
5850	3
5860	3
5870	3
5880	3
5890	2
5900	2
5910	1
5920	3
5930	3
5940	3
5950	7
5960	1
5970	4
5980	3
5990	2
6000	6
6010	2
6020	6
6030	1
6040	4
6050	3
6060	3
6070	4
6080	1
6090	4
6100	4
6110	2
6120	5
6130	2
6140	3
6150	5
6160	6
6170	2
6180	3
6190	5
6200	5
6210	4
6220	1
6230	3
6240	2
6250	6
6260	5
6270	3
6280	4
6290	7
6300	3
6310	2
6320	7
6330	4
6340	2
6350	3
6360	5
6370	6
6380	6
6390	1
6400	4
6410	4
6420	2
6430	4
6440	4
6450	4
6460	3
6470	6
6480	5
6490	4
6500	4
6510	7
6520	2
6530	4
6540	4
6550	4
6560	5
6570	3
6580	5
6590	5
6600	4
6610	6
6620	3
6630	6
6640	1
6650	2
6660	5
6670	0
6680	4
6690	9
6700	3
6710	1
6720	2
6730	2
6740	4
6750	4
6760	2
6770	6
6780	12
6790	7
6800	5
6810	8
6820	4
6830	4
6840	4
6850	4
6860	4
6870	4
6880	4
6890	6
6900	1
6910	2
6920	3
6930	5
6940	4
6950	4
6960	4
6970	3
6980	7
6990	0
7000	3
7010	6
7020	3
7030	7
7040	5
7050	2
7060	5
7070	3
7080	2
7090	8
7100	2
7110	2
7120	5
7130	5
7140	7
7150	5
7160	4
7170	6
7180	4
7190	3
7200	7
7210	3
7220	4
7230	8
7240	6
7250	3
7260	6
7270	6
7280	5
7290	3
7300	4
7310	6
7320	7
7330	6
7340	6
7350	2
7360	5
7370	4
7380	1
7390	4
7400	3
7410	3
7420	2
7430	4
7440	5
7450	7
7460	5
7470	2
7480	6
7490	4
7500	7
7510	3
7520	2
7530	2
7540	5
7550	2
7560	5
7570	4
7580	3
7590	4
7600	3
7610	13
7620	3
7630	7
7640	5
7650	5
7660	3
7670	9
7680	7
7690	10
7700	6
7710	3
7720	5
7730	8
7740	0
7750	3
7760	6
7770	5
7780	5
7790	6
7800	10
7810	8
7820	4
7830	3
7840	7
7850	9
7860	13
7870	6
7880	3
7890	7
7900	10
7910	7
7920	4
7930	8
7940	8
7950	5
7960	2
7970	6
7980	5
7990	8
8000	4
8010	8
8020	4
8030	9
8040	6
8050	7
8060	5
8070	10
8080	8
8090	7
8100	5
8110	7
8120	5
8130	5
8140	9
8150	6
8160	9
8170	7
8180	6
8190	6
8200	4
8210	5
8220	3
8230	3
8240	4
8250	6
8260	8
8270	4
8280	10
8290	6
8300	4
8310	5
8320	8
8330	9
8340	13
8350	7
8360	5
8370	10
8380	5
8390	3
8400	12
8410	8
8420	6
8430	7
8440	8
8450	4
8460	7
8470	7
8480	4
8490	4
8500	4
8510	8
8520	8
8530	7
8540	6
8550	10
8560	4
8570	6
8580	7
8590	2
8600	8
8610	5
8620	10
8630	6
8640	12
8650	9
8660	10
8670	7
8680	10
8690	8
8700	8
8710	9
8720	9
8730	8
8740	5
8750	5
8760	6
8770	3
8780	10
8790	5
8800	10
8810	1
8820	7
8830	11
8840	10
8850	6
8860	9
8870	12
8880	5
8890	10
8900	3
8910	4
8920	5
8930	10
8940	11
8950	9
8960	5
8970	9
8980	6
8990	11
9000	7
9010	7
9020	4
9030	5
9040	8
9050	8
9060	8
9070	11
9080	6
9090	7
9100	7
9110	8
9120	10
9130	7
9140	9
9150	11
9160	8
9170	10
9180	5
9190	8
9200	4
9210	8
9220	6
9230	14
9240	7
9250	8
9260	7
9270	8
9280	9
9290	8
9300	10
9310	9
9320	11
9330	13
9340	12
9350	7
9360	8
9370	10
9380	9
9390	8
9400	11
9410	10
9420	11
9430	15
9440	7
9450	8
9460	12
9470	12
9480	9
9490	9
9500	4
9510	11
9520	14
9530	14
9540	12
9550	12
9560	5
9570	8
9580	9
9590	17
9600	4
9610	4
9620	16
9630	5
9640	10
9650	13
9660	8
9670	12
9680	4
9690	12
9700	12
9710	8
9720	11
9730	11
9740	5
9750	13
9760	11
9770	7
9780	17
9790	11
9800	10
9810	13
9820	10
9830	7
9840	7
9850	15
9860	7
9870	10
9880	20
9890	9
9900	17
9910	13
9920	11
9930	9
9940	11
9950	12
9960	9
9970	25
9980	14
9990	9
10000	16
10010	11
10020	12
10030	7
10040	13
10050	11
10060	14
10070	10
10080	9
10090	12
10100	7
10110	11
10120	13
10130	5
10140	16
10150	12
10160	17
10170	14
10180	13
10190	15
10200	16
10210	7
10220	13
10230	13
10240	17
10250	12
10260	12
10270	9
10280	13
10290	13
10300	11
10310	14
10320	10
10330	16
10340	7
10350	15
10360	12
10370	13
10380	9
10390	16
10400	8
10410	12
10420	13
10430	13
10440	14
10450	12
10460	14
10470	15
10480	12
10490	11
10500	7
10510	15
10520	19
10530	18
10540	15
10550	11
10560	16
10570	13
10580	13
10590	12
10600	16
10610	14
10620	18
10630	19
10640	12
10650	13
10660	6
10670	25
10680	9
10690	17
10700	9
10710	17
10720	13
10730	11
10740	11
10750	17
10760	17
10770	20
10780	15
10790	23
10800	22
10810	13
10820	19
10830	22
10840	18
10850	15
10860	9
10870	12
10880	10
10890	13
10900	23
10910	23
10920	13
10930	16
10940	22
10950	19
10960	24
10970	13
10980	22
10990	15
11000	19
11010	16
11020	17
11030	19
11040	17
11050	18
11060	21
11070	15
11080	19
11090	23
11100	16
11110	19
11120	16
11130	16
11140	13
11150	15
11160	18
11170	19
11180	21
11190	15
11200	18
11210	25
11220	22
11230	25
11240	17
11250	20
11260	27
11270	25
11280	17
11290	20
11300	20
11310	19
11320	19
11330	18
11340	18
11350	13
11360	18
11370	26
11380	22
11390	21
11400	16
11410	26
11420	13
11430	18
11440	21
11450	18
11460	19
11470	18
11480	21
11490	16
11500	19
11510	13
11520	21
11530	10
11540	25
11550	16
11560	22
11570	17
11580	18
11590	25
11600	21
11610	26
11620	25
11630	14
11640	23
11650	21
11660	31
11670	12
11680	25
11690	21
11700	14
11710	19
11720	20
11730	31
11740	18
11750	27
11760	22
11770	16
11780	19
11790	21
11800	12
11810	30
11820	28
11830	20
11840	18
11850	27
11860	22
11870	18
11880	12
11890	18
11900	25
11910	27
11920	25
11930	23
11940	40
11950	32
11960	23
11970	23
11980	25
11990	22
12000	17
12010	29
12020	23
12030	32
12040	20
12050	23
12060	24
12070	42
12080	26
12090	23
12100	22
12110	25
12120	23
12130	33
12140	27
12150	25
12160	23
12170	22
12180	30
12190	35
12200	33
12210	22
12220	23
12230	18
12240	26
12250	29
12260	31
12270	15
12280	20
12290	17
12300	33
12310	32
12320	34
12330	26
12340	27
12350	24
12360	31
12370	29
12380	36
12390	26
12400	32
12410	24
12420	25
12430	27
12440	33
12450	26
12460	29
12470	27
12480	26
12490	22
12500	34
12510	24
12520	34
12530	20
12540	30
12550	33
12560	35
12570	28
12580	24
12590	32
12600	26
12610	30
12620	30
12630	33
12640	32
12650	29
12660	29
12670	27
12680	27
12690	28
12700	37
12710	35
12720	29
12730	36
12740	29
12750	26
12760	33
12770	23
12780	23
12790	26
12800	37
12810	29
12820	40
12830	35
12840	32
12850	35
12860	24
12870	33
12880	36
12890	31
12900	27
12910	27
12920	32
12930	29
12940	39
12950	27
12960	30
12970	26
12980	28
12990	36
13000	46
13010	29
13020	31
13030	24
13040	34
13050	41
13060	31
13070	26
13080	35
13090	33
13100	24
13110	27
13120	34
13130	28
13140	34
13150	25
13160	34
13170	32
13180	34
13190	39
13200	31
13210	32
13220	36
13230	38
13240	35
13250	41
13260	46
13270	38
13280	32
13290	32
13300	35
13310	34
13320	38
13330	28
13340	39
13350	40
13360	36
13370	36
13380	33
13390	50
13400	36
13410	38
13420	53
13430	43
13440	41
13450	30
13460	44
13470	31
13480	35
13490	38
13500	37
13510	44
13520	33
13530	39
13540	44
13550	33
13560	44
13570	56
13580	51
13590	41
13600	42
13610	38
13620	46
13630	49
13640	35
13650	32
13660	46
13670	46
13680	32
13690	48
13700	35
13710	45
13720	43
13730	32
13740	38
13750	41
13760	33
13770	46
